<tt style='background-color:#E8E8E8;'> Unsafe.Coerce <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Unsafe-Coerce.html#v:unsafeCoerce'>unsafeCoerce </a>  a -> b </tt>	The highly unsafe primitive unsafeCoerce converts a value from any type to any other type
<tt style='background-color:#E8E8E8;'> GHC.Generics <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Generics.html#v:Par1'>Par1 </a>  p -> Par1 p </tt>	Used for marking occurrences of the parameter
<tt style='background-color:#E8E8E8;'> GHC.Generics <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Generics.html#v:Rec1'>Rec1 </a>  f p -> Rec1 f p </tt>	Recursive calls of kind * -&gt; *
<tt style='background-color:#E8E8E8;'> GHC.Generics <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Generics.html#v:K1'>K1 </a>  c -> K1 i c p </tt>	Constants, additional parameters and recursion of kind *
<tt style='background-color:#E8E8E8;'> GHC.Generics <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Generics.html#v:M1'>M1 </a>  f p -> M1 i c f p </tt>	Meta-information (constructor names, etc
<tt style='background-color:#E8E8E8;'> GHC.Generics <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Generics.html#v:L1'>L1 </a>  (f p) -> (:+:) f g p </tt>	Sums: encode choice between constructors
<tt style='background-color:#E8E8E8;'> GHC.Generics <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Generics.html#v:(:*:)'>(:*:) </a>  f p -> g p -> (:*:) f g p </tt>	Products: encode multiple arguments to constructors
<tt style='background-color:#E8E8E8;'> GHC.Generics <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Generics.html#v:Comp1'>Comp1 </a>  f (g p) -> (:.:) f g p </tt>	Composition of functors
<tt style='background-color:#E8E8E8;'> GHC.Generics <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Generics.html#v:Prefix'>Prefix </a>  Fixity </tt>	Datatype to represent the fixity of a constructor
<tt style='background-color:#E8E8E8;'> GHC.Generics <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Generics.html#v:LeftAssociative'>LeftAssociative </a>  Associativity </tt>	Datatype to represent the associativity of a constructor
<tt style='background-color:#E8E8E8;'> GHC.Generics <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Generics.html#v:NoArity'>NoArity </a>  Arity </tt>	Datatype to represent the arity of a tuple
<tt style='background-color:#E8E8E8;'> GHC.Generics <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Generics.html#v:prec'>prec </a>  Fixity -> Int </tt>	Get the precedence of a fixity value
<tt style='background-color:#E8E8E8;'> GHC.Generics <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Generics.html#v:from'>from </a>  Generic a => a -> (Rep a) x </tt>	Convert from the datatype to its representation
<tt style='background-color:#E8E8E8;'> GHC.Generics <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Generics.html#v:to'>to </a>  Generic a => (Rep a) x -> a </tt>	Convert from the representation to the datatype
<tt style='background-color:#E8E8E8;'> GHC.Generics <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Generics.html#v:from1'>from1 </a>  Generic1 f => f a -> (Rep1 f) a </tt>	Convert from the datatype to its representation
<tt style='background-color:#E8E8E8;'> GHC.Generics <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Generics.html#v:to1'>to1 </a>  Generic1 f => (Rep1 f) a -> f a </tt>	Convert from the representation to the datatype
<tt style='background-color:#E8E8E8;'> Data.Monoid <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Monoid.html#v:mempty'>mempty </a>  Monoid a => a </tt>	Identity of mappend
<tt style='background-color:#E8E8E8;'> Data.Monoid <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Monoid.html#v:mappend'>mappend </a>  Monoid a => a -> a -> a </tt>	An associative operation
<tt style='background-color:#E8E8E8;'> Data.Monoid <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Monoid.html#v:mconcat'>mconcat </a>  Monoid a => [a] -> a </tt>	Fold a list using the monoid
<tt style='background-color:#E8E8E8;'> Data.Monoid <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Monoid.html#v:(<>)'>(<>) </a>  Monoid m => m -> m -> m </tt>	An infix synonym for mappend
<tt style='background-color:#E8E8E8;'> Data.Monoid <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Monoid.html#v:Dual'>Dual </a>  a -> Dual a </tt>	The dual of a Monoid, obtained by swapping the arguments of mappend
<tt style='background-color:#E8E8E8;'> Data.Monoid <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Monoid.html#v:Endo'>Endo </a>  (a -> a) -> Endo a </tt>	The monoid of endomorphisms under composition
<tt style='background-color:#E8E8E8;'> Data.Monoid <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Monoid.html#v:All'>All </a>  Bool -> All </tt>	Boolean monoid under conjunction (&amp;&amp;)
<tt style='background-color:#E8E8E8;'> Data.Monoid <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Monoid.html#v:Any'>Any </a>  Bool -> Any </tt>	Boolean monoid under disjunction (||)
<tt style='background-color:#E8E8E8;'> Data.Monoid <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Monoid.html#v:Sum'>Sum </a>  a -> Sum a </tt>	Monoid under addition
<tt style='background-color:#E8E8E8;'> Data.Monoid <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Monoid.html#v:Product'>Product </a>  a -> Product a </tt>	Monoid under multiplication
<tt style='background-color:#E8E8E8;'> Data.Monoid <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Monoid.html#v:First'>First </a>  Maybe a -> First a </tt>	Maybe monoid returning the leftmost non-Nothing value
<tt style='background-color:#E8E8E8;'> Data.Monoid <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Monoid.html#v:Last'>Last </a>  Maybe a -> Last a </tt>	Maybe monoid returning the rightmost non-Nothing value
<tt style='background-color:#E8E8E8;'> Data.Monoid <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Monoid.html#v:Alt'>Alt </a>  f a -> Alt f a </tt>	Monoid under &lt;|&gt;
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:fold'>fold </a>  (Foldable t, Monoid m) => t m -> m </tt>	Combine the elements of a structure using a monoid
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:foldMap'>foldMap </a>  (Foldable t, Monoid m) => (a -> m) -> t a -> m </tt>	Map each element of the structure to a monoid, and combine the results
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:foldr'>foldr </a>  Foldable t => (a -> b -> b) -> b -> t a -> b </tt>	Right-associative fold of a structure
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:foldr''>foldr' </a>  Foldable t => (a -> b -> b) -> b -> t a -> b </tt>	Right-associative fold of a structure, but with strict application of the operator
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:foldl'>foldl </a>  Foldable t => (b -> a -> b) -> b -> t a -> b </tt>	Left-associative fold of a structure
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:foldl''>foldl' </a>  Foldable t => (b -> a -> b) -> b -> t a -> b </tt>	Left-associative fold of a structure
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:foldr1'>foldr1 </a>  Foldable t => (a -> a -> a) -> t a -> a </tt>	A variant of foldr that has no base case, and thus may only be applied to non-empty structures
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:foldl1'>foldl1 </a>  Foldable t => (a -> a -> a) -> t a -> a </tt>	A variant of foldl that has no base case, and thus may only be applied to non-empty structures
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:toList'>toList </a>  Foldable t => t a -> [a] </tt>	List of elements of a structure, from left to right
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:null'>null </a>  Foldable t => t a -> Bool </tt>	Test whether the structure is empty
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:length'>length </a>  Foldable t => t a -> Int </tt>	Returns the size/length of a finite structure as an Int
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:elem'>elem </a>  (Foldable t, Eq a) => a -> t a -> Bool </tt>	Does the element occur in the structure?
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:maximum'>maximum </a>  (Foldable t, Ord a) => t a -> a </tt>	The largest element of a non-empty structure
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:minimum'>minimum </a>  (Foldable t, Ord a) => t a -> a </tt>	The least element of a non-empty structure
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:sum'>sum </a>  (Foldable t, Num a) => t a -> a </tt>	The sum function computes the sum of the numbers of a structure
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:product'>product </a>  (Foldable t, Num a) => t a -> a </tt>	The product function computes the product of the numbers of a structure
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:foldrM'>foldrM </a>  (Foldable t, Monad m) => (a -> b -> m b) -> b -> t a -> m b </tt>	Monadic fold over the elements of a structure, associating to the right
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:foldlM'>foldlM </a>  (Foldable t, Monad m) => (b -> a -> m b) -> b -> t a -> m b </tt>	Monadic fold over the elements of a structure, associating to the left
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:traverse_'>traverse_ </a>  (Foldable t, Applicative f) => (a -> f b) -> t a -> f () </tt>	Map each element of a structure to an action, evaluate these actions from left to right, and ignore the results
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:for_'>for_ </a>  (Foldable t, Applicative f) => t a -> (a -> f b) -> f () </tt>	for_ is traverse_ with its arguments flipped
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:sequenceA_'>sequenceA_ </a>  (Foldable t, Applicative f) => t (f a) -> f () </tt>	Evaluate each action in the structure from left to right, and ignore the results
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:asum'>asum </a>  (Foldable t, Alternative f) => t (f a) -> f a </tt>	The sum of a collection of actions, generalizing concat
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:mapM_'>mapM_ </a>  (Foldable t, Monad m) => (a -> m b) -> t a -> m () </tt>	Map each element of a structure to a monadic action, evaluate these actions from left to right, and ignore the results
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:forM_'>forM_ </a>  (Foldable t, Monad m) => t a -> (a -> m b) -> m () </tt>	forM_ is mapM_ with its arguments flipped
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:sequence_'>sequence_ </a>  (Foldable t, Monad m) => t (m a) -> m () </tt>	Evaluate each monadic action in the structure from left to right, and ignore the results
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:msum'>msum </a>  (Foldable t, MonadPlus m) => t (m a) -> m a </tt>	The sum of a collection of actions, generalizing concat
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:concat'>concat </a>  Foldable t => t [a] -> [a] </tt>	The concatenation of all the elements of a container of lists
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:concatMap'>concatMap </a>  Foldable t => (a -> [b]) -> t a -> [b] </tt>	Map a function over all the elements of a container and concatenate the resulting lists
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:and'>and </a>  Foldable t => t Bool -> Bool </tt>	and returns the conjunction of a container of Bools
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:or'>or </a>  Foldable t => t Bool -> Bool </tt>	or returns the disjunction of a container of Bools
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:any'>any </a>  Foldable t => (a -> Bool) -> t a -> Bool </tt>	Determines whether any element of the structure satisfies the predicate
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:all'>all </a>  Foldable t => (a -> Bool) -> t a -> Bool </tt>	Determines whether all elements of the structure satisfy the predicate
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:maximumBy'>maximumBy </a>  Foldable t => (a -> a -> Ordering) -> t a -> a </tt>	The largest element of a non-empty structure with respect to the given comparison function
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:minimumBy'>minimumBy </a>  Foldable t => (a -> a -> Ordering) -> t a -> a </tt>	The least element of a non-empty structure with respect to the given comparison function
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:notElem'>notElem </a>  (Foldable t, Eq a) => a -> t a -> Bool </tt>	notElem is the negation of elem
<tt style='background-color:#E8E8E8;'> Data.Foldable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Foldable.html#v:find'>find </a>  Foldable t => (a -> Bool) -> t a -> Maybe a </tt>	The find function takes a predicate and a structure and returns the leftmost element of the structure matching the predicate, or Nothing if there is no such element
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:readsPrec'>readsPrec </a>  Read a => Int -> ReadS a </tt>	attempts to parse a value from the front of the string, returning a list of (parsed value, remaining string) pairs
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:readList'>readList </a>  Read a => ReadS [a] </tt>	The method readList is provided to allow the programmer to give a specialised way of parsing lists of values
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:readPrec'>readPrec </a>  Read a => ReadPrec a </tt>	Proposed replacement for readsPrec using new-style parsers (GHC only)
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:readListPrec'>readListPrec </a>  Read a => ReadPrec [a] </tt>	Proposed replacement for readList using new-style parsers (GHC only)
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:reads'>reads </a>  Read a => ReadS a </tt>	equivalent to readsPrec with a precedence of 0
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:read'>read </a>  Read a => String -> a </tt>	The read function reads input from a string, which must be completely consumed by the input process
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:readParen'>readParen </a>  Bool -> ReadS a -> ReadS a </tt>	readParen True p parses what p parses, but surrounded with parentheses
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:lex'>lex </a>  ReadS String </tt>	The lex function reads a single lexeme from the input, discarding initial white space, and returning the characters that constitute the lexeme
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:Char'>Char </a>  Char -> Lexeme </tt>	Character literal
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:String'>String </a>  String -> Lexeme </tt>	String literal, with escapes interpreted
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:Punc'>Punc </a>  String -> Lexeme </tt>	Punctuation or reserved symbol, e
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:Ident'>Ident </a>  String -> Lexeme </tt>	Haskell identifier, e
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:Symbol'>Symbol </a>  String -> Lexeme </tt>	Haskell symbol, e
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:lexP'>lexP </a>  ReadPrec Lexeme </tt>	Parse a single lexeme
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:parens'>parens </a>  ReadPrec a -> ReadPrec a </tt>	(parens p) parses "P", "(P0)", "((P0))", etc, where p parses "P" in the current precedence context and parses "P0" in precedence context zero
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:readListDefault'>readListDefault </a>  Read a => ReadS [a] </tt>	A possible replacement definition for the readList method (GHC only)
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:readListPrecDefault'>readListPrecDefault </a>  Read a => ReadPrec [a] </tt>	A possible replacement definition for the readListPrec method, defined using readPrec (GHC only)
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:readEither'>readEither </a>  Read a => String -> Either String a </tt>	Parse a string using the Read instance
<tt style='background-color:#E8E8E8;'> Text.Read <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read.html#v:readMaybe'>readMaybe </a>  Read a => String -> Maybe a </tt>	Parse a string using the Read instance
<tt style='background-color:#E8E8E8;'> Data.IORef <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-IORef.html#v:newIORef'>newIORef </a>  a -> IO (IORef a) </tt>	Build a new IORef
<tt style='background-color:#E8E8E8;'> Data.IORef <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-IORef.html#v:readIORef'>readIORef </a>  IORef a -> IO a </tt>	Read the value of an IORef
<tt style='background-color:#E8E8E8;'> Data.IORef <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-IORef.html#v:writeIORef'>writeIORef </a>  IORef a -> a -> IO () </tt>	Write a new value into an IORef
<tt style='background-color:#E8E8E8;'> Data.IORef <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-IORef.html#v:modifyIORef'>modifyIORef </a>  IORef a -> (a -> a) -> IO () </tt>	Mutate the contents of an IORef
<tt style='background-color:#E8E8E8;'> Data.IORef <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-IORef.html#v:modifyIORef''>modifyIORef' </a>  IORef a -> (a -> a) -> IO () </tt>	Strict version of modifyIORef
<tt style='background-color:#E8E8E8;'> Data.IORef <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-IORef.html#v:atomicModifyIORef'>atomicModifyIORef </a>  IORef a -> (a -> (a, b)) -> IO b </tt>	Atomically modifies the contents of an IORef
<tt style='background-color:#E8E8E8;'> Data.IORef <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-IORef.html#v:atomicModifyIORef''>atomicModifyIORef' </a>  IORef a -> (a -> (a, b)) -> IO b </tt>	Strict version of atomicModifyIORef
<tt style='background-color:#E8E8E8;'> Data.IORef <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-IORef.html#v:atomicWriteIORef'>atomicWriteIORef </a>  IORef a -> a -> IO () </tt>	Variant of writeIORef with the "barrier to reordering" property that atomicModifyIORef has
<tt style='background-color:#E8E8E8;'> Data.IORef <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-IORef.html#v:mkWeakIORef'>mkWeakIORef </a>  IORef a -> IO () -> IO (Weak (IORef a)) </tt>	Make a Weak pointer to an IORef, using the second argument as a finalizer to run when IORef is garbage-collected
<tt style='background-color:#E8E8E8;'> Foreign.Marshal.Unsafe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Marshal-Unsafe.html#v:unsafeLocalState'>unsafeLocalState </a>  IO a -> a </tt>	Sometimes an external entity is a pure function, except that it passes arguments and/or results via pointers
<tt style='background-color:#E8E8E8;'> Data.Dynamic <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Dynamic.html#v:toDyn'>toDyn </a>  Typeable a => a -> Dynamic </tt>	Converts an arbitrary value into an object of type Dynamic
<tt style='background-color:#E8E8E8;'> Data.Dynamic <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Dynamic.html#v:fromDyn'>fromDyn </a>  Typeable a => Dynamic -> a -> a </tt>	Converts a Dynamic object back into an ordinary Haskell value of the correct type
<tt style='background-color:#E8E8E8;'> Data.Dynamic <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Dynamic.html#v:fromDynamic'>fromDynamic </a>  Typeable a => Dynamic -> Maybe a </tt>	Converts a Dynamic object back into an ordinary Haskell value of the correct type
<tt style='background-color:#E8E8E8;'> Foreign.Storable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Storable.html#v:sizeOf'>sizeOf </a>  Storable a => a -> Int </tt>	Computes the storage requirements (in bytes) of the argument
<tt style='background-color:#E8E8E8;'> Foreign.Storable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Storable.html#v:alignment'>alignment </a>  Storable a => a -> Int </tt>	Computes the alignment constraint of the argument
<tt style='background-color:#E8E8E8;'> Foreign.Storable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Storable.html#v:peekElemOff'>peekElemOff </a>  Storable a => Ptr a -> Int -> IO a </tt>	Read a value from a memory area regarded as an array of values of the same kind
<tt style='background-color:#E8E8E8;'> Foreign.Storable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Storable.html#v:pokeElemOff'>pokeElemOff </a>  Storable a => Ptr a -> Int -> a -> IO () </tt>	Write a value to a memory area regarded as an array of values of the same kind
<tt style='background-color:#E8E8E8;'> Foreign.Storable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Storable.html#v:peekByteOff'>peekByteOff </a>  Storable a => Ptr b -> Int -> IO a </tt>	Read a value from a memory location given by a base address and offset
<tt style='background-color:#E8E8E8;'> Foreign.Storable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Storable.html#v:pokeByteOff'>pokeByteOff </a>  Storable a => Ptr b -> Int -> a -> IO () </tt>	Write a value to a memory location given by a base address and offset
<tt style='background-color:#E8E8E8;'> Foreign.Storable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Storable.html#v:peek'>peek </a>  Storable a => Ptr a -> IO a </tt>	Read a value from the given memory location
<tt style='background-color:#E8E8E8;'> Foreign.Storable <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Storable.html#v:poke'>poke </a>  Storable a => Ptr a -> a -> IO () </tt>	Write the given value to the given memory location
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CChar'>CChar </a>  Int8 -> CChar </tt>	Haskell type representing the C char type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CSChar'>CSChar </a>  Int8 -> CSChar </tt>	Haskell type representing the C signed char type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CUChar'>CUChar </a>  Word8 -> CUChar </tt>	Haskell type representing the C unsigned char type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CShort'>CShort </a>  Int16 -> CShort </tt>	Haskell type representing the C short type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CUShort'>CUShort </a>  Word16 -> CUShort </tt>	Haskell type representing the C unsigned short type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CInt'>CInt </a>  Int32 -> CInt </tt>	Haskell type representing the C int type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CUInt'>CUInt </a>  Word32 -> CUInt </tt>	Haskell type representing the C unsigned int type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CLong'>CLong </a>  Int64 -> CLong </tt>	Haskell type representing the C long type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CULong'>CULong </a>  Word64 -> CULong </tt>	Haskell type representing the C unsigned long type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CPtrdiff'>CPtrdiff </a>  Int64 -> CPtrdiff </tt>	Haskell type representing the C ptrdiff_t type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CSize'>CSize </a>  Word64 -> CSize </tt>	Haskell type representing the C size_t type
