managed	specifies managed additional lock font-lock-face mode variable font properties
propertize	function code non-nil prior stretch text calling abnormal syntax-table syntax hook run syntax-propertize-function specified variable applying parsing properties store
locale	specifies encoding locale coding argument use system decoding window time input and—on generating return format format-time-string variable messages value only—keyboard formatting values error x
frame	specifies inherits selected frame abnormal one hook specified event use parameters make-frame currently current window explicitly input newly run normal records variable compute directed last name created default list minibuffer creates identifies
startup	handling run normal hook command arguments line
detection	ignored non-nil string encoding region sequences bytes value iso-2022 escape variable detecting null
num	keyboard received variable’s terminal—not far holds number value macros generated session emacs processed key sequences variable input total counting events
arg	used holds argument value next current raw prefix command variable editing previous
locals	assigned modification associated settings variables holds alist times symbols directory names file variable one local class
deactivate	non-nil enabled mark returns transient command editor sets variable deactivates loop mode
lexical	files instead non-nil lisp dynamic lexical binding evaluated emacs using variable buffer-local buffers
filename	spaces filenames keymap simply sparse contain unbinds spc
outside	appear text window fringes margins normally display
identification	buffer frame displayed current window variable identifies
props	specifies managed additional lock font-lock-face mode variable font properties
progress	commands loading non-nil working nil binds process bind value revert-buffer emacs undo file variable normally otherwise
extend	code scan lock abnormal syntax hook determine font syntax-propertize-function call mode function run nil fontify variable parsing buffer-local region calling prior either
25	function non-nil yank text command value yank-pop uses delete-region variable instead previous inserted delete
nonmacro	received terminal—not far holds number macros generated keyboard variable input total counting events
printable	specifies whether character char-table value printable variable
key	specifies variable’s system-specific one another sequences alternative holds except tabulated current describes input translate events sort input-decode-map used buffer alist preferred usually key variable interpretations like keysym list value element keymap translated similar
nonmenu	last sequence read holds events menus part resulting key variable input counting mouse event
floats	far number session emacs allocated total floats
commands	require-match commands confirmation confirm-after-completion completing-read argument holds list minibuffer exiting ask emacs variable cause
last	operations files executed stores sequence defined text frame coding argument one i/o raw prefix set keyboard recently counting mouse event previous terminal conversion holds system current menus explicitly emacs location input recent abbrev-symbol events resulting directed program used altered read never expansion last-command records part key variable exact like case definition last name programs lisp macro expanded value whether abbrev command subprocesses loop
region	code scan lock abnormal syntax hook determine font syntax-propertize-function functions cut call mode function used run nil write-region use fontify fontifying variable buffer-local parsing indent-region short non-nil region list value calling prior either unfontifying
minibuffer	specifies shell variable’s locally whenever completions read-from-minibuffer read-string frame names built-in argument one rebind ask see confirmation simply spaces file strip try-completion table spc help completion passes functions asks completing holds window current default run emacs text input entered reading cause checks match function require-match predicate used confirm-after-completion help-form nil normal unbinds object use filenames part uses variable non-nil returning exact properties read-no-blanks-input commands determines completing-read minibuffer-complete-and-exit hook whether local inside required list minibuffer value exiting binds keymap command sparse contain read-shell-command exited history
sensitive	specifies use mouse mouse-sensitive shape text variable pointer
consed	vector cons string objects far cells number intervals miscellaneous symbols session emacs characters allocated total strings floats
selective	variable enables buffer-local display selective
exec	gnu string invoke programs intended contains value directory emacs variable come name
expression	specifies imenu non-nil lisp evaluate list finding regular arguments variable definitions expressions history
load	specifies function variable’s features process well image abnormal locations library hook associates names file loaded indicate provided use loading described source section alternate load eval-region defined emacs instead variables indicating files expression-reading run nil read compiled earlier alist functions variable representations search non-nil name lisp directories required list value found suffixes otherwise
bell	specifies emacs bell” non-nil “ring
connection	subprocesses used communicate controls device asynchronous variable type
header	specifies buffer displaying header every windows variable line local display
eviction	specifies seconds image cache displayed number remain without variable
table	code text char-table symbols unicode keyboard displaying completion whose character window belongs script-specific local columns words syntax abbreviation internally name lisp list vector terminal-local mode translated specifies set see elements (mode buffers glyph space abbrevs comments decoding current neither tables screen char-tables print-circle standard general_category minibuffer implement automatically classification encoding table use script occupy emacs translate form translation case non-nil default fontification mode-specific value printing values property display defined according ascii mode-independent holds feature used blocks buffer symbol self-inserting characters variable inserted buffer’s buffer-local strings abbrev fundamental width
quit	quit determines set unless nil quit-flag whether quits value inhibit-quit emacs immediately variable non-nil
configuration	hardware/software run name gnu existing frame holds system standard hook window every normal time variable configuration change string
raise	raised bar form items tool variable non-nil moves mouse display
create	specifies function use creating index buffer variable
mark	text active m-o inactive saved deactivates font-lock-fontify-block arguments mark current list returns editor hooks marks choose function run normal buffer respectively enclosing transient variable buffer-local refontification former becomes recent non-nil enabled value range command mode sets called loop first
pi	mathematical (3 pi constant
4	function non-nil yank text command value yank-pop uses delete-region variable instead previous inserted delete
direction	direction buffer-local buffer assumed symbol left-to-right specified value right-to-left paragraphs variable
enable	function ignored variable’s directory-local file nil whether certain variables buffer’s value current text decide occasions variable representation specifies backup called files
39	function non-nil yank text command value yank-pop uses delete-region variable instead previous inserted delete
installation	subdirectories lib-src non-nil look within etc directory
case	set table expressions ascii matching completion sake font-lock-keywords character controls imenu-generic-expression default means regular significant variable case non-nil case-sensitive considered value ignore whether case-insensitive expression
inhibit	ignored set point-entered encoding hooks escape forward-sentence disabled intangible including sequences frames expressions null operation read-only presently whose use depending holds boundaries field iso-2022 emacs buffers certain quit-flag ignore resources creating run string nil quit may effect bytes regular characters new variable determines detecting change actual none forward-paragraph non-nil look handlers whether region list modified value motion inhibited x property forward-word point-left functions
defining	variable macro defined non-nil keyboard
compile	files function set non-nil generates compiled dynamic loading byte compiler
error	specifies function use errors non-nil command return control emacs variable handle loop
property	rear-stickiness variable’s used non-nil name default list symbol holds alist value maps various names text variable alternative property properties defines
margin	specifies right bar around extra items tool character units cell width add variable (a margin left
styles	available styles stores completion list variable
cons	cons far cells number session emacs allocated total
binding	files instead non-nil lisp dynamic lexical binding evaluated emacs using variable buffer-local buffers
parse	scanning functions non-nil like forward-sexp pay attention syntax text properties
in	process frame displayed focus echo hook file message loading working area controls emacs input run gains nil normal undo variable appears commands non-nil normally value cursor binds bind revert-buffer otherwise
mouse	function non-nil value mouse-position call variable
ring	specifies variable’s text indicates kill sequences ring saved holds former current emacs marks recent recently buffer bell” yanking variable buffer-local killed “front” “ring non-nil list value element first
redisplay	function redisplay run
generic	specifies imenu non-nil list finding regular variable definitions expressions
make	run normal make-frame frame abnormal creates hook
defun	function non-nil holds defun finding variable end beginning
1	function non-nil yank text command value yank-pop uses delete-region variable instead previous inserted delete
fixnum	handle lisp value smallest emacs largest variable integer
modification	none non-nil hooks disabled variable run change
fontified	variable’s used non-nil name text symbol value property
status	status debugging current records command variable interactive
extended	commands extended list names history arguments
keys	variable’s far number value session emacs processed key sequences
levels	severity list levels meaning warning order defines
user	files none holds says name nil user’s init used emacs—or file variable absolute
characters	specifies buffer’s text current variable representation
expand	function expand-abbrev value expansion call arguments variable
macro	contains regardless defined caused terminate executing keyboard recently defines end currently terminates run string normal reaching ended variable definition non-nil hook macro vector error prematurely
client	variable frames used identify emacsclient
command	variable’s executed stores help prefix executes yet previous except input unrecognized return read evaluate alist records name like lisp list user-defined quitting processed including specifies set see extended run event errors command-line current waiting print occurs recently never key represented commands last completing keymap interactive options one hook names terminated use this-command handler emacs editor passed function shell form part line handling non-nil value prematurely loop history control debugging associated argument file handle remapping functions holds complex arguments events status used altered normal last-command variable recent programs command read-shell-command
relief	specifies bar items tool width variable shadow
termination	error run prematurely normal macro reaching terminate ended end hook caused terminates keyboard regardless
keysym	hyper super name respectively meta stand alt modifier keysym
left	specifies (a non-nil command-line character fringe list value pixels cell width arguments variable left margin yet processed
quoted	abbreviated non-nil quoted means syntax forms reader print using e
numbering	non-nil calls means number print continuously across
shape	specifies use text frame ordinarily mouse-sensitive shape style emacs variable mouse pointer
intervals	session far number intervals emacs allocated total
kill	variable’s text save-buffers-kill-terminal unsaved indicates kill questions sequences appearance ring calling functions holds run actually confirming asking kill-buffer arguments emacs kill-emacs recently kills normal buffer ask killing yanking variable “front” standard killed going kill-buffer-query-functions calls hook list value element changes order first
unicode	specifies property symbol character char-table value char-tables see unicode variable general_category
32	function non-nil yank text command value yank-pop uses delete-region variable instead previous inserted delete
newlines	functions property non-nil text hard ‘\n’ newline filling ‘\f’ formfeeds printed characters variable delete strings newlines
cut	provides communicating text programs system window way variable using killed
point	specifies set point-entered point text move abnormal hook see intangible insertion sequences marker table check completion functions feature returns hooks type used run turned effect completely moving variable compute properties types non-nil window-point completing list value command point-left property loop
desktop	elements non-nil buffer alist desktop state file variable buffer-local (major-mode save saved
add	functions elements nil read list minibuffer value standard add don’t variable new history
location	use set abbrev-start-location start buffer expanded value expand-abbrev marker abbrev location position variable integer next recent
allow	read-from-minibuffer nil read-string text returning minibuffer strip variable input properties
input	specifies program variable’s methods stream supported argument active session sequences keyboard total event defines current functions terminal—not keys macros describes holds character terminal buffer add explicitly emacs don’t input lisp method sent function elements inserted nil read translated self-inserting number records generated part uses key new variable non-nil translation standard table ordinary received characters last name default list minibuffer value events whether keymap command processed far history counting stream—the
save	specifies it’s saving (if save-buffers-kill-emacs coding hook via names file happen saved tells auto-save use format system emacs-save-session-functions desktop current state asking emacs save supports files used run normal buffer modified) user particular variable non-nil overriding buffer-local name whenever buffer-file-coding-system auto-saving recording save-some-buffers without called
match	completions completing-read local required value one keymap uses exact match
real	set altered like programs lisp never last-command emacs variable
format	specifies defined frame one states header warning numbers file specified message displaying use type title contains tabulated explicitly buffer-local print local image format buffer alist mapping every variable floating-point line data types definition compute name windows iconified list auto-saving extensions visited display
read	specifies load poor file eval-region accepts coding subprocess performance reads may expressions read-only use buffers completing-read depending alternate system actually buffer emacs arguments read-file-name determine shared reading structures circular function expression-reading blocks default read evaluate potentially systems synchronous regular characters instead variable buffer-local data must actual non-nil input read-regexp lisp work list modified value whether resulting small output enables called history
elapsed	floating-point garbage seconds contains number collection elapsed far session emacs time variable total
30	function non-nil yank text command value yank-pop uses delete-region variable instead previous inserted delete
insert	specifies variable’s point text argument one contents use insert-file-contents inserted reverting program listing insert-directory function updated run buffer number characters variable beginning generate insert list value directory called
overriding	major text display-buffer overriding-terminal-local-map bindings use overlay menu holds priority override instead local minor overriding-local-map key particular variable affect highest bar buffer’s non-nil modes keymaps allows value keymap mode action property treated display
d	function non-nil yank text command value yank-pop uses delete-region variable instead previous inserted delete
signal	condition-case errors debugger invoke caught never normally
ignore	case completion functions non-nil parameters considered value standard process window significant variable
boolean	defvar_bool variables holds list variable type
output	specifies floating-point functions nil stream default use value argument print numbers variable output stream—the
right	specifies right non-nil fringe character units cell width variable margin pixels
play	sound functions list called playing
library	files alist dynamic library libraries implementing external
truename	abbreviated buffer-local nil buffer holds current truename file variable visited
erase	selected started driver holds character terminal erase emacs system’s variable
escape	ignored encoding sequences backslash ‘\f’ escape functions iso-2022 formfeeds print quoting non-ascii unibyte string newline printed characters variable detecting non-nil unconditionally region ‘\n’ multibyte value prin1 strings
5	function non-nil yank text command value yank-pop uses delete-region variable instead previous inserted delete
glyph	non-nil value current variable table glyph
for	specifies encoding synchronous subprocess file table use rather system decoding much input reading except coding self-inserting coding-system-for-read characters variable translation inserted non-nil like default applies translated output works
confirm	argument ask require-match completing-read holds emacs cause checks function confirmation confirm-after-completion variable commands determines asks minibuffer-complete-and-exit whether list minibuffer value exiting binds
literally	set non-nil visiting buffer literally value behave save-buffer file variable buffer-local makes
normal	specifies function use auto-fill-function auto turned variable fill
customize	associated keyword versions package alist mapping :package-version emacs listed provides
exit	require-match commands confirmation confirm-after-completion whenever completing-read normal argument holds list minibuffer exiting ask exited emacs variable run cause hook
rescale	variable specifies scaling faces certain
regexp	function default search non-nil whitespace may list use value read-regexp regular arguments determine variable says expressions expression history
post	function terminated commands errors run garbage normal non-nil end including collection hook command editor prematurely variable executes value quitting loop
paste	provides programs text transferring system window way variable using killed
properties	scanning extra forward-sexp text syntax strip completion read-string functions read-from-minibuffer giving pay holds current values used nil returning attention input variable properties specify non-nil like default list minibuffer command property
8.4	function non-nil yank text command value yank-pop uses delete-region variable instead previous inserted delete
session	via saving emacs-save-session-functions hook state emacs supports called
on	condition-case set says debugger echo funcall displays apply message next matching errors area caught debug-on-message call emacs invoke never regular eval variable non-nil normally enter expression
package	associated keyword versions package alist mapping :package-version emacs listed provides
of	function move non-nil point “top holds defun comments back strings finding outside syntactically position variable end beginning level”
completing	function completing-read work value actually variable called must
fringe	specifies right actual width non-nil fringe displayed mapping logical bitmaps cursor indicators window fringes variable buffer-local type pixels left
multibyte	specifies regardless constituents backslash syntax sequences table functions current text print non-ascii says symbol printed characters representation variable buffer’s non-nil treats unconditionally quoting multibyte strings scan-sexps prin1
backup	function files variable’s non-nil file whether certain value inhibited decide occasions variable backups backup called
block	function non-nil font-lock-fontify-block text m-o range command choose enclosing variable refontification called arguments
image	specifies load variable’s cache image supported displayed number symbols file size contains current potentially emacs type define files used seconds alist mapping locations variable configuration types search name list maximum value remain without extensions formats
float	mathematical specifies e floating-point (2 (3 print numbers variable constant pi
annotate	call functions list write-region
frames	variable set emacs automatically
tabulated	specifies sort point displayed hook including reverting normal tabulated current terminating function run format buffer newline key entries variable data insert buffer-local list value prior entry called
area	run nil area whenever normal displayed controls echo cursor hook reason variable message appears cleared—either
initial	used parent created process startup variables holds list value environment started window-system emacs inherited variable frame first
custom	list value themes emacs variable loaded
decode	function keymap keys holds character decoding terminal default describes sequences variable table ordinary translation sent
width	specifies bars right (a buffers width character char-table cell occupy units local columns screen variable measured pixels buffer’s non-nil always fringe value margin scroll left
emacs	major via associated version number indicates hook questions saving functions built holds emacs-save-session-functions state asking emacs listed provides supports minor arguments kill-emacs run kills normal alist mapping killing variable integer line standard save-buffers-kill-terminal handling name keyword versions package value calling :package-version command time calls called
invisibility	specifies kinds make character actually invisible variable properties
forward	functions fill-region provides fill-paragraph move forward override filling paragraph way variable next
paren	function whenever character value syntax arguments parenthesis variable close inserted called
translate	terminal-local characters keyboard variable table translate
function	comment variable’s help text move syntax mouse-position prefix expressions font previous cut completing-read alternate character outside actually yank-pop window choose override input updated return string read auto preferred words using killed insert name perform-replace interpretations revert leave default filling either enclosing unfontifying specifies scanning list back used paragraphs close read-regexp alternative index errors font-lock-fontify-block auto-fill-function warnings comments current may state various provides assuming method mode run creating equivalent delete-region given expansion translated syntax-table key element put regexp beginning properties “ring definition commands actual imenu-prev-index-position-function region accepts display stretch range regular indentation usually finds load nil—in point applying replace specified indent-for-tab-command determine sequences table reverting use would expand-abbrev filter-buffer-substring system next describes call way read-file-name forward emacs store function fill-region transferring search fontify indent line refontification must auto-fill-chars non-nil whether work “definition” value paragraph syntactically similar called loop delete control generate scan eval-region lock parser turned input-decode-map needs m-o “top handle moves check contents fill redisplay end syntactic holds defun keymap arguments finding instead level” expression-reading nil communicating buffer earlier functions self-inserting bell” fontifying uses variable inserted indent-region short buffer-local calls programs whenever except face fill-paragraph command parenthesis position backward strings yank
form	rebind functions used non-nil help form whenever evaluate inside locally character minibuffer value current read see help-char variable help-form
6	function non-nil yank text command value yank-pop uses delete-region variable instead previous inserted delete
delayed	run post-command-hook warnings process list normal displayed delayed value display current hook finished command variable emacs order loop
fontify	function functions computing buffer text region holds list use fontifying variable properties
e	mathematical function e yank (2 text delete-region command value yank-pop uses instead variable non-nil constant previous inserted delete
line	specifies default-directory variable’s contains show process frame coding argument mode indent-for-tab-command header prefix identify displays frames displaying yet defines information functions command-line function holds system construct environment start window emacs unrecognized passed input local method arguments status used communicating buffer displayed various every emacsclient variable buffer-local line non-continuation indent commands handling remote modes language windows non-nil current list modified value whether command processed indentation identifies subprocesses display
count	buffer-local buffer displayed number times records window variable
modifiers	keys programs lisp “press” lets keyboard variable modifier
temp	body run normal buffer displaying hook evaluating temporary with-output-to-temp-buffer
default	specifies rear-stickiness stream text frame coding subprocess variable defines use network giving holds current window various systems input split-string buffer alist separators else nothing properties buffer-local default list minibuffer value values directory output property
cells	vector cons far cells number session emacs allocated total
up	buffer’s says whether account backed buffer file variable buffer-local
bidi	direction non-nil buffer default assumed symbol left-to-right specified value bidirectional right-to-left emacs reordering performs paragraphs variable buffer-local display
display	specifies defined display-buffer displayed number variable table displaying buffers defines char-table priority window emacs performs neither used buffer standard records selective glyphless reordering characters bidirectional non-nil highest buffer’s buffer-local last default value times time action enables treated display automatically
delete	hook run abnormal delete-terminal
char	specifies selected code classification displayed ask see erase names unicode alternative defines whose use script menu holds character char-table next terminal width belongs emacs script-specific screen columns blocks started driver symbol alist standard maps glyphless characters variable line name space list according value system’s property occupy
as	non-ascii non-nil treats regardless constituents symbol syntax characters table variable scan-sexps says
warning	specifies series prefix warning message displaying defines use severity format next text fill type function begin warnings meaning levels warning’s variable generate non-nil programs bind list say value filling order
at	completion functions used compute point abnormal completing list value hook text table
file	variable’s text autoload go whose loading point reverting init updated presently format alist records insert name settings lisp follows list found loads suffixes specifies abbreviated set says truename emacs—or operation nil visiting literally section (concat current may behave initialization terminal-initialization file-name nonexistent beginning process-file search handlers (load accepts auto-saving changes save-buffer load terminal-specific file-name-coding-system saving (getenv encoding user’s coding number one device names writing auto-save use described contains system indicate emacs passed read-file-name call function part remote none non-nil whether wish value recording visited called history files process certain argument states indicates term-file-prefix file contents absolute functions insert-file-contents holds arguments used file-local buffer write-region earlier find-file characters variable representations inserted buffer-local calls "term"))) makes inhibited directory find-file-noselect
operation	certain operation inhibited presently handlers
fill	specifies text move turned environments char prefix paragraphs table fill use auto-fill-function character next auto-fill-chars arguments provides override function fill-region way invoke auto newline self-inserted—space self-inserting forward warning’s characters variable non-nil buffer-local language value fill-paragraph filling paragraph called functions
imenu	specifies scanning point “definition” syntax put table expressions next matching imenu use would index controls imenu-generic-expression current assuming finding function return creating means buffer processing alist override regular variable name case definition modifiers non-nil case-sensitive imenu-prev-index-position-function whether leave list value ignore default definitions backward finds
functions	variable’s code text syntax four questions syntax-propertize-function completion whose loading writing window kill-buffer location hooks unrecognized parsing scrolling name like list calling works frame abnormal obsolete command-line make-frame find-file-noselect state asking supports kill-emacs run nonexistent killing reason members standard beginning properties delete-terminal kill-buffer-query-functions pertain called creates prior changes via saving point number one hook wrapper table size start redisplaying emacs-save-session-functions save-buffers-kill-terminal needed confirming emacs passed call function argument particular sound handling compute appearance value fun visited completing delete computing unsaved accept file contents functions end insert-file-contents holds arguments modification used intended buffer write-region redisplay find-file characters variable inserted write-file-functions buffer’s calls playing order
index	specifies scanning point variable index use would next assuming function return creating buffer put definition non-nil name imenu-prev-index-position-function “definition” value leave backward finds
field	ignore functions non-nil certain boundaries forward-sentence motion field including variable forward-paragraph forward-word
other	buffer’s non-nil scroll scroll-other-window window variable tells
lookup	scanning functions non-nil like forward-sexp pay attention syntax text properties
buffers	specifies buffer-local string would buffer go don’t file listing variable visited display buffers name
ns	function used read-no-blanks-input built-in minibuffer keymap variable local
truncate	entire area resizes normally long echo message displaying display
symbol	non-ascii non-nil treats regardless constituents symbol syntax characters table variable scan-sexps says
update	redisplay run normal whenever menu list update hook buffer redisplaying bar changes contents
generated	calls lisp autoload value go emacs names file variable
variable	specifies variable’s overlay variables list value arrow position
remote	default-directory used remote show whether current buffer variable
unload	functions defined hooks holds list library scanned remove variable unloading
overlay	specifies use attention string nil indicates variables holds list feature value marker variable’s call arrow particular variable position line overlay display
persistent	set-window-configuration parameters get alist window-state-put specifying window-state-get variable subsequently saved current-window-configuration restored
strings	far number session emacs allocated total strings
inhibited	variable backups inhibited non-nil
time	specifies use buffer-local built indicates buffer displayed value records window formatting values time variable last locale emacs
directory	specifies files variable’s holds associated certain variables within built-in one assigned names file go times buffers intended functions invoked nil would contains determined generate current program emacs don’t listing modification insert-directory local preloaded function subdirectories gnu run string invoke buffer class alist executable finds variable non-nil come strings look lib-src buffer-local name programs default documentation value "doc" etc cannot text contain directory visited display
noninteractive	non-nil batch running emacs mode variable
scroll	specifies bars tells buffers functions redisplaying holds scrolling width window emacs scroll-other-window call local object variable measured pixels buffer’s non-nil always list value scroll
