core	NoseWrapper	test	label verbose extra_argv doctests	run tests for module using nose %(test_header)s
tsa.interp		dentonm	indicator benchmark freq	modified denton's method to convert low-frequency to high-frequency data
tsa.kalmanf		kalmanfilter	F A H Q	returns the negative log-likelihood of y conditional on the information set assumes that the initial state and all innovations are multivariate
tsa.kalmanf	StateSpaceModel	_univariatefilter	params init_state init_var	implements the kalman filter recursions optimized for univariate case
tsa.kalmanf	StateSpaceModel	kalmanfilter	params init_state init_var	runs the kalman filter
tsa.kalmanf		updatematrices	params y xi10 ntrain	todo change api update names this isn't general
tsa.kalmanf	KalmanFilter	T	cls params r k	the coefficient matrix for the state vector in the state equation
tsa.kalmanf	KalmanFilter	R	cls params r k	the coefficient matrix for the state vector in the observation equation
tsa.kalmanf	KalmanFilter	Z	cls r	returns the z selector matrix in the observation equation
tsa.kalmanf	KalmanFilter	geterrors	cls y k k_ar	returns just the errors of the kalman filter
tsa.kalmanf	KalmanFilter	_init_kalman_state	cls params arma_model	returns the system matrices and other info needed for the
tsa.kalmanf	KalmanFilter	loglike	cls params arma_model set_sigma2	the loglikelihood for an arma model using the kalman filter recursions
tools		is_pandas_min_version	min_version	check whether pandas is at least min_version
tools		lstsq	a b cond overwrite_a	compute least-squares solution to equation :m a x = b compute a vector x such that the 2-norm :m |b - a x| is minimised
tools		pinv	a cond rcond	compute the moore-penrose pseudo-inverse of a matrix
tools		pinv2	a cond rcond	compute the moore-penrose pseudo-inverse of a matrix
tools		logdet_symm	m check_symm	return log(det m asserting positive definiteness of m
tools		stationary_solve	r b	solve a linear system for a toeplitz correlation matrix
tools		remove_nanrows	y x	remove common rows in [y x] that contain at least one nan todo this should be made more flexible
tools		linmod	y x weights sigma	get linear model with extra options for entry dispatches to regular model class and does not wrap the output
tools		parallel_func	func n_jobs verbose	return parallel instance with delayed function util function to use joblib only if available
tools		interpret_data	data colnames rownames	convert passed data structure to form required by estimation classes
tools		_is_recarray	data	returns true if data is a recarray
tools		mse	x1 x2 axis	mean squared error parameters
tools		rmse	x1 x2 axis	root mean squared error parameters
tools		maxabs	x1 x2 axis	maximum absolute error parameters
tools		meanabs	x1 x2 axis	mean absolute error parameters
tools		medianabs	x1 x2 axis	median absolute error parameters
tools		bias	x1 x2 axis	bias mean error parameters
tools		medianbias	x1 x2 axis	median bias median error parameters
tools		vare	x1 x2 ddof axis	variance of error parameters
tools		stde	x1 x2 ddof axis	standard deviation of error parameters
tools		iqr	x1 x2 axis	interquartile range of error rounded index no interpolations
tools		aic	llf nobs df_modelwc	akaike information criterion parameters
tools		aicc	llf nobs df_modelwc	akaike information criterion aic with small sample correction parameters
tools		bic	llf nobs df_modelwc	bayesian information criterion bic or schwarz criterion parameters
tools		hqic	llf nobs df_modelwc	hannan-quinn information criterion hqc
tools		aic_sigma	sigma2 nobs df_modelwc islog	akaike information criterion parameters
tools		aicc_sigma	sigma2 nobs df_modelwc islog	akaike information criterion aic with small sample correction parameters
tools		bic_sigma	sigma2 nobs df_modelwc islog	bayesian information criterion bic or schwarz criterion parameters
tools		hqic_sigma	sigma2 nobs df_modelwc islog	hannan-quinn information criterion hqc parameters
tools		approx_fprime	x f epsilon args	gradient of function or jacobian if function f returns 1d array parameters
tools		approx_fprime_cs	x f epsilon args	calculate gradient or jacobian with complex step derivative approximation parameters
tools		approx_hess_cs	x f epsilon args	calculate hessian with complex-step derivative approximation parameters
tools		combine_indices	groups prefix sep return_labels	use np unique to get integer group indices for product intersection
tools		group_sums	x group use_bincount	simple bincount version again
tools		group_sums_dummy	x group_dummy	sum by groups given group dummy variable
tools		dummy_sparse	groups	create a sparse indicator from a group array with integer labels parameters
tools	Group	dummy	drop_idx sparse dtype	drop_idx is only available if sparse=false
tools	GroupSorted	lag_indices	lag	return the index array for lagged values warning if k is larger then the number of observations for an
tools		_is_hierarchical	x	checks if the first item of an array-like object is also array-like if so we have a multiindex and returns true
tools	Grouping	__init__	index names	index : index-like can be pandas multiindex or index or array-like
tools	Grouping	reindex	index names	resets the index in-place
tools	Grouping	get_slices	level	sets the slices attribute to be a list of indices of the sorted groups for the first index level
tools	Grouping	count_categories	level	sets the attribute counts to equal the bincount of the integer-valued labels
tools	Grouping	sort	data index	applies a potentially hierarchical sort operation on a numpy array or pandas series/dataframe based on the grouping index or a
tools	Grouping	transform_dataframe	dataframe function level	apply function to each column by group
tools	Grouping	transform_array	array function level	apply function to each column by group
tools	Grouping	transform_slices	array function level	apply function to each group similar to transform_array but does
tools	Grouping	dummy_sparse	level	create a sparse indicator from a group array with integer labels parameters
tools	OneTimeProperty	__init__	func	create a onetimeproperty instance
tools	OneTimeProperty	__get__	obj type	this will be called on attribute access on the class or instance
tools		_make_dictnames	tmp_arr offset	helper function to create a dictionary mapping a column number to the name in tmp_arr
tools		drop_missing	Y X axis	returns views on the arrays y and x where missing observations are dropped
tools		categorical	data col dictnames drop	returns a dummy matrix given an array of categorical variables
tools		add_constant	data prepend has_constant	adds a column of ones to an array parameters
tools		isestimable	C D	true if q p contrast c is estimable for n p design d from an q x p contrast matrix c and an n x p design matrix d, checks if
tools		pinv_extended	X rcond	return the pinv of an array x as well as the singular values used in computation
tools		recipr	X	return the reciprocal of an array setting all entries less than or equal to 0 to 0
tools		recipr0	X	return the reciprocal of an array setting all entries equal to 0 as 0
tools		clean0	matrix	erase columns of zeros can save some time in pseudoinverse
tools		fullrank	X r	return a matrix whose column span is the same as x
tools		unsqueeze	data axis oldshape	unsqueeze a collapsed array >>> from numpy import mean
tools		chain_dot		returns the dot product of the given matrices
tools		nan_dot	A B	returns np dot(left_matrix right_matrix) with the convention that
tools		maybe_unwrap_results	results	gets raw results back from wrapped results
tools		brentq_expanding	func low upp args	find the root of a function in one variable by expanding and brentq assumes function func is monotonic
tools	HoldIt	save	what filename header useinstance	write attributes of this instance to python module given by filename parameters
tools	HoldIt	verify		load the saved module and verify the data this tries several ways of comparing the saved and the attached data
tools	StandardizeTransform	transform	data	standardize the data using the stored transformation
tools	StandardizeTransform	transform_params	params	transform parameters of the standardized model to the original model
tools		_generate_url	arg stable	parse inputs and return a correctly formatted url or an error if the input
tools		webdoc	arg stable	opens a browser and displays online documentation parameters
tools		add_indep	x varnames dtype	construct array with independent columns x is either iterable list tuple or instance of ndarray or a subclass of it
compat		_next_regular	target	find the next regular number greater than or equal to target
compat	OrderedDict	__init__		initialize an ordered dictionary signature is the same as for
compat	OrderedDict	__setitem__	key value dict_setitem	od __setitem__ i y <==> od[i]=y
compat	OrderedDict	__delitem__	key dict_delitem	od __delitem__ y <==> del od[y]
compat	OrderedDict	__iter__		od __iter__() <==> iter od
compat	OrderedDict	__reversed__		od __reversed__() <==> reversed od
compat	OrderedDict	clear		od clear() -> none remove all items from od
compat	OrderedDict	popitem	last	od popitem() -> k v return and remove a key value pair
compat	OrderedDict	keys		od keys() -> list of keys in od
compat	OrderedDict	values		od values() -> list of values in od
compat	OrderedDict	items		od items() -> list of key value pairs in od
compat	OrderedDict	iterkeys		od iterkeys() -> an iterator over the keys in od
compat	OrderedDict	itervalues		od itervalues -> an iterator over the values in od
compat	OrderedDict	iteritems		od iteritems -> an iterator over the key value items in od
compat	OrderedDict	update		od update(e **f) -> none update od from dict/iterable e and f
compat	OrderedDict	pop	key default	od pop(k[,d]) -> v remove specified key and return the corresponding value
compat	OrderedDict	setdefault	key default	od setdefault(k[,d]) -> od get k d also set od[k]=d if k not in od
compat	OrderedDict	__repr__	_repr_running	od __repr__() <==> repr od
compat	OrderedDict	__reduce__		return state information for pickling
compat	OrderedDict	copy		od copy() -> a shallow copy of od
compat	OrderedDict	fromkeys	cls iterable value	od fromkeys(s[, v]) -> new ordered dictionary with keys from s
compat	OrderedDict	__eq__	other	od __eq__ y <==> od==y comparison to another od is order-sensitive
compat	OrderedDict	viewkeys		od viewkeys() -> a set-like object providing a view on od's keys
compat	OrderedDict	viewvalues		od viewvalues() -> an object providing a view on od's values
compat	OrderedDict	viewitems		od viewitems() -> a set-like object providing a view on od's items
compat		iteritems	obj	replacement for six's iteritems for python2/3 compat uses 'iteritems' if available and otherwise uses 'items'
compat	Counter	__init__	iterable	create a new empty counter object and if given count elements
compat	Counter	most_common	n	list the n most common elements and their counts from the most common to the least
compat	Counter	elements		iterator over elements repeating each as many times as its count
compat	Counter	update	iterable	like dict update() but add counts instead of replacing them
compat	Counter	copy		like dict copy() but returns a counter instance instead of a dict
compat	Counter	__delitem__	elem	like dict __delitem__() but does not raise keyerror for missing values
compat	Counter	__add__	other	add counts from two counters
compat	Counter	__sub__	other	subtract count but keep only results with positive counts
compat	Counter	__or__	other	union is the maximum of value in either of the input counters
compat	Counter	__and__	other	intersection is the minimum of corresponding counts
