ArrayAccess offset Get $konum	değerin döndürüleceği konum
function ftp nb continue $ftp_akımı	ftp bağlantısının bağlantı tanıtıcısı
function int ftp nb continue	ftp_failed veya ftp_finished ya da ftp_moredata döner
function int ftp nb continue resource $ftp_akımı	dosya alımını / g&ouml;nderimini engellenmeyen kipte kaldığı yerden devam ettirir
function ftp nb put $uzak_dosya	ftp sunucundaki dosya yolu
function ftp nb put $kip	aktarım kipi
function ftp nb put $ftp_akımı	ftp bağlantısının bağlantı tanıtıcısı
function ftp nb put $yerel_dosya	yerel dosya yolu
function int ftp nb put	ftp_failed veya ftp_finished ya da ftp_moredata döner
function int ftp nb put resource $ftp_akımı string $uzak_dosya string $yerel_dosya int $kip int $başlama_yeri	bir dosyayı ftp sunucusuna engellenmeyen kipte y&uuml;kler
function ftp put $uzak_dosya	ftp sunucundaki dosya yolu
function ftp put $kip	aktarım kipi
function ftp put $ftp_akımı	ftp bağlantısının bağlantı tanıtıcısı
function ftp put $yerel_dosya	yerel dosya yolu
function bool ftp put	başarı durumunda true başarısızlık durumunda false döner
function bool ftp put resource $ftp_akımı string $uzak_dosya string $yerel_dosya int $kip int $başlama_yeri	ftp sunucusuna bir dosya y&uuml;kler
function ftp rawlist $ardışık	true belirtilirse list -r komutu çalıştırılır ve listeleme için alt dizinlere inilir
function ftp rawlist $dizin	içeriği listelenecek dizinin yolu
function ftp rawlist $ftp_akımı	ftp bağlantısının bağlantı tanıtıcısı
function array ftp rawlist	elemanları komuta verilen yanıt metninin bir satırına karşılık gelen bir dizi döner
function array ftp rawlist resource $ftp_akımı string $dizin bool $ardışık	belirtilen dizindeki dosyaların ayrıntılı bir listesini d&ouml;nd&uuml;r&uuml;r
function ftp rename $eskisi	eski dosya / dizin ismi
function ftp rename $ftp_akımı	ftp bağlantısının bağlantı tanıtıcısı
function ftp rename $yenisi	yeni dosya / dizin ismi
function bool ftp rename	başarı durumunda true başarısızlık durumunda false döner
function bool ftp rename resource $ftp_akımı string $eskisi string $yenisi	ftp sunucusundaki bir dosya veya dizinin adını değiştirir
function ftp ssl connect $zamanaşımı	bu değiştirgede her türlü ağ işlemi için zaman aşımı belirtilir
function ftp ssl connect $port	bu değiştirge normal portun dışında bir port belirtmek için kullanılır
function ftp ssl connect $adres	ftp sunucusunun adresi
function resource ftp ssl connect	hata durumunda false yoksa bir ssl-ftp akımı döner
function resource ftp ssl connect string $adres int $port int $zamanaşımı	g&uuml;venli bir ssl-ftp bağlantısı a&ccedil;ar
function ftruncate $dt	dosya tanıtıcısı
function ftruncate $boyut	budama boyu
function bool ftruncate	başarı durumunda true başarısızlık durumunda false döner
function bool ftruncate resource $dt int $boyut	bir dosyayı belli bir uzunlukta budar
function array func get args	her elemanı mevcut kullanıcı tanımlı işlevin değiştirge listesinin birer kopyası olan bir dizi döndürür
function array func get args	işleve aktarılan değiştirgelerin listesini dizi olarak d&ouml;nd&uuml;r&uuml;r
function array gd info	bir ilişkisel dizi döner
function array gd info	kurulu gd k&uuml;t&uuml;phanesi hakkında bilgi verir
function get browser $dizi_döndür	true atandığı takdirde bu işlev bir nesne yerine bir dizi döndürür
function get browser $tarayıcı	araştırılacak tarayıcı
function mixed get browser	döndürülen nesne veya dizi tarayıcının sürüm numarası kimlik dizgesi gibi bilgilerin yanında çerçeveleri çerezleri javascriptleri kabul edip etmediği gibi bilgiller true / false değerleriyle içerilir
function mixed get browser string $tarayıcı bool $dizi_döndür	kullanıcının tarayıcısının neler yapabildiğini s&ouml;yler
function string get called class	çağrıldığı sınıfın ismini döndürür
function string get called class	&ccedil;ağrıldığı duruk y&ouml;ntemin sınıf ismini d&ouml;nd&uuml;r&uuml;r
function get cfg var $yönerge	yapılandırma yönergesinin ismi
function string get cfg var	bir hata oluşursa false aksi takdirde belirtilen php yapılandırma yönergesinin değerini döndürür
function string get cfg var string $yönerge	belirtilen php y&ouml;nergesinin değerini d&ouml;nd&uuml;r&uuml;r
function get class methods $sınıf	sınıf veya nesne ismi
function array get class methods	sınıf yöntemlerinin isimlerini bir dizi olarak döndürür
function array get class methods mixed $sınıf	sınıf y&ouml;ntemlerinin isimlerini d&ouml;nd&uuml;r&uuml;r
function get class $nesne	sınanacak nesne
function string get class	belirtilen nesne nesnesinin ait olduğu sınıfın ismini bir dizge olarak döndürür
function string get class object $nesne	bir nesnenin ait olduğu sınıfın ismini d&ouml;nd&uuml;r&uuml;r
function array get declared classes	betikte tanımlanmış sınıfların isimlerini içeren bir dizi döner
function array get declared classes	tanımlı sınıfların isimlerini bir dizi olarak d&ouml;nd&uuml;r&uuml;r
function array get declared interfaces	betikte bildirilmiş arayüzlerin isimlerini içeren bir dizi döner
function array get declared interfaces	bildirilmiş t&uuml;m aray&uuml;zleri bir dizi olarak d&ouml;nd&uuml;r&uuml;r
function array get defined functions	hem kullanıcı tanımlı hem de yerleşik dahili bütün tanımlanmış işlevlerin listesini bir çok boyutlu dizi olarak döndürür
function array get defined functions	tanımlanmış b&uuml;t&uuml;n işlevleri i&ccedil;eren bir dizi d&ouml;nd&uuml;r&uuml;r
function array get defined vars	tüm tanımlı değişkenleri içeren çok boyutlu bir dizi
function array get defined vars	t&uuml;m tanımlı değişkenleri i&ccedil;eren bir dizi d&ouml;nd&uuml;r&uuml;r
function get loaded extensions $zend_eklentileri	öntanımlı değeri false olup bu durumda zend eklentilerini listelemez
function array get loaded extensions	tüm modül isimlerini içeren indisli bir dizi ile döner
function array get loaded extensions bool $zend_eklentileri	derlenmiş ve y&uuml;klenmiş t&uuml;m mod&uuml;llerin isimlerini i&ccedil;eren bir dizi d&ouml;nd&uuml;r&uuml;r
function get meta tags $include_path_kullan	bu değiştirgeye true belirtildiği takdirde php html dosyayı include_path yönergesinde belirtilen yollarda arar
function get meta tags $dosya	html dosyasının yolu
function array get meta tags	bütün meta etiketlerinden ayrıştırılan öznitelikleri içeren bir dizi döner
function array get meta tags string $dosya bool $include_path_kullan	bir html dosyanın meta etiketlerindeki &ouml;znitelikleri &ccedil;ıkarıp bir dizi olarak d&ouml;nd&uuml;r&uuml;r
function get parent class $nesne	sınanacak sınıf veya nesne ismi
function string get parent class	belirtilen nesne nesnesinin veya sınıfının ebeveyn sınıfının ismini bir dizge olarak döndürür
function string get parent class mixed $nesne	nesne veya sınıfın ebeveyn sınıfının ismini d&ouml;nd&uuml;r&uuml;r
function get resource type $tanıtıcı	sınanacak özkaynak
function string get resource type	belirtilen tanıtıcı bir özkaynak ise bu işlev bu özkaynağın türünü belirten bir dizge döndürür
function string get resource type resource $tanıtıcı	&ouml;zkaynak t&uuml;r&uuml;n&uuml; d&ouml;nd&uuml;r&uuml;r
function array getallheaders	herşey yolunda gitmişse mevcut isteğe ait tüm http başlıklarını içeren bir ilişkili dizi döndürür aksi takdirde false döndürür
function array getallheaders	t&uuml;m http istek başlıklarını getirir
function string getcwd	başarılı olursa geçerli çalışma dizinini aksi takdirde false döndürür
function string getcwd	ge&ccedil;erli &ccedil;alışma dizinini d&ouml;nd&uuml;r&uuml;r
function getdate $zaman_damgası	seçimlik zaman_damgası değiştirgesi integer türünde bir unix zaman damgası olup belirtilmediği takdirde yerel zaman kullanılır
function array getdate	zaman_damgası na karşılık olan tarih bilgisini bir ilişkisel dizi olarak döndürür
function array getdate int $zaman_damgası	tarih / zaman bilgisi getirir
function getenv $değişken	ortam değişkeninin ismi
function string getenv	bir hata oluşursa false aksi takdirde değişken ile belirtilen ortam değişkeninin değerini döndürür
function string getenv string $değişken	bir ortam değişkeninin değerini d&ouml;nd&uuml;r&uuml;r
function gethostbyaddr $ip_adresi	konağın ip adresi
function string gethostbyaddr	başarısızlık durumunda ip_adresi ile aksi takdirde konak ismi ile döner
function string gethostbyaddr string $ip_adresi	belirtilen ip adresine &ccedil;&ouml;z&uuml;mlenen konak ismini d&ouml;nd&uuml;r&uuml;r
function gethostbyname $konakadı	konak adı
function string gethostbyname	başarı durumunda bir dizge olarak ipv4 adresiyle aksi takdirde konakadı ile döner
function string gethostbyname string $konakadı	belirtilen konak adına ait ipv4 adresini d&ouml;nd&uuml;r&uuml;r
function gethostbynamel $konakadı	konak adı
function array gethostbynamel	konakadı çözümlenemezse false aksi takdirde ipv4 adreslerinin listesini döndürür
function array gethostbynamel string $konakadı	belirtilen konak adına ait ipv4 adreslerini d&ouml;nd&uuml;r&uuml;r
function string gethostname	başarısızlık durumunda false
function string gethostname	konak ismini d&ouml;nd&uuml;r&uuml;r
function getmxrr $önem	mx konaklarının isteklere yanıt verme sırasını belirleyen bilginin yerleştirileceği dizi seçimlik
function getmxrr $emiksler	bulunan mx kayıtlarının yerleştirileceği dizi
function getmxrr $konakadı	ağ konak adı
function bool getmxrr	bir mx kaydı bulunmuşsa true bir kayıt yoksa veya bir hata oluşmuşsa false döner
function bool getmxrr string $konakadı array $emiksler array $önem	belirtilen konak adı ile ilgili mx kaydını d&ouml;nd&uuml;r&uuml;r
function int getmyinode	hata oluşursa false aksi takdirde çalışan betiğin dosya düğümü numarasını bir tamsayı olarak döndürür
function int getmyinode	&ccedil;alışan betiğin dosya d&uuml;ğ&uuml;m&uuml; numarasını d&ouml;nd&uuml;r&uuml;r
function int getmypid	hata oluşursa false aksi takdirde php süreç kimliği döner
function int getmypid	php'nin s&uuml;re&ccedil; kimliğini pid d&ouml;nd&uuml;r&uuml;r
function getprotobyname $ad	protokolün adı
function int getprotobyname	protokol ismini bulamazsa -1 aksi takdirde protokol numarası ile döner
function int getprotobyname string $ad	protokol ismine karşılık d&uuml;şen protokol numarasını verir
function gettext $ileti	çevrilecek ileti
function string gettext	çevrilmişse çevrilmiş iletiyle çevrilmemişse belirtilen iletiyle döner
function string gettext string $ileti	ge&ccedil;erli uygulama alanında bir iletiyi arar
function glob $kalıp	dosya eşleştirme kalıbı
function glob $seçenekler	geçerli seçenekler: glob_mark - dönen her dizine bir bölü çizgisi ekler
function array glob	eşleşen dosya ve dizinleri içeren bir dizi döndürür
function array glob string $kalıp int $seçenekler	bir kalıpla eşleşen dosya yollarını bulur
function gmdate $biçim	zaman çıktısının biçimi string türündendir
function gmdate $zaman_damgası	seçimlik zaman_damgası değiştirgesi integer türünde bir unix zaman damgası olup belirtilmediği takdirde yerel zaman kullanılır
function string gmdate	biçimlendirilmiş tarih dizgesi döndürür
function string gmdate string $biçem int $zaman_damgası	bir tarih / saati gmt / utc tarih / saati olarak bi&ccedil;emler
function gmstrftime $zaman_damgası	seçimlik zaman_damgası değiştirgesi integer türünde bir unix zaman damgası olup belirtilmediği takdirde yerel zaman kullanılır
function gmstrftime $biçem	açıklama için strftime() işlevine bakınız
function string gmstrftime	istenilen biçime göre verilen zaman_damgası değiştirgesini ya da zaman damgası değiştirgesi kullanılmamışsa yerel zamanı; biçimlendirilmiş dizge olarak döndürür
function string gmstrftime string $biçem int $zaman_damgası	yerel ayarlara g&ouml;re tarih ve saati gmt / utc t&uuml;r&uuml;ne &ccedil;evirir
function grapheme extract $birim	boyut değiştirgesini oluşturacak birim türü: grapheme_extr_count öntanımlı) - boyut döndürülecek öntanımlı sesletim kümesi sayısıdır
function grapheme extract $boyut	döndürülecek azami birim sayısı
function grapheme extract $başlangıç	bayt cinsinden aramanın başlatılacağı konum
function grapheme extract $sonraki	sonraki aramanın başlangıç konumu
function grapheme extract $samanlık	aramanın yapılacağı dizge
function string grapheme extract	belirtilen başlangıç konumunda başlayıp boyut ve birim değiştirgelerine göre uzunluğu belirlenen bir öntanımlı sesletim kümesini içeren bir dizge ile döner
function string grapheme extract string $samanlık int $boyut int $birim int $başlangıç int $sonraki	utf-8 kodlanmış bir metin tamponundan &ouml;ntanımlı sesletim k&uuml;melerinden oluşan bir dizilimi d&ouml;nd&uuml;r&uuml;r
function grapheme stristr $iğne	aranacak dizge
function grapheme stristr $ilk_parça	true ise iğne nin bulunduğu ilk konuma göre samanlık dizgesinin ilk parçası döner
function grapheme stristr $samanlık	aramanın yapılacağı dizge
function string grapheme stristr	iğne bulunamazsa false aksi takdirde dizge parçası ile döner
function string grapheme stristr string $samanlık string $iğne bool $ilk_parça	harf b&uuml;y&uuml;kl&uuml;ğ&uuml;ne duyarsız olarak bir dizgedeki ilk sesletim birimine g&ouml;re ilk veya ikinci par&ccedil;a ile d&ouml;ner
function grapheme strlen $dizge	uzunluğu sesletim birimi cinsinden ölçülecek dizge
function int grapheme strlen	dizge boşsa 0 değilse dizgenin uzunluğu
function int grapheme strlen string $dizge	dizgenin sesletim birimi cinsinden uzunluğunu d&ouml;nd&uuml;r&uuml;r
function grapheme strstr $iğne	aranacak dizge
function grapheme strstr $ilk_parça	true ise iğne nin bulunduğu ilk konuma göre samanlık dizgesinin ilk parçası döner
function grapheme strstr $samanlık	aramanın yapılacağı dizge
function string grapheme strstr	iğne bulunamazsa false aksi takdirde dizge parçası ile döner
function string grapheme strstr string $samanlık string $iğne bool $ilk_parça	bir dizgedeki ilk sesletim birimine g&ouml;re ilk veya ikinci par&ccedil;a ile d&ouml;ner
function gregoriantojd $yil	-4714 ile 9999 arasında yıl değeri
function gregoriantojd $gun	1 ile 31 arasında gün değeri
function gregoriantojd $ay	1den ocak 12ye aralık kadar ay değeri
function int gregoriantojd	gregoryen tarihine karşılık tamsayı olarak jülyen gün sayısı
function int gregoriantojd int $ay int $gun int $yil	gregoryen tarihini j&uuml;lyen g&uuml;n sayısına &ccedil;evirir
function gzdeflate $seviye	sıkıştırma seviyesi
function gzdeflate $kodlama	zlib_encoding_* sabitlerinden biri
function gzdeflate $data	sıkıştırılacak veri
function string gzdeflate	bir hata oluşursa false aksi takdirde sıkıştırılmış dizgeyi döndürür
function string gzdeflate string $veri int $seviye int $kodlama	bir dizgeyi deflate bi&ccedil;eminde sıkıştırır
function gzeof $dt	gzipli dosya tanıtıcısı
function int gzeof	gzipli dosya tanıtıcısında dosya sonuna gelinmişse veya bir hata oluşmuşsa true aksi takdirde false döndürür
function int gzeof resource $dt	gzipli dosya tanıtıcında dosya sonunu sınar
function gzgetc $dt	gzipli dosya tanıtıcısı
function string gzgetc	sıkıştırılmamış karakteri veya gzeof() tan farklı olarak dosya sonuna gelinmişse false döndürür
function string gzgetc resource $dt	gzipli dosya g&ouml;stericisindeki karakteri d&ouml;nd&uuml;r&uuml;r
function gzgets $dt	gzipli dosya tanıtıcısı
function gzgets $uzunluk	okunacak verinin uzunluğu
function string gzgets	bir hata oluşursa false aksi takdirde sıkıştırılmamış dizgeyi döndürür
function string gzgets resource $dt int $uzunluk	gzipli dosya tanıtıcısından bir satır d&ouml;nd&uuml;r&uuml;r
function gzgetss $dt	gzipli dosya tanıtıcısı
function gzgetss $izinli_etiketler	bu isteğe bağlı değiştirgede ayıklanmayacak etiketleri belirtebilirsiniz
function gzgetss $uzunluk	okunacak verinin uzunluğu
function string gzgetss	bir hata oluşursa false aksi takdirde sıkıştırılmamış ve etiketleri ayıklanmış dizgeyi döndürür
function string gzgetss resource $dt int $uzunluk string $izinli_etiketler	gzipli dosya tanıtıcısından bir satır okuyup html etiketlerinden arındırır
function gzinflate $uzunluk	kodu çözülecek verinin azami uzunluğu
function gzinflate $veri	gzdeflate() tarafından sıkıştırılmış veri
function string gzinflate	bir hata durumunda false aksi takdirde verinin sıkıştırılmamış halini döndürür
function string gzinflate string $veri int $uzunluk	deflate sıkıştırmalı bir verinin sıkıştırmasını a&ccedil;ar
function gzopen $kip	fopen() işlevindeki gibi rb veya wb olmakla birlikte ayrıca bir sıkıştırma seviyesiyle wb9 gibi birlikte bir strateji de belirtilebilir: wb6f örneğindeki gibi süzgeçli veri için f ; wb1h örneğindeki gibi sadece huffman sıkıştırması için h
function gzopen $dosyaismi	gzipli dosyanın ismi
function gzopen $include_path_kullan	bu isteğe bağlı değiştirgeye 1 belirtirseniz dosya ayrıca include_path yönergesinde belirtilen yolarda da aranır
function resource gzopen	açılan dosyaya bir dosya tanıtıcısı döndürür
function resource gzopen string $dosyaismi string $kip int $include_path_kullan	bir gzipli dosya a&ccedil;ar
function gzpassthru $dt	gzipli dosya tanıtıcısı
function int gzpassthru	belirtilen dosya tanıtıcısından okunan sıkıştırılmamış bayt sayısı veya bir hata oluşmuşsa false döner
function int gzpassthru resource $dt	gzipli dosya tanıtıcısında kalan verinin tamamını &ccedil;ıktılar
function gzread $uzunluk	okunacak sıkıştırılmamış bayt sayısı
function gzread $dt	gzipli dosya tanıtıcısı
function string gzread	okunan veri ile döner
function string gzread resource $dt int $uzunluk	gzipli dosyayı ikil kipte okur
function gzseek $dt	gzipli dosya tanıtıcısı
function gzseek $konum	göstericinin götürüleceği konum
function gzseek $nereye	olası nereye değerleri: seek_set - gösterici tam konum uncu bayta yerleştirilir
function int gzseek	başarı durumunda 0 aksi takdirde -1 döner
function int gzseek resource $dt int $konum int $nereye	gzipli dosya g&ouml;stericisini konumlar
function gztell $dt	gzipli dosya tanıtıcısı
function int gztell	dosya göstericisinin yeri veya bir hata oluşmuşsa false döner
function int gztell resource $dt	gzipli dosya tanıtıcısının okuma / yazma konumunu d&ouml;nd&uuml;r&uuml;r
function gzuncompress $uzunluk	kodu çözülecek verinin azami uzunluğu
function gzuncompress $veri	gzcompress() tarafından sıkıştırılmış veri
function string gzuncompress	verinin sıkıştırılmamış halini veya bir hata oluşması halinde false döndürür
function string gzuncompress string $veri int $uzunluk	sıkıştırılmış bir dizgenin sıkıştırmasını a&ccedil;ar
function gzwrite $dt	gzipli dosya tanıtıcısı
function gzwrite $uzunluk	yazılacak sıkıştırılmamış bayt sayısı
function gzwrite $dizge	sıkıştırılarak dosyaya yazılacak dizge
function int gzwrite	belirtilen sıkıştırılmış dosya akımına yazılan sıkıştırılmamış bayt sayısı ile döner
function int gzwrite resource $dt string $dizge int $uzunluk	bir dizgeyi bir gzipli dosyaya ikil kipte yazar
function void halt compiler	derleyicinin &ccedil;alışmasını durdurur
function array hash algos	desteklenen özetleme algoritmalarını içeren sayısal indisli bir dizi döndürür
function array hash algos	kayıtlı &ouml;zetleme algoritmalarının bir listesini d&ouml;nd&uuml;r&uuml;r
function hash copy $bağlam	hash_init() tarafından döndürülmüş özetleme bağlamı
function resource hash copy	özetleme bağlamı özkaynağının bir kopyasını döndürür
function resource hash copy resource $bağlam	&ouml;zetleme bağlamını kopyalar
function hash final $bağlam	hash_init() tarafından döndürülmüş özetleme bağlamı
function hash final $ham_çıktı	true olduğu takdirde ham ikil veri çıktılanır aksi takdirde false küçük harfli onaltılıklar çıktılanır
function string hash final	hesaplanan ileti özetini ham_çıktı için true belirtilmedikçe küçük harfli onaltılıklardan oluşan bir dizge olarak aksi takdirde ham ikil gösterimi içeren bir dizge olarak çıktılar
function string hash final resource $bağlam bool $ham_çıktı	bir ardışık &ouml;zetleme işlemini bitirip &uuml;retilen &ouml;zeti d&ouml;nd&uuml;r&uuml;r
function hash hmac file $dosya	özeti hesaplanacak dosyanın yeri; fopen() sarmalayıcıları desteklenir
function hash hmac file $ham_çıktı	true olduğu takdirde ham ikil veri çıktılanır aksi takdirde false küçük harfli onaltılıklar çıktılanır
function hash hmac file $algo	özetleme algoritmasının ismi md5 sha256 haval160 4 ve benzerleri
function hash hmac file $anahtar	hmac ileti özetinin üretiminde kullanılacak paylaşımlı gizli anahtar
function string hash hmac file	hesaplanan ileti özetini ham_çıktı için true belirtilmedikçe küçük harfli onaltılıklardan oluşan bir dizge olarak aksi takdirde ham ikil gösterimi içeren bir dizge olarak çıktılar
function string hash hmac file string $algo string $dosya string $anahtar bool $ham_çıktı	bir dosyanın i&ccedil;eriğinden hmac y&ouml;ntemini kullanarak bir anahtarlı ileti &ouml;zeti &uuml;retir
function hash update file $dosya	özeti hesaplanacak dosyanın yeri; fopen() sarmalayıcıları desteklenir
function hash update file $bağlam	hash_init() tarafından döndürülmüş özetleme bağlamı
function hash update file $akım	stream_context_create() ile oluşturulmuş bir akım bağlamı
function bool hash update file	başarı durumunda true başarısızlık durumunda false döner
function bool hash update file resource $bağlam string $dosya resource $akım	veriyi bir dosyadan etkin bir &ouml;zetleme bağlamına dahil eder
function hash update stream $bağlam	hash_init() tarafından döndürülmüş özetleme bağlamı
function hash update stream $dt	bir akım oluşturma işlevi tarafından oluşturulmuş bir dosya tanıtıcısı
function hash update stream $uzunluk	akımdan özetleme bağlamına kopyalanacak azami karakter sayısı
function int hash update stream	dt den bağlam a eklenebilen bayt sayısı
function int hash update stream resource $bağlam resource $dt int $uzunluk	veriyi a&ccedil;ık bir akımdan etkin bir &ouml;zetleme bağlamına dahil eder
function hash $ham_çıktı	true olduğu takdirde ham ikil veri çıktılanır aksi takdirde false küçük harfli onaltılıklar çıktılanır
function hash $algo	özetleme algoritmasının ismi md5 sha256 haval160 4 ve benzerleri
function hash $veri	özeti çıkarılacak ileti
function string hash	hesaplanan ileti özetini ham_çıktı için true belirtilmedikçe küçük harfli onaltılıklardan oluşan bir dizge olarak aksi takdirde ham ikil gösterimi içeren bir dizge olarak çıktılar
function string hash string $algo string $veri bool $ham_çıktı	bir ileti &ouml;zeti &uuml;retir
function header $http_yanıt_kodu	http yanıt kodunun belirtilen değer olması için zorlanır
function header $değiştir	değiştir değiştirgesi isteğe bağlı olup önceki bir başlığın mı değiştireceğini yoksa aynı türde ikinci bir başlık daha mı ekleneceğini belirtilir
function header $dizge	başlık dizgesi
function void header string $dizge bool $değiştir int $http_yanıt_kodu	ham bir http başlığı g&ouml;nderir
function array headers list	başlıkları içeren sayısal indisli bir dizi döndürür
function array headers list	g&ouml;nderilmiş veya g&ouml;nderilmeye hazır yanıt başlıklarının listesiyle d&ouml;ner
function headers sent $satır	çıktının başlatılacağı satır numarası
function headers sent $dosya	isteğe bağlı dosya ve satır değiştirgeleri kullanılırsa headers_sent() işlevi çıktının başlatılacağı php kaynak dosyası ismi ve satır numarasını dosya ve satır değiştirgelerine yerleştirir
function bool headers sent	henüz hiçbir başlık gönderilmemişse headers_sent() işlevi false ile döner aksi takdirde true döndürür
function bool headers sent string $dosya int $satır	başlıklar g&ouml;nderilmiş mi g&ouml;nderilmişse nerede g&ouml;nderilmiş diye bakar
function hebrev $ibranice_metin	ibranice girdi dizgesi
function hebrev $satırdaki_azami_krk_sayısı	isteğe bağlı bu değiştirge ile her satırda bulunabilecek azami karakter sayısı belirtilebilir
function string hebrev	görsel dizge
function string hebrev string $ibranice_metin int $satırdaki_azami_krk_sayısı	mantıksal ibranice metni g&ouml;rsel metne d&ouml;n&uuml;şt&uuml;r&uuml;r
function hebrevc $ibranice_metin	ibranice girdi dizgesi
function hebrevc $satırdaki_azami_krk_sayısı	isteğe bağlı bu değiştirge ile her satırda bulunabilecek azami karakter sayısı belirtilebilir
function string hebrevc	görsel dizge
function string hebrevc string $ibranice_metin int $satırdaki_azami_krk_sayısı	mantıksal ibranice metni satırsonlarıyla birlikte g&ouml;rsel metne d&ouml;n&uuml;şt&uuml;r&uuml;r
function highlight file $döndür	vurgulanmış dizgeyi çıktılamak yerine döndürmesini isterseniz bu değiştirgeyle işleve true aktarın
function highlight file $dosya	vurgulanacak php kodunu içeren dosyanın yolu
function mixed highlight file	döndür değiştirgesi true ise elde edilen dizge basılmaz sadece döndürülür
function mixed highlight file string $dosya bool $döndür	bir dosyadaki s&ouml;zdizimini vurgular
function html entity decode $karküm	dönüşümde kullanılacak karakter kümesi
function html entity decode $dizge	girdi dizgesi
function html entity decode $öncelem_türü	seçimlik öncelem_türü değiştirgesi ile çift ve tek tırnaklar için işlevin nasıl davranacağını belirleyebilirsiniz
function string html entity decode	kodlaması çözülmüş dizge
function string html entity decode string $dizge int $öncelem_türü string $karküm	d&ouml;n&uuml;şt&uuml;r&uuml;lebilecek t&uuml;m html &ouml;ğelerini karakter haline getirir
function htmlspecialchars $karküm	dönüşümde kullanılacak karakter kümesi
function htmlspecialchars $dizge	dönüştürülecek dizge
function htmlspecialchars $çifte_kodlama	bu değiştirgede false belirtilirse zaten kodlanmış html öğeleri tekrar kodlanmaz
function htmlspecialchars $öncelem_türü	belirtilmesi isteğe bağlı olan bu değiştirgede tek ve çift tırnaklar için işlevin nasıl işlem yapacağı belirtilir
function string htmlspecialchars	dönüştürülen dizge
function string htmlspecialchars string $dizge int $öncelem_türü string $karküm bool $çifte_kodlama	&ouml;zel karakterleri html &ouml;ğeleri haline getirir
function http build query $form_verisi	özellikleri içeren bir dizi veya nesne belirtilebilir
function http build query $ayraç	bu değiştirgede bir ayraç belirtilmezse değiştirge ayracı olarak arg_separator
function http build query $sayısal_önek	temel dizide sayısal indisler kullanılmışsa sayısal indislerin her birinin önüne bu değiştirgede belirtilen değer getirilir ve bu sadece temel dizinin indislerine uygulanır
function string http build query	url kodlamalı bir dizge döner
function string http build query array $form_verisi string $sayısal_önek string $ayraç	url kodlamalı sorgu dizgesi &uuml;retir
function iconv get encoding $tür	isteğe bağlı type değiştirgesi ile şunlardan biri belirtilebilir: hepsi için all girdi karakter kodlaması için input_encoding çıktı karakter kodlaması için output_encoding dahili karakter kodlaması için internal_encoding
function mixed iconv get encoding	başarısızlık durumunda false aksi takdirde dahili yapılandırma değişkeninin değeri döner
function mixed iconv get encoding string $tür	iconv eklentisinin dahili yapılandırma değişkenlerini d&ouml;nd&uuml;r&uuml;r
function iconv mime decode $kip	kip değiştirgesi işlev bozuk bir mime başlık alanı saptadığı takdirde işlevin davranışını belirler
function iconv mime decode $karküm	isteğe bağlı karküm değiştirgesi elde edilecek dizgenin karakter kümesini belirler
function iconv mime decode $kodlanmış_başlık	bir dizge olarak kodlanmış başlık
function string iconv mime decode	başarı durumunda kodu çözülmüş mime alanı aksi takdirde false döner
function string iconv mime decode string $kodlanmış_başlık int $kip string $karküm	bir mime başlık alanının kodunu &ccedil;&ouml;zer
function iconv mime encode $alan_değeri	alanın değeri
function iconv mime encode $alan_adı	alan ismi
function iconv mime encode $tercihler	isteğe bağlı tercihler değiştirgesinde yapılandırma öğelerini içeren bir dizi belirterek iconv_mime_encode() işlevinin davranışını belirleyebilirsiniz
function string iconv mime encode	başarı durumunda kodlanmış mime alanı aksi takdirde false döner
function string iconv mime encode string $alan_adı string $alan_değeri array $tercihler	bir mime başlık alanı tertipler
function iconv set encoding $türü	bir dizge olarak şunlardan biri olabilir: input_encoding output_encoding internal_encoding
function iconv set encoding $karküm	karakter kümesi
function bool iconv set encoding	başarı durumunda true başarısızlık durumunda false döner
function bool iconv set encoding string $türü string $karküm	karakter kodlaması d&ouml;n&uuml;ş&uuml;m&uuml; i&ccedil;in ge&ccedil;erli karakter k&uuml;mesini tanımlar
function iconv strlen $karküm	eğer karküm belirtilmezse dizgenin karakter kodlamasının iconv
function iconv strlen $dizge	karakter sayısı hesaplanacak dizge
function int iconv strlen	dizge dizgesinin karakter sayısını bir tamsayı olarak döndürür
function int iconv strlen string $dizge string $karküm	dizgenin karakter sayısı ile d&ouml;ner
function iconv strpos $karküm	eğer karküm belirtilmezse dizgenin karakter kodlamasının iconv
function iconv strpos $başlangıç	aramanın başlatılacağı konum seçimlik
function iconv strpos $iğne	aranacak alt dizge
function iconv strpos $samanlık	aramanın yapılacağı dizge
function int iconv strpos	ilk iğne nin samanlık içinde bulunduğu yerin indisi ile döner
function int iconv strpos string $samanlık string $iğne int $başlangıç string $karküm	samanlıktakı ilk iğneyi bulur
function iconv $dizge	dönüştürülecek dizge
function iconv $kodlamaya	çıktı karakter kümesi
function iconv $kodlamadan	girdi karakter kümesi
function string iconv	dönüşüm başarılı olursa dönüştürülen dizge aksi takdirde false döner
function string iconv string $kodlamadan string $kodlamaya string $dizge	dizgenin karakter kodlamasını d&ouml;n&uuml;şt&uuml;r&uuml;r
function idate $zaman_damgası	seçimlik zaman_damgası değiştirgesi integer türünde bir unix zaman damgası olup belirtilmediği takdirde yerel zaman kullanılır
function int idate	integer türünde bir değer döner
