smime	$loc$ utility
kextunload -c classname	terminate all instances of class classname that are in the ioservice plane of the i/o registry if possible but do not unload the defining kext or its iokitpersonalities
kextunload -p	terminate services and remove personalities only do not unload kexts
kextutil kext	the pathname of a kext bundle to load or otherwise use
ldapsearch -l	search results are display in ldap data interchange format detailed in ldif $num$
ldapsearch -t t	a single -t writes retrieved non-printable values to a set of temporary files
ldapsearch -u	include the user friendly name form of the distinguished name dn in the output
lp -o	page-right=n
lp -d destination	prints files to the named printer
lsbom -s	print only the path of each file
lsbom -l	list symbolic links
lsbom -f	list files
lsbom -p parameters	print only some of the results note each option can only be used once
lsm create map file input files	create a new lsm map from the specified input_files
lsm file	each input_file represents a separate category
lsm evaluate map file input files	classify the specified input_files into the categories of the lsm map
lsm --html	strip html codes from the input_files
lsm --junk mail	when parsing the input files apply heuristics to counteract common methods used by spammers to disguise incriminating words such as zer0 1nt3rest l0ans substituting letters with digits w e a l t h adding spaces between letters m .o.r .t.g .a.g .e adding punctuation between letters available for the create update evaluate and dump commands
lsm --category delimiter	delimiter specify the delimiter to be used to between categories in the input_files passed to the create and update commands
lsof -i i	selects the listing of files any of whose internet address matches the address specified in i
lsof -p s	excludes or selects the listing of files for the processes whose optional process identification pid numbers in the comma-separated sets s
lsof -u s	selects the listing of files for the user whose login names or user id numbers are int he comma-separated set s
lsof -d d	directs lsof s use of the device cache file
lsort -dictionary	use dictionary-style comparison
lsort -real	convert list elements to floating-point values and use floating comparison
lsort -unique	if this option is specified then only the last set of duplicate elements found in the list will be retained
makeinfo --html	output html rather than info
makeinfo --xml	output texinfo xml rather than info
makeinfo --docbook	output docbook xml rather than info
makeinfo --no headers	suppress node separators node lines and menus from info output thus producing plain text or from html thus producing shorter output ; also write to standard output by default
makeinfo --number sections	output chapter and sectioning numbers
makeinfo --no split	suppress the splitting of info or html output generate only one output file
mcxquery -user	specify the short name of the user record to read managed preferences from
mcxquery -group	specify the short name of the group record to read managed preferences from
mcxquery -computer	specify the computer record to read managed preferences from
mcxquery -o path	writes output to a file at the specified path
mcxquery -computeronly	ignores values for -user and -group
mpioutil list	lists all multipathed logical units
mpioutil info -i lun identifier	get information on a multipathed logical unit
mpioutil modify -l lun identifier	repair a degraded mirror by adding a new disk given as newdevice to the raid mirror set whose exported disk device or set uuid is given as raidvolume
nc -p source port	specifies the source port nc should use subject to privilege restrictions and availability
nc -w timeout	if a connection and stdin are idle for more than timeout seconds then the connection is silently closed
nc -s source ip address	specifies the ip of the interface which is used to send the packets
newfs exfat -v volume name	volume name label
newfs msdos -f format	specify a standard floppy disk format
newfs msdos -v volume name	volume name filesystem name up to $num$ characters
nseq -in filename	this specifies the input filename to read or standard input if this option is not specified
nseq -out filename	specifies the output filename or standard output by default
nseq -toseq	normally a netscape certificate sequence will be input and the output is the certificates contained in it
ocsp -respout	file write out the der encoded certificate request or response to file
ocsp -resp text	print out the text form of the ocsp request response or both respectively
ocsp -respin file	read ocsp request or response file from file
ocsp -text	print out the text form of the ocsp request response or both respectively
ocsp -ca file	ca certificate corresponding to the revocation information in indexfile
ocsp -rsigner file	the certificate to sign ocsp responses with
ocsp -reqin file	read ocsp request or response file from file
open -a application	specifies the application to use for opening the file
open -h	searches header locations for a header whose name matches the given string and then opens it
opensnoop -e	print errno value
opensnoop -f pathname	file pathname to snoop
packagemaker -p	the path including the package name and extension .pkg or .mpkg where the package is created
packagemaker -r	directory containing installation resources such as scripts and read me files
packagemaker --out destination path	if specified the build result will be output to destination-path
packagemaker -i package identifier	a package identifier which should be unique for this package
packagemaker -r root path	a path to a directory to package
packagemaker -o destination path	if specified the signed version of the input will be output to destination-path
packagemaker --root root path	a path to a directory to package
packagemaker -i	path to property list file .plist that is copied to the package s contents directory as info .plist
packagemaker --id package identifier	a package identifier which should be unique for this package
packagemaker --target	10.5<or>10.4<or>10.3 specifies the minimum target operating system version
packagemaker --info info path	a path to an info .plist file for a bundle package or a package-info file for a flat package
packagemaker -t title	the title that will be given to your package
packagemaker --doc pmdoc path	a path to a .pmdoc file built using the packagemaker gui
packagemaker -d pmdoc path	a path to a .pmdoc file built using the packagemaker gui
packagemaker --title title	the title that will be given to your package
packagemaker --version	the version number that will be given to your package
packagemaker -d	path to property list file .plist that is copied to the package s resources directory as description .plist
packagemaker -v	verbose output during archiving
packagemaker -w	if specified packagemaker will disable automatic relocation of package contents
paste -d list	use one or more of the provided characters to replace the newline characters instead of the default tab
paste -s	concatenate all of the lines of each separate input file in command line order
pathchk -p	perform portability checks on the specified pathname arguments
pax -f archive	specify archive as the pathname of the input or output archive overriding the default standard input for list and read or standard output for write
pax -w	write files to the standard output in the specified archive format
pax -v	during a list operation produce a verbose table of contents using the format of the ls $num$ utility with the -l option
pax -rw	copy
pax -r	read an archive file from standard input and extract the specified file operands
pax -i	interactively rename files or archive members
pax -u user	select a file based on its user name or when starting with a #, a numeric uid
pax -g group	select a file based on its group name or when starting with a #, a numeric gid
pax -y	this option is the same as the -d option except that the inode change time is checked using the pathname created after all the file name modifications have completed
pax -z	this option is the same as the -u option except that the modification time is checked using the pathname created after all the file name modifications have completed
pcastctl target	affect agent or server daemon
pcastctl status	print status of running daemons
pg dump dbname	specifies the name of the database to be dumped
pg dump -t table	dump only tables or views or sequences matching table
pg dump -t table	do not dump any tables matching the table pattern
php -r code	run php code without using script tags <?..?>
php -e code	ru n php code after processing all input lines
ping6 -w	generate icmpv6 node information dns name query rather than echo-request
ping6 host	ipv6 address of the final destination node
ping6 -a addrtype	generate icmpv6 node information node addresses query rather than echo-request
pkcs12 -out filename	the filename to write certificates and private keys to standard output by default
pkcs12 -in filename	this specifies filename of the pkcs#12 file to be parsed
pkcs12 -clcerts	only output client certificates not ca certificates
pkcs8 -v2 alg	this option enables the use of pkcs#5 v2.0 algorithms
pkcs8 -topk8	normally a pkcs#8 private key is expected on input and a traditional format private key will be written
pkcs8 -in filename	this specifies the input filename to read a key from or standard input if this option is not specified
pkcs8 -out filename	this specifies the output filename to write a key to or standard output by default
pkcs8 -v1 alg	this option specifies a pkcs#5 v1.5 or pkcs#12 algorithm to use
pkcs8 -nocrypt	pkcs#8 keys generated or input are normally pkcs#8 encryptedprivatekeyinfo structures using an appropriate password based encryption algorithm
postgres -p port	specifies the $loc$ port or local unix domain socket file extension on which postgres is to listen for connections from client applications
pppd call name	read options from the file $loc$
pppd name name	sets the logical name of the link to name
prepare transaction transaction id	an arbitrary identifier that later identifies this transaction for commit prepared or rollback prepared
procsystime -p pid	examine this pid
procsystime -n name	examine processes which have this name
procsystime -o	print cpu times ns
procsystime -c	print syscall counts
procsystime -a	print all data
pstopdf -i	reads from stdin rather than a named input file
pstopdf -o outname	the name of the output file to create
pwpolicy -getglobalpolicy	get global policies
pwpolicy -getpolicy	get policies for a user
pwpolicy -u	name of the user account to modify
pwpolicy -setpolicy	set policies for a user -setpolicyglobal set a user account to use global policies
pwpolicy -a	name of the authenticator
raidutil -t	this option terse will minimize superfluous text
rcsmerge -r rev	merge with respect to revision rev
stat -f format	display information using the specified format
reindex index	recreate the specified index
reindex name	the of the specific index table or database to be reindexed
reindex table	recreate all indexes of the specified table
reindexdb --table table	reindex table only
reindexdb -t table	reindex table only
reindexdb --index index	recreate index only
reindexdb -i index	recreate index only
req -in filename	this specifies the input filename to read a request from or standard input if this option is not specified
req -text	prints out the certificate request in text form
req -verify	verifies the signature on the request
req -noout	this option prevents output of the encoded version of the request
reset configuration parameter	name of a settable run-time parameter
rezdet -big	reads the data for each resource into memory one resource at a time instead of all at once
rezdet resourcefile1	specifies one or more resource files to be checked
rlog -r	print only the name of the rcs file
rlog -l	ignore rcs files that have no locks set
rlog -h	print only the rcs pathname working pathname head default branch access list locks symbolic names and suffix
rlog -l	print information about locked revisions only
rpcgen -t	generate the code to support rpc dispatch tables
rpcgen -h	compile into c data-definitions a header file
rpcinfo -p	probe the portmapper on host and print a list of all registered rpc programs
rpcinfo -d	delete registration for the rpc service of the specified program and version
rsautl -inkey file	the input key file by default it should be an rsa private key
rsautl -sign	sign the input data and output the signed result
rsautl -raw	the padding to use pkcs#1 v1.5 the default pkcs#1 oaep special padding used in ssl v2 backwards compatible handshakes or no padding respectively
rsautl -hexdump	hex dump the output data
rsautl -verify	verify the input data and output the recovered data
sc usage -e	specifying the -e option generates output that is sorted by call count
sc usage -s	by default sc_usage updates its output at one second intervals
setfile -m date	sets the modification date where date is a string of the form in -d above
slapacl -v	enable verbose mode
slapacl -u authcid	specify an id to be mapped to a dn as by means of authz-regexp or authz-rewrite rules (see slapd .conf $num$ for details); mutually exclusive with -d
slapacl -f slapd.conf	specify an alternative slapd .conf $num$ file
slapacl -b dn	specify the dn which access is requested to the corresponding entry is fetched from the database and thus it must exist
slapauth -f slapd.conf	specify an alternative slapd .conf $num$ file
slapauth -u authcid	specify an id to be used as authcid throughout the test session
slapauth -x authzid	specify an id to be used as authzid throughout the test session
slapauth -v	enable verbose mode
slapdn -v	enable verbose mode
slapdn -f slapd.conf	specify an alternative slapd .conf $num$ file
slaptest -f slapd.conf	specify an alternative slapd .conf $num$ file
slaptest -v	enable verbose mode
snmpnetstat -ca	with the default display show the state of all sockets normally sockets used by server processes are not shown
snmpnetstat -cp protocol	show statistics about protocol which is either a wellknown name for a protocol or an alias for it
snmpvacm name	a string identifying a particular mib view of which this oid $loc$ forms part possibly the only part
snmpvacm subtree	the oid defining the root of the subtree to add to or exclude from the named view
spctl -a	requests that spctl perform an assessment on the files given
spctl --label label	specifies a string label to attach to new rules or find in existing rules
spctl --add	add rule s to the system-wide assessment rule database
spctl --disable	disable one or more rules in the assessment rule database
spkac -in filename	this specifies the input filename to read from or standard input if this option is not specified
ssh keyscan -t type	specifies the type of the key to fetch from the scanned hosts
ssh keyscan -f file	read hosts or addrlist namelist pairs from this file one per line
sso util -a	if the admin name is present sso_util will attempt to remove the kdc from the list of kdcs in the kerberosclient config record in the default directory node
sso util -r	kerberos realm name to remove
su -	no letter the same as -l
su -l	simulate a full login
sudo -u user	the -u user option causes sudo to run the specified command as a user other than root
sysctl -w name	used to set values
system profiler -detaillevel level	specifies the level of detail for the report mini report with no personal information basic basic hardware and network information full all available information
system profiler -listdatatypes	lists the available datatypes
system profiler -xml	generates a report in xml format
tar -f file	read the archive from or write the archive to the specified file
tar -c	create a new archive containing the specified items
tcpdump expression	selects which packets will be dumped
textutil -fontsize size	specify the size in points of the font to be used for converting plain to rich text
textutil -font font	specify the name of the font to be used for converting plain to rich text
top -o key	order the process display by sorting on key in descending order
top -n nprocs	only display up to nprocs processes
top cpu	cpu usage
top -s delay	set the delay between updates to delay seconds
top -o skey	use skey as a secondary key when ordering the process display
top -stats keys	only display the comma separated statistics
topsyscall -c	don t clear the screen
tput init	if the terminfo database is present and an entry for the user s terminal exists (see -ttype above), the following will occur $num$ if present the terminal s initialization strings will be output as detailed in the terminfo $num$ section on tabs and initialization $num$ any delays (, newline) specified in the entry will be set in the tty driver $num$ tabs expansion will be turned on or off according to the specification in the entry and $num$ if tabs are not expanded standard tabs will be set every $num$ spaces
tput -ttype	indicates the type of terminal
tput reset	instead of putting out initialization strings the terminal s reset strings will be output if present (rs1 rs2 rs3 rf)
tput parms	if the capability is a string that takes parameters the arguments parms will be instantiated into the string
tr -c	same as -c but complement the set of values in string1
truncate cascade	automatically truncate all tables that have foreign-key references to any of the named tables or to any tables added to the group due to
unzip -t	test archive files
unzip -v	be verbose or print diagnostic version info
uudecode -c	decode more than one uuencode d file from file if possible
uudecode -o output file	output to output_file instead of any pathname contained in the input data
uustat -a	list all queued file transfer requests
uustat --all	list all queued file transfer requests
vacuumdb -a	vacuum all databases
vacuumdb --analyze	also calculate statistics for use by the optimizer
vacuumdb -v	print detailed information during processing
vacuumdb --verbose	print detailed information during processing
values expression	a constant or to compute and insert at the indicated place in the resulting table set of rows
whois -c country code	this is the equivalent of using the -h option with an argument of country-code .whois-servers .net
whois -6	use the ipv6 resource center 6bone database
whois -h host	use the specified host instead of the default variant
whois -p port	connect to the whois server on port
x509 -noout	this option prevents output of the encoded version of the request
x509 -text	prints out the certificate in text form
x509 -in filename	this specifies the input filename to read a certificate from or standard input if this option is not specified
x509 -serial	outputs the certificate serial number
x509 -subject	outputs the subject name
x509 -nameopt option	option which determines how the subject or issuer names are displayed
x509 -sha1	the digest to use
x509 -fingerprint	prints out the digest of the der encoded version of the whole certificate see digest options
x509 -out filename	this specifies the output filename to write to or standard output by default
x509 -outform pem	this specifies the output format the options have the same meaning as the -inform option
x509 -inform der	this specifies the input format normally the command will expect an x509 certificate but this can change if other options such as -req are present
x509 -signkey filename	this option causes the input file to be self signed using the supplied private key
x509 -x509toreq	converts a certificate into a certificate request
xcodebuild clean	remove build products and intermediate files from the build root symroot
xcodebuild install	build the target and install it into the target s installation directory in the distribution root dstroot
xcodebuild build	build the target in the build root symroot
xcodebuild -target targetname	build the target specified by targetname
xcodebuild -sdk sdkname	build an xcode project or workspace against the specified sdk using build tools appropriate for that sdk
xcodebuild archive	archive a scheme from the build root symroot
xcodebuild -workspace workspacename	build the workspace specified by workspacename
xcodebuild -scheme schemename	build the scheme specified by schemename
xgrid -grid list	list identifiers of all logical grids
xgrid -p password	if the controller requires a password as is the default the password must be specified here or in xgrid_controller_password
xgrid -h hostname	the hostname or ip address of the controller -if not present xgrid will use the value specified in xgrid_controller_hostname
xgridctl status	print status for the chosen daemon or print status for all daemons if no target is specified
xgridctl start	enable and start the chosen daemon or start all enabled daemons if no target is specified
xgridctl controller	perform the action for the xgricontrollerd daemon
xgridctl agent	perform the action for the xgridagentd daemon
xgridctl stop	disable and stop the chosen daemon or stop all daemons if no target is specified
gzip -c	write output on standard output keep original files unchanged
zipinfo -l	list zipfile info in long unix ls -l format
zipinfo -m	list zipfile info in medium unix ls -l format
zipinfo -v	list zipfile information in verbose multi-page format
zipnote -w	write comments to a zipfile from stdin see below
