precondition	operation execute system rejected state
dict	feed mapper dicts produces arrays series dictionaries transform creates ordereddicts dict typed zero-input numpy fetch
ltest	linearoperatorderivedclasstest tests base done class
rich	single-line text multi-line rich
constant	values tensors constant generates initializer
local	temporarily debugger cli implementing local command-line-interface testing allows us concrete something basedebugwrappersession import hook subclasses class wrapper subclass
count	step hook exception raises n
mixture	distribution mixture
handle	represents live session handle tensor
keras	keras implementation scikit-learn regressor api classifier
df	) chi2 parameter transform studentt softplus df floor(abs scale =
compiled	wraps jit xla step scope execution
stop	used run monitor request _check_stop routines stop stops n-th hook step session call times specified wrapped requests n evaluation eval_ops
listener	runs given checkpoint action listeners take interface save op
dropout3d	dropout 3d version spatial
cannot	use ==> cholesky + l uv^h symmetric 0 cannot udu^h = > !>
fifoqueue	operations padding elements variable-sized first-in implementation benchmark order queue dequeues tensors batching fifoqueue supports first-out
svstep	count steps duration threads measure
connected1d	inputs layer locally-connected 1d
feeder	trainer * iterator simple series manage dataframe feeder sample reads dask helper generator datafeeder tf externally-fed tests returning step data class 10 setup_predict_data_feeder feed_fn, graphs plumbing example
mapper	kernel singleton mappers abstract rffm provided dense ops feature class maps tuples tensorflow inputs random definition outputs mapping lists interface namedtuples tensors implements mapper dicts fourier fetch
bar	scrollbar cli vertical curses-based
strided	inference slices shape result gradients operation index given slice tensor gradient produces custom located memory test new numpy correct check strided slice's benchmark host variants types varied case non-trivial stridedsliceshapes
shape	inference methods manage _shape shape stridedsliceshapes operator manipulate abc tensor registering _shape_tensor arguments expected method function thrown used broadcast tensor's test deviates decorator implements represents exception longer linearoperator distribution operator's
factorization	weighted matrix factorization estimator wals using method
summary	cache protocol text saves results hook api tensorboard fake n event buffers summarywriter writes writer summaries writers provides evaluation files tests run abstractly every registry implements plugin summary summarywritercache steps
bad	used implementation concrete test adder basedebugwrappersession fail
crf	alpha computes linear-chain values crf
logistic	loc head scale optimizer classification parameters loss regression binary location logistic test sdca distribution class
activity	function layer based activity update cost applies input
tuner	tuning hyper-parameters experiment interface tuner class
fixed	tensor outputs fixed-length feature parsing records variable-length file reader input configuration
grad	constructing fractionalmaxpoolgrad produces used gradients gradient-checking index varied gradient graph custom located state fractionalavgpoolgrad memory test correct tests extractimagepatches strided slice's host types compute var^2 loop op
view	profiling subgraph graph list wrapper existing tf table data immutable view
sdcaestimator	optimizer linear models sdca base estimator using class
proximal	implements optimizer descent algorithm gradient proximal adagrad
reference	markdown links replacing references @{ } class
creator	worker factory creates chief session tf
bucket	implements container stream reservoir items sampling
frame	implements represents functions container tensorflow column feature dataframe produced convenience preprocessing using ingesting data tensorflowdataframe
testing	methods stubbing testing class support unit
regressor	tensorflow training dnn linear keras implementation optimization scikit-learn regressor class underlying models joined api solve mixin sdca using model regression estimators
module	collects page module docs
maximum	inputs layer stores element-wise within list maximum allocation timelne computes given allocator
observed	stochastictensor observed value
recurrent2d	convolutional layers abstract recurrent base class
stack	default graph thread-local implicit objects defaults providing stack
lrucache	storing used last tensor cache lru
affine	@ tests scale compute g shift + correctness x = transformation
stats	statistics stores analysis step output operator stats holder
tensor	wsgi axes visitor random tensorproto shape session conforming monitor 0 stochastic local spec cls namedtuple tests handle represents python evaluate stop test cannot every using loss sparsetensors list convenience steps nan sparse per-time-step sparsetensor set methods series observed operation monitors tensor stochastictensor ast stops current track provides tensor-like basestochastictensor seconds wrapping base backed tensors training estimator helpers signature grouping finds prints debugger forwards one tensorboard table given annotated itemhandler live returns class handles basic tensorflow files outputs train tensorflowdataframe arrays value n converted values benchmarks distribution emit function objects abstract dumped single initializers need lifetime parsed functions upgrading 1 application internal dynamic-sized forest np keys object is_instance tfdbg graph's ndarray implements calls write-once request decreasing visualizations
udvhupdate	perturb k update rank broadcast shape arguments test operator's linearoperator
cumsum	test function private
definite	linearoperatorderivedclasstest tests base done class
label	multi-label head classification
symmetric	linearoperatorderivedclasstest tests base done class
state	storing saving constructing states learning estimators loops attentionwrapper saved gradient graph access state provides sequencequeueingstatesaver input kutta namedtuple tests used rnn runge mapping stateful solver maintain values grad loop
phased	cell lstm recurrent phased network
masking	tests used sequence skip mask search masks eos beam value masking using timesteps
import	temporarily allows us something import class
geometric	geometric distribution
formatter	generating helper trace format chrome traces class
concatenate	inputs layer list concatenates
lazy	building lazily optimizer transformations mainly avoid variant module large handles pulling adam sparse dependancies caching import model efficiently updates
queueing	stateful access values provides sequencequeueingstatesaver input
relative	loss tolerance change stops goes
buckets	assigns keys buckets wrapper table id out-of-vocabulary string
attention	storing rnncell attentionmechanism another attentionwrapper scoring wraps additive wrapper cell state functionality luong-style basic namedtuple attention base class implements bhadanau-style common multiplicative providing
transpose	transpose! benchmark
analyzer	profiling dump directories analyzer debug data
conv3dtranspose	transposed layer convolution sometimes deconvolution called 3d
key	given keys metric tensors initializers values key table strings
multiplier	dnn_model_fn tests
interface	represent implementations session table different wrapper class client lookup tf algorithms across sessions interfaces scipy external base tensorflow optimize minimize persists optimization steps operate allowing
monitored	monitoredtrainingsession tests object singularmonitoredsession recovery hooks initialization monitoredsession session-like handles see restoring
optional	type optional
problem	solves enum-like values problem type model
cli	node command-line-interface stepper backend
c	simple models cudnnrnn without input_c
gmm	clustering mixture gmm gaussian estimator tensorflow model class
elboforms	control calculation elbo constants
plugin	simple text abstract serialize api tensorboard disk summaries provided projector needed functionality asset provides test method base registry class assets dummy name plugin allows summary embedding example
fitted	exception used raise fitting estimator class
adapter	wraps sessionrunhook monitors
declare	function tensorflow declares
softplus	bijector softplus(diag_stddev) log[1 computes concentration diag_stddev ) + transform floor(abs concentration1 concentration0 = transformation tests normal df studentt beta inversegamma scale ] applied exponential g multivariatenormaldiag correctness rate softplus exp x laplace gamma
plus1rnncell	(output generating rnn new_state) + cell state 1 input =
embedding	inference helper sampling see container operator integers scattered_embedding_column size adding given adds positive indexes cell needed lookup input metadata scheduled tests information use dense represents training column turns vectors embedding dnn_model_fn fixed
receiver	type return serving_input_receiver_fn
variance	adapting scale capable initializer shape weights tensors
whole	entire outputs value file reader contents
conv2d	separable layer e convolution g depthwise 2d spatial images
load	load ps functions task placement graph variables case returns op test csv least-loaded
and	tril family diag member handles linearoperatorfullmatrix resulting operator additions "handles identity
markdown	md extract file title
saveable	rnn saveableobject implementation handles params variable
simple	fed http fully-connected default error back server without tests input output constructed rnn
evaluable	e experiment g evaluatable objects interface
sweep	row/col runs ops track sweeps sweep keeps prep
loader	event iterator protos bytes avoid mainly module loader large yields individual pulling lazily file dependancies import loads eventloader
dimensional	(output generating new_state) + cell state 1 input lstm =
pdcholesky	representing positive definite batch matrices class
grublock	cell implementation gru block
projector	embedding projector plugin needed registry provides assets
assertions	get testcase mix proto2 googletest assertions class
learning	tests saving learning dynamic state rate scheduler estimators rnn
table	backing text initializable initializer mutabledensehashtable file table id out-of-vocabulary assigns tables generic wrapper tensors version lookup mutable store tests profiling hash string shardedmutablehashtable keys buckets base sharded interface using data class ids implementation initializers int64 view
vdvtlightweight	tril+vdv operatorpd class helper/hidden fake
fused	rnncell time-reverse used fused rnn adaptor abstract object cell fusedrnncell classes implementation lstm representing
raise	step hook exception raises n
second	triggers seconds timer n steps every
union	sum type
keys	use modes sparse_column_with_keys graph metric standard see collections names key model strings
py	simple md guide file parsing
strategy	round-robin ps task placement index representing next order returns export model op type class least-loaded
defined	function definition _definedfunction encapsulates properties
reduction	loss reduction types
optimizable	interface variables abstracting optimizers
glstmcell	cell g-lstm lstm group
combined	training tests run linear ops models all-reduce dnn joined one regressor mix session call estimator using tensorflow classifier
pd	tril+vdv matrix helper/hidden positive definite operatorpd wishart fake distribution matrices class
basic	layer network dropout recurrent sampling cell decoder normalization basic lstm unit rnn
numpy	feed iterator produces column data ordereddicts dictionaries yielding transform creates arrays single dict series array zero-input numpy
location	bijector parameters chooses two location one
supervisor	training helper models computes checkpoints summaries
dropout	1-centered adding given noise inputs outputs dropout gaussian cell multiplicative applies operator input apply
integerized	sparse_column_with_integerized_feature see
worker	creates tf session worker
seq2seq	tests sequence-to-sequence
rnnbenchmark	models cudnn lstm related benchmarks
assert	tests assertprotoequal()
composable	building implements abc blocks linear function create composable used estimators _composablemodel regression
external	interfaces optimization algorithms external base class
func	function functions helper track registered py remove keep construction _py_funcs class
coordinated	tests coordinator tf session wrapped works _coordinatedsession
case	case tests feeding string comparator feedingqueuerunner functions need base python3-compatible test tensorflow class
multi	composed _targetcolumn classification new_state) simple head learning lstm operation sequentially 1 'head' implementation + acting wrapper tensors cell state tests objective input = generating multiple rnn (output multi-label class multi cells multi-output list 'duck-type'
sdcalogistic	binary optimizer classifier logistic using sdca regression
grid3lstmcell	creates output basiclstm first cell receives input 2d gives 3d
exponential	employing exponential decay variables maintains transform softplus rate moving distribution averages
rnntanh	implementation cudnn model rnn-tanh
batch	layer spacetobatch stores series abstract single transforms batchtospacend specified szegedy size {un containing batches shuffled 'c' 't' test ops &'e' org/abs/1502 select batching 2014 row columns vec batch_ops tests http parent batchtospace 03167 benchmark input-output sequencequeueingstatesaver spacetobatchnd }batch ioffe //arxiv data class normalization pairs batch creates deferred broadcasting nextqueuedsequencebatch rank2+
value	adding draw outer dimensions keys way valuetype given possibly classes values samples table interface new along initializers tensors
profiler	information profiling seconds captures n every steps cpu/gpu
accumulator	eventaccumulator takes generator aggregating conditional accumulates accumulator values sparse gradients event
while	construct loop context
gumbel	loc scale parameters scalar gumbel location distribution
error	system gone raised already exists exhausted argument entity past internal shape load() deadline directory file operation implemented action axis fails raise generic unknown create currently authentication invalid loss directory) fitting valid *permanently* expected tensorflow (e corruption requested unrecoverable used run complete permission attempted expires execute rejected tensor's step state experiences deviates aborted found credentials cases execution data class unavailable thrown iterates exception resource input g concurrent typecheck could caller request range estimator encountered due receives error cancelled failures runtime typically order
stopping	training monitored stop stopped improving quantity
partitioned	variable objects container partitioned
guide	files index name md simple symbol list parsing turn _guiderefs file guide
loop	used constructing gradient graph state loop
real	real represents valued features column continuous feature also length variable known
layer	layer features point abstract hard sampling single lstm decisions unit layers paths learns network graph decision recurrent hybrid data test used blocks fully-connected models dropout base feed-forward flattened class normalization building made stacked treats neural tree entry soft
conv	convolutional layers layer used convolution implementation abstract recurrent nd private base lstm class
coupled	network recurrent long cell memory lstm unit short-term
kernel	kernel dense kernel-based mapper generic outputs abstract feature preprocessing class methods maps inputs estimator using classifier linear
vdvtupdate	tests vdv^t defined + operatorpd base done operator a=ss^t, = class
metric	functions metricspec metric connects key model strings
cluster	specifies represents set run organized "tasks", distributed cluster class "jobs" configurations
conc	implements network specifications tensor concatenation
cond	conditional construct context
io	files write methods read / exposes fileio class
in	pandassource numpysource abstract class parent
fn	feed dicts runs dataframes return returned model_fn ops arrays numpy generator dictionaries ordereddicts creates accordingly input_fn feed_fn feed_dict sets type pandas
cleanup	function helper registered remove _py_funcs class
avg	tests fractionalavgpoolgrad
id	tables file ids int64 string keys text assigns feature wrapper initializer lookup sparse buckets table configuration id out-of-vocabulary defines
binary	binary head _targetcolumn parent classification series two class scalar svm combine transforms logistic svms using operate regression
descent	implements optimizer descent algorithm gradient proximal
proto	objects defined visitor tensorproto indicates assertions file given proto class mix np summarizes get python object proto2 googletest protobufs ndarray represents testcase converted cannot
reshape	certain mapping reshapes shape another output class utility
recurrent	layers recurrent abstract base class
stepper	node debugger command-line-interface stepper tfdbg tensorflow backend
defun	tensorflow functions used decorator define
sqrt	operator implements sqrt_solve
grpc	stream grpc debugger-related send hook session streams wrapper debug grpc_debug_server data events
arguments	represents information column needed lookup embedding
runge	kutta state saved runge solver
twith	scale df studentt softplus ) floor(abs =
composition	function tests linearoperators one base done composes linearoperatorderivedclasstest composition class
interpolation	different make choices separately np tf test round
kutta	kutta state saved runge solver
sampling1d	inputs upsampling layer 1d
context	control information made provides session conditional flow construct base call context run() class loop
padding2d	picture layer e zero-padding g 2d input
checkpointed	implementation custom checkpointing op
reporting	maybe stuff benchmark reports
uniform	high generates parameters uniform scaling without low variance distribution initializer tensors
aggregation	used methods aggregation combine listing gradients class
allocation	given stores within maximum allocation timelne allocator
moving	employing optimizer exponential decay variables maintains computes moving averages average
student	) multivariate vector version student's t-distribution implementation floor(abs softplus studentt r^k df scipy scale fake =
walsmatrix	weighted matrix factorization estimator wals using method
densify	dense transforms sparse tensor
normalization	layer http 03167 batch org/abs/1502 normalization ioffe 2014 //arxiv szegedy
synthetic	test synthetic generation dataset
byte	documents sequence bytes ids loader maps individual file loads
builder	building protocol builds buffer variables saves handles transformations savers savedmodel base caching model class assets
opearator	test broadcast shape operator's arguments
solve	operator implements sqrt_solve solve
fnops	tests multi-output
format	used calls api enum list valid formats output
sharded	tests shardedmutablehashtable version sharded mutabledensehashtable class
model	multi-output protocol modelports variables saves streaming dual estimators sdca ascent regression returned defines evaluation adds abc model_fn & create dnn hybrid buffer epoch test stochastic save type implements tests used optimizer linear ops models blocks savedmodel base connected container class assets building loss training _composablemodel builds solver fully routines coordinate every model processor mnist
dimension	represents tensorshape dimension value one
recoverable	tests errors kinds certain upon _recoverablesession session wrapped recreates
nadam	nesterov optimizer adam
scheduler	rate scheduler learning
moments	tests weighted_moments nn
nan	loss training tensor nan stops monitors monitor
sdcaoptimizer	sdca optimizer class wrapper
actions	graph tests train actions
detail	simple function details class contain
dropout2d	2d dropout version spatial
unicode	test case string python3-compatible comparator
permute	given dimensions pattern according permutes input
divide	division use divide python2/python3 delegation implement tensors
transformer	another information transformer "contains transformations subgraph needed defined summarywriter abstractly transform one api featurecolumn handles implements result mixin estimators operation class
adagrad	implements optimizer dual algorithm models averaging proximal sparse adagrad linear
staging	ordering inputs guarantees staging class
classification	represents head classification output
generator	feed minibatches point visitor image back queue add_events generator class main numpy generating generates python docs object augmentation real-time data generate builds dicts arrays dictionaries yield creates __call__ed entry
source	produces series abstract dataframe single arrays array numpysource transform tensors source dict reader tf zero-input numpy parent keys using data class census column pandassource values
add	inputs layer adds family tril diag list member handles linearoperatorfullmatrix resulting operator additions "handles identity
internal	raised internal experiences system error
transformed	inputs applying transformeddistribution series allows results transform list transformed conditioning distribution intrinsic
board	wsgi conforming application tensorboard basic visualizations spec
samples	test 'get_samples' method private
dtype	represents elements type tensor
input	specifies ndim layer projection point simple dtype recordinput randomly shape input_fn wrapper serving_input_receiver_fn operator lstm asynchronously unit short-term adding given network graph recurrent long cell memory input type used return tfrecords models object every sequence-related storing input_c cudnnrnn reads without yields entry
logger	prints logs thread stdout accumulates metrics callback epoch averages events
save	checkpoint runs save given op
momentum	implements optimizer algorithm momentum
elu	unit linear exponential
scheduled	scheduled training adds helper outputs sampling directly
tests	simple function tests scale_gradient
rnn	back crf time-reverse rnn fusedrnncell implementation input linear-chain alpha fed output creates cudnn computes underlying values adaptor using model fully-connected
ops	batch_ops {un tests return returned model_fn ops end sequence-to-sequence hook input_fn session }batch evaluates type tensors
read	dense processor resourcevariables
big	return keys outputs reader table responds server sample values bigquery fake tf http requests data example schema
lron	metric reduce rate stopped learning improving
early	training monitored stop stopped improving quantity
grid	search network gridlstm recurrent tests long cell grid memory bidirectional lstm unit short-term
resolver	markdown links replacing references @{ } class
intersection	network neural recurrent +rnn cell intersection
lstmstate	used tuple state_size, cells state output lstm zero_state,
loss	raised unrecoverable request random encountered sdca monitor squared stops forest goes criteria test tolerance corruption optimizer linear stop uses data class change loss training nan smooth hinge logistic decreasing termination
like	tensor is_instance internal cls grouping sparsetensor
nascell	search network neural recurrent cell nas architecture
server	use in-process return default distributed error table training server sample without tests fake http constructed data tensorflow schema
t	multivariate vector version student's t-distribution implementation r^k scipy fake
sparse	features aggregating conditional rank parsing see gradients sparsefeaturecolumn information tensor categorical itemhandler sparse?, feature accumulator also lookup input sparse_column_with_hash_bucket defines store tests known map_op configuration represents sparsetensors column sparse_column_with_vocabulary_file sparse_column_with_keys weighted_sparse_column sparse sparse_column_with_integerized_feature example
output	projection helper manage head sampling api directly operator operation control_outputs regression adding given adds classification generic graph wrapper decoding cell acting valid tensors final scheduled tests used returned calculating outputs enum search prediction beam finished served class represents training calls multi-output list formats caching output model 'duck-type'
soft	paths layer learns hybrid decision tree training sampling samples model soft
page	function docs module page collects class
clidebug	cli implementing command-line-interface subclass concrete basedebugwrappersession local hook debugger
clipping	optimizer variables update wrapper clips specified norm
upgrader	files set python upgrading 1 0 handles tensorflow class
sequence	storing stores tensor sequence typed object stateful feature wrapper parsing access deferred variable-length values provides input sequencequeueingstatesaver sequence-related configuration data nextqueuedsequencebatch
concat	tests belong run concat_op_test py benchmark large tensors concat
tfexample	tensorflow examples decoder
conditional	bijector transformeddistribution parameters aggregating supports conditional allows local accumulator latents conditioning sparse distribution intrinsic gradients
some	registered benchmark registry automatically
library	opdefs corresponding ops graph holds collection add
streaming	trainer iterator modelports feeder streaming reads tf data processor
exporter	serving package exporter helps tensorflow model
export	represents exports monitor served representing n steps estimator export output every model type class
flatten	size input batch flattens affect
svtimer	checkpoint timer thread
pdidentity	tests r^k: base done x operator ax = class identity
exists	raised already exists attempted create entity
udvhupdatetest	!> use ==> cholesky 0 = + uu^h l uv^h symmetric operator base cannot test udu^h type >
tmp	data transformer temporary
scale	function applied tests diag_stddev softplus(diag_stddev) scale_gradient simple floor(abs multivariatenormaldiag ) studentt softplus df scale normal = laplace
dense	kernel layer backing abstract represented table dense tensor nn generic tensors maps version mutable store inputs tests hash shardedmutablehashtable represents outputs regular sharded mutabledensehashtable using class mapper densely-connected column resourcevariables implementation processor
for	wraps rnn support testing stubbing wrapper class cell sessionrunhook subclasses monitors unit methods
replicas	optimizer ops syncreplicasoptimizer related synchronize handles sessionrunhook pass aggregate gradients class
datum	profile tensor point dumped single tfdbg tensorflow data debugger
padding1d	layer e g zero-padding sequence temporal 1d input
tracker	track lifetime internal class tensor
select	'c' 't' rank2+ &'e' broadcasting vec test select
provider	requested source items list maps data tensors
recorder	need record changes file done
conv3d	layer e convolution g volumes spatial 3d (e
softmax	tests exp([x g sum(exp([x 0])) correctness bijector / 0]) computes sum(exp exp x = transformation
noise	apply zero-centered noise additive gaussian
run	specifies debugging observes monitoredsession results hook session monitors information wraps start contains response on-run-end call take provides test values arguments added run extend optionally on-run-start possible runoptions concurrent run() class represents made calls enum-like & request callback estimator sessionrunhook action modifies runmetadata configurations
pdbase	representing positive definite batch matrices class
power	c)**(1 tests * compute g power + (1 correctness c / c), -1 x = transformation >=
sparsify	dense transforms sparse tensor
deleted	thrown directory load() *permanently* gone
broken	forward inverse inverses
step	stores hooks global number reaches hook second analysis specified counts times stats monitor delays per tests seconds stop training beam step every execution search triggers wait_until_step request single timer n steps output requests called
percentile	different make choices separately np tf test round
variation	function tests image_ops total_variation()
rnnestimator	tests saving rnn dynamic state learning estimators
chrome	generating helper trace format chrome traces class
on	on-run-end start enum-like on-run-start request possible callback init session values take action call run() on-session-init response
ftrl	implements ftrl optimizer algorithm
census	source census data
idx	implements function specifications network identity
concurrent	debugging calls concurrent session test run()
column	meant _targetcolumn features classification mimic tests deep cross produced variable see bucketized_column networks scattered_embedding_column sparsefeaturecolumn binary use categorical_column_with_hash_bucket tensor conjuction categorical datacolumns feature regression also sparse_column_with_hash_bucket transformation categorical_column_with_vocabulary_file real field head abstraction sparse combination continuous binning collection one-hot repeated dataframe svms known using feautre represented represents valued numeric_column column categorical_column_with_vocabulary_list proto single sparse_column_with_vocabulary_file sparse_column_with_keys length weighted_sparse_column embedding sparse_column_with_integerized_feature model bucketization
of	iterates tiers addition raised past range valid done specified test input operation order
queued	sequencequeueingstatesaver deferred stores nextqueuedsequencebatch data
hinge	loss optimizer smooth hinge test sdca class
addition	tests adders addition correctness tiers test done specified combinations order
range	iterates raised past range valid input operation
estimator	kernel-based objects abstract random tests cross-import specified returned methods cannot sub model_fn generic dnn trainer/evaluator classes forest passed basic override tensorflow infer available head linear ops models evaluate baseestimator train user eval class estimatorspec training joined estimator mode model sklearn
plus	multivariate normal simple well r^k tested base override distribution class
sync	optimizer ops syncreplicasoptimizer related synchronize handles sessionrunhook pass aggregate gradients class
flattened	layer stacked fully-connected neural feed-forward flattened network
permission	raised caller run operation permission
invert	tests bij invert correctness bijector inverts another = transformation
gamma	medium moments taking due softplus rate inversegamma computation time test distribution concentration gamma
op	raised py graph operator corresponding select fails statistics 'c' 't' generic rank2+ belong &'e' custom state vec test tensorflow tests run per-op ops error precompute/validate collection opdefs execution holder tensors like checkpointing would holds concat_op_test large implementation broadcasting add op
bijector	bijector chain allows conditional log[1 sample base-class inverses constructed bij1 bij3 bij2 transformations invertible intrinsic + / )^-1 forward = -x @ tests bij power (1 brokenbijector test scale conditioning inline interface ] properties inverse g shift correctness transformation sum(exp exp caching x distribution invert
locally	2d inputs layer locally-connected 1d
eval	tests eval estimatorspec mode
curses	info containing cursesui actual command-line outputs commands subclass manipulations terminal ui bypasses curses-based navigation scroll mock history
image	tests minibatches tensor itemhandler gradient-checking image extractimagepatches functional parsed augmentation decodes real-time data generate op
kmeans	clustering benchmarks graph creates estimator base k-means class
negative	distribution negativebinomial
device	rnncell partial calculation variables operator replicated happens ensures specification chooser cell choose tensorflow ops training possibly particular device class represents runs setup devices specific ensure
square	tests ==> cholesky square generic test + use l rectangular 0 appropriate base done operators linearoperatorderivedclasstest udu^h = class >
sdcalinear	linear optimization underlying solve using sdca model regression
operator	helper/hidden wraps cholesky c 0 defining @ tests linearoperators cannot combinations udu^h matrices like l linearoperator simply operator[s] square methods composes specified linearoperatorderivedclasstest abc matrix r^k: + definite symmetric acting method tril+vdv multivariate linear uu^h diagonal base x tiers g shift k correctness [batch] adders perturb _shape rank one scaled appropriate done fake operator apply !> use addition positive wrapper _shape_tensor type > operators triangular representing ==> compute batch rectangular classes distribution sqrt_solve defined ax vdv^t generic operatorpd wishart test = uv^h normal [batch derived update scale a=ss^t, class identity of] implements lower r^k solve order
cropping1d	layer e g sequence temporal 1d input cropping
readline	bypasses command-line readlineui subclass manipulations terminal ui readline-based test
dnnregressor	models tensorflow dnn regressor
nsession	session run sessionthat stops n-th _check_stop call aborts wrapped mock
statistics	function statistics registering type decorator op
compression	record type compression
area	ordering inputs guarantees staging class
rmsprop	implements rmsprop optimizer algorithm
maskedmatmul	benchmark masked_matmul_ops
transform	>= correctness abstract c)**(1 scalar transforms parent + * two / combine series batching = transformation function namedtuple tests power (1 class c compute g list c), -1 x operate
fast	wrappers hash thread perform series locking fast i/o without file
custom	custom cannot optimizer customize abstract allows tests sampling base user provides escape scope _global_custom_objects changes class
start	start enum-like request on-run-start possible callback values take action call run()
low	multivariate normal simple well r^k tested base override distribution class
dumping	debugger wrapper dumps hook session filesystem debug data
var	real represents valued features column feature parsing length variable input configuration variable-length
function	_overloadedfunction simple computation collects _definedfunction graph feature_engineering_fn wrapper class details encapsulates function tests python docs composable regular properties definition runs overloaded contain page
head	classification single learning multi-label regression binary 'head' implementation generalized objective checks head head_ops linear head/top interface using class multi svm whether logistic model called
trainable	e experiment g writes trainable n variable objects values steps interface every log
complete	tests complete resnet v1 v2 small networks
pdderived	tests classes derived
wsgiapp	conforming application wsgi spec tensorboard
relaxed	relaxedonehotcategorical temperature exprelaxedonehotcategorical parameters distribution relaxedbernoulli logits
memory	pandassource numpysource abstract class parent
failure	exceptions certain helper tolerating
construction	tests http default server without error constructed
decoder	abstract sampling examples returned decoding decode basic tensorflow final beamsearch used rnn outputs object beam finished decoder interface data class search provider
line	delimited file text reader lines rich outputs single-line newlines
with	softplus(diag_stddev) divide sigmoid assigns probs delegation rate table sdca concentration id out-of-vocabulary !> logits separately different diag_stddev cholesky nn test make python2/python3 squared transform wrapper tensors 0 np concentration1 concentration0 = hinge division optimizer linear normal keys bernoulli buckets use tf beta inversegamma scale udu^h class string applied loss ==> exponential laplace multivariatenormaldiag smooth l choices softplus cannot logistic + implement > round gamma
info	simple module initializer result collects operation information transformer struct would title holds transform state holding function used temporary per-op "contains docs precompute/validate functions data class info like url partition doc's page
calls	debugging head head_ops calls whether called concurrent session test run() checks
default	default graph thread-local implicit objects defaults providing stack
smooth	loss optimizer smooth hinge test sdca class
up	inputs layer 2d upsampling 1d 3d
record	tfrecords recordinput outputs fixed-length randomly records reads yields file reader asynchronously
walsmodel	alternating weighted matrix least factorization model squares
ui	cursesui actual tfdbg command-line readlineui subclass manipulations terminal interface base ui user readline-based test bypasses curses-based class mock
highlight	elements highlighting options tensor
distribution	probability hierarchy resolving abstract manage shape manipulate parameters generic intrinsic subclass needed transformed supports ceiling base conditioning representing class transformeddistribution local = allows latents quantization x distribution
laplace	applied loc scale parameters softplus location distribution laplace
partition	info functions used partition holds initializer
ordered	feed produces arrays series dictionaries transform creates ordereddicts dict zero-input numpy
exhausted	exhausted resource
request	http on-run-end on-run-start request bigquery callback responds requests on-session-init
abstract	batching abstract class parent transforms
parser	md stores simple docs parses required transform parsing parse serialized protos file example tensorflow indexes guide
deep	represents information column needed lookup embedding
watcher	load paths wraps sequence directorywatcher loader
coordinator	coordinator threads
single	use head/top argument accept one single subclass interface model parametric types
replica	training ops setup devices choose replicated class
at	sessionthat saves results hook session raises specified n monitor stops n-th call aborts wrapped evaluation mock run stop step _check_stop exception request summary requests
file	protocol methods iterator defined fileeditrecorder reader initializer exposes indicates see protos done file need table event buffers tables proto writes cache recorded / write read writers fileio contents text yields categorical_column_with_vocabulary_file files string python outputs object generated regular class entire edit ids value summary record initializers int64 changes eventloader
check	whether head head_ops checks called
coder	shape mapping class another utility
gru	gru implementation recurrent - al cho cudnn gated et model unit
nn	inference simple hard paths combines baseline decision hybrid forest samples test net feed-forward network training treats places neural tree embedding model soft
no	case use ==> cholesky normal graph + uu^h l uv^h symmetric 0 without entropy cannot test variables distribution = method >
hybrid	layers building blocks models hybrid model defines
thresholded	rectified thresholded unit linear
invalid	thrown exception scaffold) hook sessionrunhook) scaffold raised invalid argument tensor's shape deviates receives (not expected operation subclass
l1l2	regularization l1 l2 regularizer
tolerator	exceptions certain helper tolerating
other	simple example asset
tfoptimizer	optimizers tensorflow class wrapper native
spatial	dropout 2d version 1d spatial 3d
test	image_ops chain show moments text monitoredsession dynamic actions log[1 shape session stridedsliceshapes computation estiamtors python3-compatible gradient-checking networks synthetic {un feeding extractimagepatches implementation graph base-class feature_engineering_fn &'e' 0 summarywritercache vec tf covered unit -x match batch_ops @ tests bij rnn ops (1 resnet test cannot grid combinations using variants one string loss runs normalizenumberfields() strided tiers correct separately )^-1 index mode logistic small x round _coordinatedsession square methods fractionalmaxpoolgrad generation concat_op_test testing estimatorspec located slice specified linearoperatorderivedclasstest sdca operation rectangular monitors bij1 'get_samples' bij3 scale shardedmutablehashtable gradient + datafeeder squared / cell state sequential various caching masking reproducible method training_test non-linear run linear power batchtospace derived feedingqueuerunner step base eval basedebugwrappersession transformation search total_variation() g concurrent shift taking changed correctness host sum(exp hinge estimator rank2+ op load bijector spacetobatch saving adders slices simple variables private sampling running appropriate api done learning estimators pairs custom select sparsefeaturecolumn properties 'c' addition dnn_model_fn invert py due wrapper sequence-to-sequence renyi_ratio without call override expected tensorflow type summary scaffold function assertprotoequal() complete apis outputs operators slice's benchmark testclass _hookedsession _recoverablesession tested train true case _wrappedsession comparator default multi-output smooth weighted_moments choices classes values resampling error server subclasses debugging setup_predict_data_feeder helper sdcafprint functions single medium reports close need gradients distributions regression constructed different singularmonitoredsession varied nn 't' generic large make belong stuff converges 1 mix brokenbijector fractionalavgpoolgrad http np csv = infer memory used optimizer tensors inference produces gather_tree docstring minimized input-output v1 v2 bij2 }batch tfdbg decorated run() ] class types sub monitoredtrainingsession calls beam maybe all-reduce well kl eos concrete broadcasting exp time dataset inline model order
pandas	feed dataframes produces series dictionaries transform dataframe creates zero-input pandas
mock	cursesui actual readlineui subclass manipulations terminal test bypasses mock
node	node layers debugger command-line-interface stepper two connectivity describes tfdbg tensorflow backend
