data_log_element	element to be parsed
p	slowness aka ray parameter to find in s/km
freq	given frequency
data_directory	data directory where the corresponding qbn file can
subplots_adjust_top	the top side of the subplots of the figure
kind	a list of strings for a 1-row plot or a nested list of
recend	date of the last sample of the current record
existing_client_dl_helpers	instances of already existing
userid	up to 4 character user id
fmin	maximum frequency in signal
is_p_wave	true if p wave or false for s wave
catalog	this class serves as a container for event objects
clim	limits of the colorbars
waveform mapper client	interface to access the seishub waveform web service
output_file	the output filename
thr_off	threshold for switching trigger off
frequency_range_end	end of the frequency range for which the
encoding	encoding used for xml string
split_stations	splits stations containing multiple channels
f1	frequency of the lower bandpass window
byteorder	must be either 0 or '<' for lsbf or
source_depth_in_km	source depth in km
byteorder	if omitted or none automatic byte-order checking is
sample_rate_ratio_number_samples	the sample rate expressed as
frqhigh	higher frequency for fk/capon
format	the file format to use (e.g. "mseed"). see
buf	alphanumeric sac file to be checked
subarray	numpy array of subarray stations to use. i.e. if subarray
layer	the number of the layer s to return
is_spherical	is this a spherical model? defaults to true
resource identifier	unique identifier of any resource so it can be referred to
model	specify the model
response	the root response object
trigger_off_extension	extends search window for next trigger
freqmin	low corner frequency
filename	file name to read
sourcedepthinmeters	specify the source depth in meters
inventory	inventory used to retrieve network code location code
samp_int	number of samples per second
waveform file crawler	a waveform file crawler
include_partial_windows	determines if windows that are
file	open file like object
headonly	if headonly is true only read the header arrays not
fmt	format of image to save
blockette043	blockette 043 response (poles & zeros) dictionary blockette
event_templates	event templates to use in checking similarity of
kind	a list of strings or nested list of strings see
url	the url to download from
catalog	limit to events from a specified catalog
blockette062	blockette 062 response [polynomial] blockette
streams_templates	list of streams with template events to check for
fmt	see :py func struct.unpack
method	either 'read' or 'write' to select plugins based on either
names	self-explanatory. multiple names allowed
options	necessary keyword arguments for the respective filter
nfft	number of fft points to use
xdata	the independent variable where the data is measured
event	a single obspy event
textual_header_encoding	the encoding of the textual header
number	region id
float with uncertainties fixed unit	float value that has lower and upper uncertainties and a fixed unit associated with it
degrees	distance in great circle degrees
country	the country
catalog	the catalog to write
lon1	longitude of point a in degrees (positive for eastern
length_output	length of the output memory array
comment	from the stationxml definition container for a comment or log entry
stream	3 component input data
mst	class that transforms a obspy trace object to a libmseed internal mstrace struct
nfreq	number frequencies at which response will be evaluated
method	by default all traces with more than 400 000 samples
prop	the material property to evaluate. one of
ba	if true return only the filter coefficients b a instead
longitude	wgs84 longitude
no_filter	deactivates automatic filtering if set to true
receiver_depth_in_km	receiver depth in km
numchan	channel to be converted
norm_method	defines how the traces are normalized either
endtime	whether to consider only a specific set of seed ids
user_agent	the user agent for all requests
filename	gcf file to be checked
timeout	the socket timeout
details	if set to true the output coincidence triggers contain
site	from the stationxml definition description of a site location using name and optional geopolitical
termination_date	date and time utc when the station was
station magnitude	this class describes the magnitude derived from a single waveform stream
fmax	maximum frequency in hz
trace_list	list of :class ~obspy.core.trace.trace objects or
verbose	print additional information to stdout
client_name	the name of the client mainly used for logging
normf	factor for normalization
num	number of traces in returned stream. last trace may contain
data	data to estimate central frequency from
other	stream or trace object to add
inverse	if true, the data arrays will be converted from zne to
default_location_code	location code used if stations are
colormap	the colormap for color-coding the events
receiver_latitude_in_deg	receiver latitude in degrees
legend	if boolean specify whether or not to show the legend
code	code to convert
stime	start time of the analysis
top_critical_layer	top layer number to search
slim	either a float to use symmetric limits for slowness
sds_type	override sds data type identifier that was specified
starttime	the start time of the whole time interval
fig	figure instance to reuse
channel	channel code e.g. 'ehe'. channel code may contain
layer	the layer s to check
filename	seisan file to be read
time	only use channel active at given point in time
zorder	specify the zorder of the plot. only of importance if other
client	an active client instance
smooth	variable that defines if the konno-ohmachi taper is used or
data_type	the data type of the expected data. currently supported
activity_flags	extract activity flag counts
npts	number of samples to read
method	the kind of interpolation to perform as a string. one of
paz_simulate	dictionary containing keys 'poles',
elem	float value to be converted
channels	all channels belonging to this station
timestamp	seedlink time stamp in a utcdatetime format
icon_url	internet url of icon to use for events e.g. png image
ppsd	class to compile probabilistic power spectral densities for one combination of network/station/location/channel/sampling_rate
a	the width of the window in samples on either side
blockette044	blockette 044 response coefficients dictionary blockette
maxradius	limit to events within the specified maximum number
obs py ndkexception	base exception class for this module
eventid	specify an event identifier in the form
x	signal to smooth
endtime	limit results to time series samples on or before the
val	list of values
misalignment_threshold	threshold value for sub-sample
paz	paz of the instrument [m/s] as a dictionary or response of
networks	a list of networks part of this inventory
filename	ah v1 file to be checked
plot_args	list of plot arguments passed to the signal 1/2 and
debug	verbose output to stdout. disabled by default
time	only regard stations active at given point in time
expected	the filename of the expected png file
session	an existing database session object
float	a float number with a fixed length and output mask
start_time_string	start time in in seedlink string format
location	location code e.g. '--', wildcards allowed
client	iris web service request client
filename	if given the downloaded data will be saved there
iocb_depth	depth km of the iocb (inner core-outer core
starttime	only include channels active at or after given point
waveform plotting	class that provides several solutions for plotting large and small waveform data sets
gain	nominal gain to convert input displacement trace to meters
filename	name of the pickled obspy stream file to be read
file_mode	mode to open file in if necessary
textual_header_encoding	the encoding of the textual header. can be
filename	win file to be read
blockette048	blockette 048 channel sensitivity/gain dictionary blockette
format	the format of the file to write. see
complex with uncertainties	complex class which can store uncertainties
lta_p	length of lta for the p arrival in seconds
data	the data array
evt bad data error	raised if bad data is encountered while reading an evt file
paz	given poles and zeros
etime	time to end
channel	channel code supporting wildcard for component
extended	this method will show only 20 traces by default
nodal planes	this class describes the nodal planes of a double-couple moment-tensor solution
dest	full path or file-like object from sac ascii file on disk
win	window to multiply with given signal
fft_zero_pad_fac	integer if > 0 the signal is zero padded to
format	format string e.g. 'xml' or 'map'
ydata	the dependent data - nominally f xdata ..
waveform gaps	db table containing gaps
analogue	list of analogue filter chain identifiers
grid	enable/disable grid in histogram plot
sensortype	limit streams to those using specific sensor types
layer	the layer s in which to calculate the increments
return_center	returns the center coordinates as extra tuple
channel	channel code e.g. 'bhz'
gse2bulletin syntax error	raised when the file is not a valid gse2 file
filename	source file name or open file-like object
lat1	latitude of point a in degrees (positive for northern
name	the commonly used name of this station equivalent to the
evt frame header	class to manage frame header in evt file
base_url	base url of fdsn web service compatible server
buffer_	ctypes c_void_p pointer to buffer
description	a description of the resource
date	date of interest
resplen	if > 0 then read up to resplen response bytes after
subgroup	subgroup name defaults to none
data_availability	information about time series availability
traveltimeonly	returns a space-separated list of travel
a	z signal the data
h_1	height of the signal axis
station	the station id
timing_quality	extract timing quality and corresponding statistics
filename_or_object	evt file to be checked
radius_of_planet_in_km	radius of the planet in km
instruments	include instrument data (default is false)
network	the 2 character network code or regular expression
min_freq	lowest frequency to plot
trace	an object containing data of a continuous series such as a seismic trace
lats	latitudes of the data points
filename	k-net/kik-net ascii file to be read
numspaces	number of spaces prepended to each line (for indentation
prewhiten	do prewhitening values 1 or 0
method	resample method. available are 'fast' and
filename	css file to be read
slope	the slope (in (km/s)/km) for velocity versus depth
over	overlap of windows to be averaged 0<over<1 defaults to 0
filename	ah file to be read
trace	trace object to be resampled
header	string that contains the packed binary header values
convert	intrinsic function e.g. int str float
axis	this class describes an eigenvector of a moment tensor expressed in its principal-axes system
dtype	convert data of all traces into given numpy.dtype
endtime	only show channels active before or at given point in
tr1	trace 1
d_cb	distance of the colorbar axes to the other axes
headonly	if set to true read only the headers. this is most useful
filename	gse2 file to be checked
cha_element	channel element to be parsed
timeout	maximum time in seconds to wait for a single request
encoding	should be set to one of the following supported mini-seed
seed_id	seed id string of channel to get response for
sampling_rate	the new sampling rate in hz
ev_coord	event's coordinates as tuple
agencies	self-explanatory. multiple agencies allowed
validate	if true the final quakeml file will be validated against
server_url	the seedlink server url
fmin	minimal frequency to be analyzed
a	first signal
thr_on	threshold for switching single station trigger on
maximum_error	maximum error
buf	file to read
headers	header information for request e.g
comments	an arbitrary number of comments to the resource
trigger_type	string that specifies which trigger is applied (e.g
x	the x values at which to calculate the kernel
stream	stream object to be merged
location	only plot matching channels. accepts unix style
writeln decorator	used to decorate file-like objects with a handy 'writeln' method
debug	debug on/off
area_code	the area code
min max amplitude feature	generates statistics about the amplitude values
format	format of the graph picture. if no format is given the
azimuth_1	the azimuth of component 1
inventory	station metadata to use in search for adequate
blockette030	blockette 030 data format dictionary blockette
time	time of interest
cmap	colormap to use for the plot. to use the color map like in
tdownmax	if dtime exceeds tdownmax the trigger is examined for
dbscale	if true 10 * log10 of color values is taken if false the
packets	array of data packets (packet_type 'dt') from which
endafter	limit to metadata epochs ending after specified time
label_size	label size
type	specifies the kind of interpolation as a string (linear,
ax2d	2d matplotlib axes
filename	file or file-like object in text mode
decimation_offset	the sample chosen for use. 0 denotes the
cls	obspy.core.inventory class
code	the seed network code
depth	the depth in km at which to perform the calculation
fhigh	upper frequency limit for analysis
show_histogram	enable/disable plotting of histogram. this
approximation_lower_bound	lower bound of approximation
cha_element	channel element to be used
path_or_file_object	file name or file like object. if this
start	the starting date/time to get
GMT_scaling	scale the beachball - default radius is 1.0
ray_param	the slowness to check in s/km
verbose	controls verbosity from 0 to 2. defaults to none 0
global domain	domain spanning the whole globe
f	open file pointer of gse2 file to write opened in binary
slpacket	class to hold and decode a seedlink packet
seqnum	seedlink sequence number of last packet received -1 to
klim	either a float to use symmetric limits for wavenumber
channel	from the stationxml definition equivalent to seed blockette 52 and parent element for the related
new_start	the start of the interpolated array. must be greater
latitude	the latitude of the station
password	password of http digest authentication for access to
colorbar	when left none, a colorbar is plotted if more than one
recordstart	seconds to crop from the beginning
orig_lat	latitude of reference origin
stime	start time
output	output format if parameter filename is used
winlen	window length for filter in samples must be power of 2
net_element	network element to be read
window	the window used to multiply the sinc function with. one
tr	an obspy trace object containing the calib and gse2 calper
url	the url to get the data from
offset_max	maximum offset in meters to plot
line	line to parse
endtime	only use records whose start time is smaller than this
timespan	timespan of peak to peak amplitude [s] or list of the same
filename	name of numpy .npz output file
show	show figure or return
fct	cross-correlation function e.g. returned by correlate
filename	audio wav file to be read
latitude	latitude coordinate of this channel's sensor
t0	starting time for plotting
networkcode	specify the network code for the synthetics
format	the format in which to request station information
h_2	height of the tfr/spectrum axis
beach ball	class for generating a beachball projection for a provided moment tensor object
byteorder	enforce byte order for data file. this is important for
ts3	same as ts1 but for the x3 up or down component of motion
lazy trace header attrib dict	this version of attribdict will unpack header values only if needed
paz	poles and zeros response information
fig	figure instance to reuse returned from a previous
other	catalog or event object to add
trace	:class ~obspy.core.stream.trace object
website	the website
startbefore	limit to metadata epochs starting before specified
resolution	resolution of the boundary database to use. will be
nfft	number of fft points of signal which needs correction
options	necessary keyword arguments for the respective trigger
width	symbol size of beach ball or tuple for elliptically
tensor	the tensor class represents the six moment-tensor elements mrr mtt mpp mrt mrp mtp in the spherical coordinate system defined by local upward
w	window function
buf	file to write to
seed link exception	seedlink error
location	location code e.g. '01'. location code may
period_smoothing_width_octaves	determines over what
title	the title to display on top of the plot
epicentral_distance	great-circle epicentral distance from station
stop_on	a list of strings that indicate the end of the server
type	the equipment type
freqmax	high corner frequency
semb_thres	threshold for semblance
np1	:class ~nodalplane
event client	base class for clients supporting catalog objects
waveform channel	db table containing channels
channel	only plot matching channels. accepts unix style
unwrap_phase	set optional phase unwrapping using numpy
evt	class to read evt kinemetrics formatted files
tau ptime	calculate travel times for different branches using linear interpolation between known slowness samples
frequency_upper_bound	upper frequency bound
filename	absolute path of input file
starttime	only include stations/channels active at or after
wlen	window length for fft in seconds. if this parameter is too
f	flattening of earth. uses the value for wgs84 by default
filename	will download directly to the specified file. if
st2_isref	true if st2 is a reference signal false if none is a
obj	obspy object for kml output
total_number_of_channels	total number of channels recorded at
size	controls the number of interpolation points for the
network	the network code
default_network_code	default network code used if stations
encoding	reftek data encoding as specified in event header eh
arc link exception	raised by the arclink client for known exceptions
value	seed id to use for setting self.stats.network,
max_percentage	decimal percentage of taper at one end (ranging
ned_mt	the 6 comp moment tensor in ned orientation
filename	name of output file
arrival	successful association of a pick with an origin qualifies this pick as an arrival
npts	the new number of samples. will be set to the best
orderby	order the result by time or magnitude with the
group	plugin group to search (e.g. "waveform" or "event")
filename	ah v2 file to be read
linestyle	line style
validate	if true the created document will be validated with the
handle	whether or not to return the matplotlib figure instance
param	parameter with milliseconds values in val
format	format of the file to read (e.g. "stationxml")
p	the spherical ray paramater to use for calculation in s/km
value	the actual value of the coefficient
maxlatitude	limit to events with a latitude smaller than the
eventid	select a specific event by id event identifiers are
number	number to indicate the position of the coefficient
wav_names	list of waveform files in the sfile
fig	figure instance to use
coordsys	valid values 'lonlat' and 'xy', choose which coordinates
is_spherical	whether the model is spherical. non-spherical models
f	file pointer
byteorder	determines the endianness of the file. either '>' for
path_or_file_object	file name or file-like object to be written
data	contains the data
metadata	response information of instrument. see above notes
phone number	a simple object representing a phone number
confidence ellipsoid	this class represents a description of the location uncertainty as a confidence ellipsoid with arbitrary orientation in space
default	class to create a "default" function for the :py func json
bulk	information about the requested data. see above for
inventory_root	root of the xml document
wl	wavelet to use for now only 'morlet' is implemented
filename	alphanumeric sac file to be checked
station	potentially wildcarded station code. if not given
source time function	source time function used in moment-tensor inversion
equipment	other station equipment
icon_url	internet url of icon to use for station e.g. png image
save_data	whether or not to save the result to a file. if true two
firresponse stage	from the stationxml definition response fir filter
data	data to determine instantaneous frequency of
client	client for a database created by obspy db
color	color information of the individual data points to be
flimit	sequence containing the 4 frequency limits
longitudes	geographical longitude values ranging from -180 to 180
file_name	name of colormap to load same as filename in
radius_of_planet	the radius of the planet to use in km
filename	name of the output file or a file-like object
vault	type of vault e.g. wwssn tunnel transportable array
filename	name of the quakeml file to be checked
type	determines type of returned time array see above for
f	open file pointer of gse2 file to read opened in binary mode
verify_chksum	if true verify checksum and raise exception if not
tr	compatible trace with data of one ppsd segment
data	data in displacement to convolve with pendulum at freq
code	a string to include in error messages for identification
position	the trace will be inserted at position
method	method to handle overlaps of traces. defaults to 0
slnet station	class to hold a seedlink stream selectors for a network/station
fs	sampling frequency
starttime	specify the start time
show	show the plot
inventory_or_network	the object to convert
type	string that specifies which filter is applied (e.g
outfile	output file string. also used to automatically
origintime	specify the source origin time. this must be
read_traces	data traces will only be read if this is set to
blockette_number	the blockette number to search for
N	:class ~principalaxis
slpacket	the packet containing a mini-seed record
fields	dictionary of positions of input fields used if input file
count	packet counter
sourcemomenttensor	specify a source in moment tensor
dip_2	the dip of component 2
data	the data to integrate
operator	an operating agency and associated contact persons if there are multiple
threads_per_client	the number of download threads launched
compressed	request compressed files from arclink server
filename_or_buf	file to pass
filename_or_buf	file to test
cumulative_number_of_colors	number of discrete color shades to
on_data	a function or callable that is called for every new trace
channel	channel code e.g. 'bhz'. last character (i.e
sourcename	only read data with matching seed id (can contain
endtime	limit to events on or before the specified end time
wavefile	wave-file to associate with this s-file the timing of the s-file will be taken from this file if evtime is not set
x	number
blockette059	blockette 059 channel comment blockette
data	data to determine predominant period of
p	the slowness to interpolate in s/km
composite time	focal times differ significantly in their precision while focal times of
stream	stream containing waveform data for all stations. these
fir	list of fir filter chain identifiers
station	the 5 character station code or regular expression
includeallorigins	specify if all origins for the event should
min_longitude	minimum longitude
cache	an object to use to cache models split at source depths
time	only include stations/channels active at given point in
approximation_type	approximation type. currently restricted to
root	xml document root element
data	data to detrend type numpy.ndarray
w_1	width of the spectrum axis
type	string that specifies which trigger is applied (e.g
output_units	the units of the data as output from the
mintimeonly	returns only the first arrival of each phase for
tests	list of submodules for which test suites should be run
httpclient	mix-in class to add http capabilities
ba	the back azimuth from station to source in degrees
udiff	union for steim objects
starttime	start of requested time window
source	network id of the institution sending the message
location	location code. see note on wildcards above
delta	sampling interval
clock_drift_in_seconds_per_sample	a tolerance value measured
comparing object	simple base class that implements == and != based on self __dict__
filename	name of the gse2.0 file to be checked
location	filter result by given location id if given. defaults
string	quakeml string to parse
latitude	specify the latitude to be used for a radius search
calib_file	file name of calibration file containing the paz of the
time_shift	interpolation can also shift the data with
nearest_sample	if set to true, the closest sample is
overwrite	force to overwrite old files defaults to false
origin quality	this type contains various attributes commonly used to describe the quality of an origin e
subplots_adjust_right	the right side of the subplots of the
inventory	the root object of the inventory->network->station->channel hierarchy
starttime	start time may be used in conjunction with
channels	a list containing channel names
evtime	if given this will set the timing of the s-file
rt memory	real time memory class
timestamps	whether to add timestamp information to the event
headonly	if set to true, read only the data header. this is
source_longitude_in_deg	source longitude in degrees
max_trigger_length	maximum single station trigger length (in
fs	sampling rate
stage_sequence_number	stage sequence number greater or equal
pretty_print	indent for readability
catalog	obspy catalog object
includeallmagnitudes	specify if all magnitudes for the event
recstart	date of the first sample of the current record
description	any additional information
sensor	the sensor
fc1	center frequency of lowest half octave band
reftime	when using a relative timing the time used as the
thr_coincidence_sum	threshold for coincidence sum. the network
data	the data being written or returned
item	name of the attribute key
custom complex	helper class to inherit from and which stores a complex number that is extendable
trace2	waveform data for pick2. add some time at front/back
v_layer	the velocity layer to convert
clock drift	clockdrift object
filename	name of the ascii file to be checked
channel	channel id
y	value [km] to calculate relative coordinate in degree
print_gaps	whether to print information on all encountered gaps
slm_x	slowness x max
n1	starting index defaults to 0
interval	this defines the interval length in minutes for one
max_longitude	maximum longitude
filename	css file to be checked
service_mappings	for advanced use only. allows the direct
with_uncertainties	appends non-standard columns for horizontal
logger	the logger instance to use for logging
nofill	do not fill the beach ball but only plot the planes
show_y_UTC_label	whether or not to display the y utc vertical
inplace	if true do compression not on a copy of the data but
historical_code	a previously used code if different from the
endtime	end time of the graph as a
filename	the name of the file to read
filename	nanometrics y file to be read
client	fdsn web service request client
p	the slowness to calculate in s/km
element	xmltree element status is extracted from
contributor	limit to events contributed by a specified
projection	the map projection. currently supported are
county	the county
starttime	the start time or timestamp for the new
version	specified version value to test
cleanup	specifies whether perfectly aligned traces should be
plot_dx	spacing of ticks on the spatial x-axis
subplots_adjust_left	the left side of the subplots of the
curstream	the description of the station to negotiate
resource_name	name of the resource
components	specify the orientation of the synthetic
stream	the stream object to rotate. needs to have exactly three
ax	axis object of a matplotlib figure
phases	comma separated list of phases. the default is as
endtime	end date and time. requires starttime parameter
swapflag	swap bytes defaults to 0
starttime	only use records whose end time is larger than this
format	the format of the written file
name	tag name of sub nodal plane
location	the 2 character location code or regular expression
obj	obspy object for shapefile output
stalon	station longitude
filename	nnsa kb core file to be read
moment tensor	this class represents a moment tensor solution for an event it is an
omit_nulls	don't include empty-valued attributes
source_longitude_in_deg	source longitue in degrees
ppsd_length	length of data segments passed to psd in seconds
filename	su file to be read
location	location code e.g. '00'
filename	nnsa kb core file to be checked
path	file or directory path relative or absolute to parse
zero_mean	if true, the mean of the waveform data is
flag_value	the flag value to check
timestring	numpy.ndarray
field	general seed field
restricted_status	the restriction status
waveform client	base class for clients supporting stream objects
fh	open file pointer of gse1 file to read opened in binary mode
filename	alphanumeric sac file to be read
size	size of the individual points in the scatter plot
resp_element	response element to be parsed
integer	an integer field
filename_or_buf	file to read
blockette051	blockette 051 station comment blockette
flattening_of_planet	flattening of planet 0 for a sphere
ned_mt	moment tensor in ned convention
l_p	length of variance window for the p arrival in seconds
waveform path	db table containing file directories
included_headers	if set to a list only these header entries will
filename	gse1 file to be checked
value	gps status
channel	channel code e.g. 'bhz', wildcards allowed
right_vertical_labels	whether or not to display labels on the
town	the town or city closest to the station
filename	name of the pickled obspy stream file to be checked
is_p_wave	whether to look at the p (true) or s (false)
get_paz	fetch paz information and append to
endtime	end of time span
location	location code e.g. '01'
endian	if given the byte order will be enforced. can be either "<"
tohz	change to hertz
hdrlist	which header fields to you want to list. choose one of
w_cb	width of the colorbar axes
phase	the value for the phase response at this frequency
lut	specifies the number of discrete color values in the
framerate	sample rate of wav file to use. this this will squeeze
filename	gcf file to be read
minradius	limit to events within the specified minimum number
one_tick_per_line	whether or not to display one tick per line
sll_y	slowness y min lower
bo2	byte order string. can be one of {'l', 'little', 'l', '<',
station	select one or more seed station codes. multiple codes
evt tag	class to read the tags of evt files
time interval	simple object representing a time interval of a channel
automerge	if automerge is true traces with the same id will be
stats	stats of the station/instrument to process
dataz	data of z component. see description of datax
annotate	can be either true or false. defaults
station	object representing a seismic station within the download helper classes
backend	name of matplotlib backend to switch to
timestamp	valid values 'julsec' and 'mlabday'; 'julsec' returns
depth	the depth to find in km
lat	latitude of interest
blockette047	blockette 047 decimation dictionary blockette
custom_format	parameter for number formatting of samples defaults
output_units_description	the units of the data as output from
dtype	numpy dtype for returned data chunk
blockette057	blockette 057 decimation blockette
count	sequential numbering of poles/zeros
sds_type	sds data type identifier one single character. types
param	sampling rate sample size block time channels
longestonly	limit results to the longest continuous segment per
max_gap	all gaps larger than this value will be omitted. the
byteorder	desired output byte order. if omitted arrays are
yield_each_trace	if true it will yield each trace after it
n	data of the north component of the seismogram
frqlow	lower frequency for fk/capon
response list response stage	this response type gives a list of frequency amplitude and phase value pairs
logger	an active logger instance
inventories	station metadata to use in search for response for
filename_or_buffer	the filename_or_buffer or file-like object to
data	the data to detrend. will be modified in-place
debug	debug flag
sufile	convenience class that internally handles seismic unix data files it
sourcelatitude	specify the source latitude
a	radius of earth in m. uses the value for wgs84 by default
seedname	the 12 character seedname or 12 character regexp
keys	list containing the values according to which the traces
event mapper client	interface to access the seishub event web service
input_file	the input filename
sen_element	sensor element to be used
station	station code. no wildcards supported by obspy
headonly	if headonly is true return the header arrays not the
instrument polynomial	from the stationxml definition the total sensitivity for a channel representing the complete
frequency_range_db_variation	variation in decibels within the
filename	name of a output file. if this parameter is given
rayparamonly	returns a space-separated list of ray parameters
P	:class ~principalaxis
time_offset	only used if type='dayplot'. the difference
value	seconds
fmin	minimum frequency in hz
nearest_sample	only applied if starttime or endtime is given
filesize	filesize of the file. if not given it will be
min_radius	minimum radius of the model km
w0	parameter for the wavelet tradeoff between time and frequency
dip_1	the dip of component 1
quality	select a specific seed quality indicator handling is
location	select one or more seed location identifiers. multiple
plot_degrees	if true plot bode in degrees
scale	specify an amplitude scaling factor. the default
chunk_size	the chunk size in bytes
pick	a pick is the observation of an amplitude anomaly in a seismogram at a specific point in time
bottom	plot distance from the bottom of the figure
smoothie	window length for moving average
frequencies	discrete frequencies to calculate response for
ms	_msstruct (actually consists of a lp_msrecord
user	the user name used for identification with the web
locationcode	specify the location code for the synthetics
filename	name of file to write
weight_mapping	mapping of pick uncertainties to integer weights
show	whether to show the figure after plotting or not. can be
ifx_list	list of events for which the 'ifx' flag should be set
base_url	seishub connection string. defaults to
reftime	the reference time to which the time scale will refer
is_p_wave	whether to return the p layer (true) or the s
sl_s	slowness step
channels	the channels. each channel is a tuple of two strings
stream	zne sorted trace data
data	sac data array optional
equip_element	element to be parsed
sigmau	standard deviation not variance of ground noise
stream	the obspy stream object to write
msg	reason for unconditionally skipping the test
filename	filename with nonlinloc scatter
min_gap	all gaps smaller than this value will be omitted. the
start_stage	sequence number of first stage that will be used
samp_rate	samplerate in hz
endtime	end of requested time window
f	file open in read mode
append	if filename exists append all data to file default false
reverse	reverts sorting order to descending
ray_param	the ray parameter s to use for calculation in s/km
nlta	length of long time average window in samples
recordlength	length of the record section in seconds
nodal plane	this class describes a nodal plane using the attributes strike dip and rake
filename	filename to save to
unpickler	de-serializes a quakeml string into an obspy catalog object
slpack	packet to process
blockette length exception	wrong blockette length detected
channel	channel code of requested data (e.g. "hhz")
removal_date	the removal data of the equipment
dip	dip of the instrument in degrees down from horizontal
location	potentially wildcarded location code. if not given
max_length	length of taper at one end in seconds
paz_element	string of poles or zeros e.g. 12320 23020
color_per_network	if set to true, each network will be
filename	filename complete path to save kml to
clip	adjust colormap to clip at lower and/or upper end. the given
nphi	number of longitudinal grid points (default = 100)
netto	the network timeout in seconds
channel_prefix	channel band and instrument codes
period_limits	set custom lower and upper end of period range
user_agent	the user agent sent along the http request
slclient	basic class to create and use a connection to a seedlink server using a seedlinkconnection object
pre_filt	apply a bandpass filter in frequency domain to the
method	http method of request e.g. "put"
base node	from the stationxml definition a base node type for derivation of network station and channel
size	size tuple in pixel for the output file. this corresponds
outfile	name of outfile addressing w.r.t. current directory
spec	spectrum as returned by :func numpy.fft.rfft
response	the response of the channel
components	list of components to use in cross-correlation defaults
client	client for the iris syngine service
nulls	if true return all header values including nulls else
starttime	only read data samples after or at the start time
layers	the layers of the model
agencies	the agencies of the operator
fdsnmass downloader exception	base exception raised by the download helpers
module_name	name of the module of which the tests should be added
datetime	time to get response for
end_effective_time	the effective end date
lon2	longitude of point b in degrees (positive for eastern
ax3d	matplotlib axes3d object
filename	the filename to download to
selected_number_of_stations	the total number of stations in
window_length	the length of each window in seconds
capability	the capability to check for
p_dur	p_dur defines the time interval for which the maximum
thr_on	threshold for switching trigger on
seed_id	seed id string of channel to get coordinates for
stime	start time of interest
nlat	number of nodes in lat direction. the number of
chksum error	exception type for mismatching checksums
charfct	characteristic function of e.g. sta/lta trigger
projection	the map projection
filename	name of the output file or open file like object
evtlat	event latitude
vp	p wave speed in the soil under the array (km/s)
model	the model of the equipment
filename	sac file to be checked
lat1	latitude of point 1 in degrees
k	spline order. 1 is linear 2 quadratic 3 cubic must be
show	enable/disable immediately showing the plot
headonly	if true read only head of gse2 file
param	a list with the size of the list the dimension of the
details	if true read additional information timing quality
inc	the inclination of the ray at the station in degrees
p0	initial guess for the parameters. if none, then the initial
db_bins	specify the lower and upper boundary and the width of
named temporary file	weak replacement for the python's tempfile temporaryfile
starttime	specify the start time of slice
sanity_checks	enables some sanity checks before merging traces
sourcedoublecouple	specify a source as a double couple. the
starttime	start date and time
lon	longitude to calculate relative coordinate in km
line	string containing moment tensor information
client	request client for seiscomp data structure archive on local filesystem
value	seconds or utcdatetime object to subtract. subtracting an
res_id_prefix	prefix used
inventory	input station metadata
sladdr	the host port of the seedlink server
gap_overlap_check	action to take when there is a gap or overlap
x_labels_size	size of x labels in points or fontsize
recursive	override for value of option recursive set at
sampling_rate	the sampling rate in hz
freqs	frequency vector to use
st2	stream 2 containing one trace for z n e component (other
mseed_storage	where to store the waveform files. see
norm	if not none, trace is normalized by dividing by
evt virtual	class for parameters reading
waveform features	db table containing optional features created during indexing
rtp_mt	moment tensor in rtp convention
noise_tres	variance of the noise sphere data points are excluded
left	plot distance from the left of the figure
data_log_element	datalogger element to be used
bulk	an already prepared bulk download list for all channels and
fk	coefficients of polynomial used to calculate the time
xml_string	xml string to process
decimals	number of decimals for seconds after which to cut off
data	filename url or xseed/seed string as file pointer or
data_logger	the data-logger
blockette050	blockette 050 station identifier blockette
trace	the trace received from the server
catalog	event data to add as a new layer
selectors	selectors for this net/station null if none
station	specify a station code combined with network to
route	enables arclink routing (default is true)
blockette010	blockette 010 volume identifier blockette
month	if set restricts the data that is included in the stack
picks	original picks used to generate the nonlinloc location
minimumlength	limit results to continuous data segments of a
filename	string or file like object. will download directly
show_mean	enable/disable plotting of mean psd values
blockette055	blockette 055 response list blockette
sloppy	if true, only uses
data used	the dataused class describes the type of data that has been used for a moment-tensor inversion
user_flags	user defined flags and its value
side	specify if both sides should be tapered (default "both")
show	whether to show the figure after plotting or not. can be used
compact	seed volume will contain compact data strings. missing
float with uncertainties and unit	float value that has lower and upper uncertainties and a unit associated with it
show_mode	enable/disable plotting of mode psd values
maxdepth	limit to events with depth in kilometers smaller
filename	path/filename of a local file to be checked
cmap	colormap for tfem/tfpm either a string or
debug_headers	include _all_ sac headers into the
fmin	minimum frequency in signal
buf	alphanumeric sac file to be read
threads_per_client	threads to launch per client. 3 seems to
base_url	the base url of the service
tau ppierce	the methods here allow using tauptime to calculate the pierce points relating to the different arrivals
stalat	station latitude
sta_p	length of sta for the p arrival in seconds
merge	specifies which merge operation should be performed
poles zeros response stage	from the stationxml definition response complex poles and zeros
seg2base error	base class for all seg-2 specific errors
angle	angle object
vertical_scaling_range	determines how each line is scaled in
filename	reftek130 file to be checked
starttime	if set data before the specified time is excluded
limit	limit the results to the specified number of events
