$upperrighty	upperrighty
openssl_verify	openssl verify
imap_fetch_overview	imap fetch overview
$tag_name	string
$smiley	string
ctype_lower	ctype_lower
$severity	severity
$query	$query
$case_insensitive	case_insensitive
warnings	warnings
ibase_close	ibase close
ftp_ssl_connect	ftp ssl connect
$page	page
mssql_bind	mssql bind
$scale	int
fdf_next_field_name	fdf next field name
$flags	flags
json_encode	json_encode
$case	$case
pdf_open_file	pdf_open_file
bzwrite	bzwrite
$field_name_or_number	mixed
$context	resource
mssql_query	mssql_query
$to_parse	$to_parse
$csr	mixed
$index	index
mixed	mixed
$hash	hash
bzcompress	bzcompress
fdf_set_ap	fdf set ap
$replacement	replacement
$address	$address
$input	input
$method	$method
$recipkey	mixed
$component	$component
$host	host
exif_imagetype	exif_imagetype
mssql_num_fields	mssql_num_fields
$scale	$scale
dbx_error	dbx error
$data	$data
array_reduce	array reduce
curl_version	curl_version
$proper_address	$proper_address
parse_ini_string	parse_ini_string
$note_name	$note_name
imap_mail	imap_mail
openssl_csr_sign	openssl csr sign
get_cfg_var	get_cfg_var
$gstate	$gstate
$option	option
$pasv	$pasv
mssql_fetch_field	mssql_fetch_field
msql_field_seek	msql_field_seek
$encoding	string
notify	notify
getline	getline
$maxlength	$maxlength
$hostname	hostname
mssql_data_seek	mssql_data_seek
mssql_field_length	mssql_field_length
$textflow	int
$errornum	int
translate	translate
$x1	$x1
$bbcode_container	bbcode_container
mysql_field_type	mysql field type
to	to
gnupg_seterrormode	gnupg seterrormode
msql_field_name	msql field name
ibase_free_result	ibase_free_result
countable	countable
$case_insensitive	bool
pdf_arc	pdf_arc
oci_fetch_row	oci fetch row
pdf_fill_textblock	pdf_fill_textblock
$age	int
pdf_end_template	pdf end template
$line	int
$howmuch	int
$juliandaycount	$juliandaycount
fstat	fstat
$sequence	sequence
$imageinfo	$imageinfo
$numeric_prefix	$numeric_prefix
dba_key_split	dba_key_split
fdf_set_flags	fdf set flags
$binary_string	$binary_string
array_values	array_values
headerinfo	headerinfo
html	html
pdf_add_thumbnail	pdf add thumbnail
$flag	int
array_diff_assoc	array_diff_assoc
$fromlength	fromlength
error	error
mysql_escape_string	mysql escape string
bzdecompress	bzdecompress
$y1	y1
$padding	padding
pg_field_num	pg field num
$timestamp	timestamp
$jd	int
url	url
pdf_add_textflow	pdf add textflow
$fd	fd
$cy	$cy
setgray	setgray
getcwd	getcwd
$out	out
hex2bin	hex2bin
$image	$image
dbase_replace_record	dbase replace record
opendir	opendir
$timeout	float
openssl_csr_export	openssl_csr_export
$bind_arg	mixed
array_intersect_ukey	array intersect ukey
class_exists	class exists
$cc	string
total	total
fribidi_log2vis	fribidi_log2vis
pdf_add_nameddest	pdf add nameddest
setflag	setflag
$cipherid	$cipherid
$y	y
fbsql_next_result	fbsql_next_result
dba_replace	dba_replace
decrypt	decrypt
$callable_name	string
$fl	fl
array_merge_recursive	array_merge_recursive
dbase_numfields	dbase_numfields
pdf_get_pdi_value	pdf_get_pdi_value
move_uploaded_file	move_uploaded_file
pdf_close_pdi_page	pdf close pdi page
$authns	$authns
imap_qprint	imap qprint
$allowable_tags	allowable_tags
htmlentities	htmlentities
$cacert	mixed
name	name
pdf_clip	pdf clip
$full_info	bool
$timeout_type	int
base64_encode	base64_encode
msql_list_dbs	msql_list_dbs
intersect	intersect
backtrace	backtrace
$scanner_mode	scanner_mode
$codeset	string
$ury	$ury
deletemailbox	deletemailbox
fdf_header	fdf_header
$short_format	short_format
pdf_get_apiname	pdf get apiname
insert	insert
$variable	string
pdf_fill_pdfblock	pdf fill pdfblock
imap_timeout	imap timeout
callable	callable
imap_mail_copy	imap_mail_copy
curl_setopt_array	curl_setopt_array
pdf_get_errmsg	pdf get errmsg
msg	msg
$keys	array
overview	overview
pg_get_result	pg_get_result
fdf_set_encoding	fdf set encoding
get_loaded_extensions	get_loaded_extensions
$lob_mode	int
exif_thumbnail	exif thumbnail
pdf_begin_glyph	pdf begin glyph
inet_pton	inet pton
is_nan	is_nan
$maxlen	int
$body	array
pg_delete	pg delete
pdf_info_table	pdf_info_table
pdf_end_page	pdf_end_page
$bitreverse	bitreverse
$result_identifier	$result_identifier
$outfile	string
pdfblock	pdfblock
ftp_chdir	ftp_chdir
$is_xhtml	bool
$escape	$escape
pdf_scale	pdf scale
get_class_methods	get_class_methods
fdf_set_submit_form_action	fdf_set_submit_form_action
$flatness	flatness
$x2	float
array_change_key_case	array_change_key_case
pdf_delete_textflow	pdf_delete_textflow
pdf_setdashpattern	pdf_setdashpattern
convert	convert
pdf_end_template	pdf_end_template
pdf_fit_textflow	pdf_fit_textflow
nl2br	nl2br
openssl_pkey_get_public	openssl_pkey_get_public
$uri	string
$defaulthost	$defaulthost
pdf_makespotcolor	pdf_makespotcolor
pdf_open_ccitt	pdf open ccitt
$database_options	$database_options
$colorspace	string
exp	exp
pdf_info_matchbox	pdf_info_matchbox
$replace	replace
get_declared_interfaces	get declared interfaces
ingres_errsqlstate	ingres_errsqlstate
$username	username
fbsql_data_seek	fbsql_data_seek
$max_chars_per_line	$max_chars_per_line
pg_affected_rows	pg affected rows
$new_link	$new_link
$max_item_length	$max_item_length
pdf_create_gstate	pdf_create_gstate
array_combine	array combine
$function_name	string
$fstype	$fstype
$array_or_countable	array_or_countable
imap_getacl	imap getacl
$alpha	alpha
$charlist	$charlist
$dir_handle	$dir_handle
$add_empty	bool
$year	$year
$criteria	criteria
msql_data_seek	msql data seek
reduce	reduce
dateinterval	dateinterval
__set_state	  set state
$port	$port
$signature_alg	signature_alg
pdf	pdf
$rows	rows
pdf_end_font	pdf_end_font
$result_identifier	resource
$quota_root	string
$index	int
$dest_height	dest_height
bcadd	bcadd
array_change_key_case	array change key case
$facility	$facility
statement	statement
mysql_data_seek	mysql_data_seek
iconv_set_encoding	iconv_set_encoding
func_get_args	func_get_args
ctype_print	ctype_print
chroot	chroot
base64_encode	base64 encode
$double_encode	double_encode
$scanner_mode	int
fdf_set_file	fdf_set_file
file_exists	file_exists
pg_escape_bytea	pg_escape_bytea
$fontsize	float
map	map
compose	compose
$still_running	$still_running
gnupg_import	gnupg_import
$user_compare_function	string
array_sum	array_sum
imap_gc	imap gc
dbx_connect	dbx_connect
mkdir	mkdir
curl_multi_strerror	curl multi strerror
convert_uudecode	convert_uudecode
msql_field_flags	msql_field_flags
$file	string
pdf_open_ccitt	pdf_open_ccitt
gzgetss	gzgetss
$name	name
ibase_free_query	ibase free query
event	event
pdf_utf8_to_utf16	pdf_utf8_to_utf16
$glue	$glue
$rights	string
$weight	weight
dbase	dbase
msql_query	msql query
imap_bodystruct	imap_bodystruct
$infilename	$infilename
eregi	eregi
imap_subscribe	imap_subscribe
$number	$number
$target	target
getmxrr	getmxrr
dbase_replace_record	dbase_replace_record
$type	string
ftp_chmod	ftp chmod
$msg_number	$msg_number
openssl_encrypt	openssl encrypt
info	info
curl_close	curl_close
exit	exit
msql_field_type	msql_field_type
pg_fetch_assoc	pg_fetch_assoc
$c1	c1
of	of
$finfo	resource
$optlist	$optlist
pdf_delete_pvf	pdf delete pvf
method_exists	method exists
$value_compare_func	$value_compare_func
$y2	y2
jpeg2wbmp	jpeg2wbmp
$wouldblock	$wouldblock
md5_file	md5 file
$addtl	array
array_intersect_ukey	array_intersect_ukey
$pdfdoc	resource
$rights	rights
$painttype	$painttype
$atomic	$atomic
dbase_delete_record	dbase delete record
$case	case
ftp_delete	ftp_delete
$row_b	array
$phi	$phi
$data	data
$key_identifier	resource
array_uintersect_uassoc	array uintersect uassoc
$base	float
curl_getinfo	curl_getinfo
$jday	int
$args	args
$csr	$csr
$table_name	$table_name
is_writable	is_writable
openssl_open	openssl_open
$position	position
$purpose	int
$linecap	linecap
ibase_free_result	ibase free result
pg_get_notify	pg get notify
ftp_fput	ftp fput
$armor	armor
imap_utf7_decode	imap_utf7_decode
weblink	weblink
pg_connection_busy	pg connection busy
$extracerts	extracerts
pcntl	pcntl
pdf_pcos_get_stream	pdf pcos get stream
$resumepos	$resumepos
disk_total_space	disk total space
password_verify	password verify
$out	$out
$entry	array
imap_listscan	imap listscan
$get_scripts	boolean
$smiley	smiley
$pieces	pieces
$subjectlength	$subjectlength
retrieve	retrieve
$definition	definition
$array	$array
filemtime	filemtime
trace	trace
is_bool	is_bool
is_resource	is_resource
mysql_db_query	mysql db query
imap_getsubscribed	imap getsubscribed
php	php
pdf_place_image	pdf place image
fbsql_password	fbsql password
$y	$y
$max_item_length	int
ingres_errsqlstate	ingres errsqlstate
$value_compare_func	callable
$message	string
interfaces	interfaces
imap_rfc822_parse_headers	imap rfc822 parse headers
imap_mail_compose	imap_mail_compose
$c	$c
mysql_query	mysql query
create_function	create function
getcode	getcode
$utf8string	$utf8string
add	add
gzeof	gzeof
$identifier	resource
$str1	string
$notext	bool
is	is
$raw_output	$raw_output
array_unique	array unique
$n	n
$purpose	$purpose
processes	processes
space	space
$offset	mixed
pdf_end_font	pdf end font
$keys	keys
$fingerprint	$fingerprint
pdf_create_pvf	pdf create pvf
$dest	string
error_get_last	error get last
pdf_get_errnum	pdf get errnum
$infile	infile
dba_fetch	dba_fetch
$module_name	module_name
void	void
imap_mail_compose	imap mail compose
$g	g
convert_uuencode	convert uuencode
nb	nb
move	move
$service	string
dio_fcntl	dio_fcntl
$code	code
fdf_header	fdf header
$height	$height
$add_empty	add_empty
pg_connection_busy	pg_connection_busy
$options	string
$target	$target
$row_b	$row_b
resource	resource
$recipkey	$recipkey
dio_stat	dio_stat
is_infinite	is infinite
$search_value	mixed
pg_fetch_all	pg_fetch_all
imap_utf8	imap_utf8
$still_running	int
get_declared_interfaces	get_declared_interfaces
crack	crack
ftp_connect	ftp connect
debug	debug
imap_mime_header_decode	imap_mime_header_decode
mysql_num_fields	mysql_num_fields
mysql_tablename	mysql tablename
ftp_nb_fget	ftp_nb_fget
$unescaped_string	string
fdf_get_value	fdf_get_value
$rownumber	int
fdf_set_ap	fdf_set_ap
$id	int
pdf_fit_textline	pdf_fit_textline
$embed	$embed
dba_popen	dba_popen
$encoding	encoding
$left_operand	$left_operand
pfsockopen	pfsockopen
$numeric_prefix	numeric_prefix
$hour	$hour
classes	classes
pdf_fill	pdf_fill
$id	$id
compare	compare
$upperrighty	float
$seed	int
gd	gd
$handle	$handle
$minute	int
$signed_text	string
pdf_get_parameter	pdf get parameter
$ury	ury
interface_exists	interface exists
$isname	int
is_executable	is_executable
array_fill_keys	array_fill_keys
dbase_get_header_info	dbase get header info
loaded	loaded
dup2	dup2
connection_aborted	connection_aborted
easter_days	easter days
$second	second
image	image
$handler	$handler
$configargs	array
$string	string
$slot	$slot
$context	context
$message_type	int
filepro	filepro
$statement	statement
$julianday	int
$spotname	$spotname
fields	fields
mssql_result	mssql result
ingres_pconnect	ingres pconnect
$pub_key_id	$pub_key_id
$whence	int
$connection_id	resource
pdf_utf32_to_utf16	pdf_utf32_to_utf16
$bind_password	$bind_password
$phi	phi
$double_encode	$double_encode
$recipcerts	mixed
msql_list_fields	msql list fields
subscribe	subscribe
$y1	float
$colorspace	colorspace
nl	nl
$page	$page
$group	$group
msql_field_name	msql_field_name
$group	group
$dir_handle	dir_handle
$str2	$str2
$msgid1	msgid1
__tostring	  tostring
pdf_scale	pdf_scale
$phonemes	phonemes
$msgid2	string
pg_host	pg_host
$gstate	int
encrypt	encrypt
is_readable	is readable
dba_sync	dba_sync
gnupg_decryptverify	gnupg_decryptverify
decryptverify	decryptverify
mssql_close	mssql_close
renamemailbox	renamemailbox
$fd	mixed
crack_check	crack_check
oci_close	oci close
$lob_mode	lob_mode
$frombase	int
$cmd	int
$signcert	signcert
gnupg_setarmor	gnupg_setarmor
$callback	$callback
$option	string
domelement	domelement
ftp_get	ftp get
$class_name	mixed
mysql_free_result	mysql free result
ingres_next_error	ingres next error
$fd2	$fd2
ftp_chdir	ftp chdir
$lowerleftx	lowerleftx
$filters	filters
begin	begin
apache_getenv	apache_getenv
$use_include_path	bool
activate	activate
$upperrightx	$upperrightx
$record_number	record_number
$trigger	int
$val	float
mysql_errno	mysql errno
mysql_field_name	mysql_field_name
$fstype	string
bcsub	bcsub
pdf_end_document	pdf_end_document
array_unique	array_unique
$options	options
$return	$return
ignore_user_abort	ignore user abort
imap_delete	imap_delete
$flag	string
$criteria	int
array_pop	array_pop
$opt	int
$pathname	string
microtime	microtime
cal_from_jd	cal_from_jd
gd_info	gd info
__halt_compiler	__halt_compiler
$user	$user
dbx_compare	dbx_compare
$hostname	$hostname
$values	array
$bind_password	bind_password
ftp_size	ftp size
$path	$path
ini	ini
$salt	$salt
$small	$small
odbc_fetch_into	odbc_fetch_into
push	push
$upperrightx	upperrightx
is_subclass_of	is subclass of
precision	precision
openssl_x509_checkpurpose	openssl_x509_checkpurpose
fdf_set_submit_form_action	fdf set submit form action
$clear_realpath_cache	clear_realpath_cache
msql_num_fields	msql_num_fields
$ini	string
pdf_add_nameddest	pdf_add_nameddest
$black	$black
$bcc	$bcc
$c	string
$scale	float
$tag	$tag
dbx_error	dbx_error
$pass	$pass
$rpath	rpath
$env_key	$env_key
fdf_set_javascript_action	fdf set javascript action
dba_optimize	dba_optimize
get_declared_classes	get declared classes
queue	queue
ob_end_clean	ob end clean
timezone	timezone
border	border
$binary_string	binary_string
close	close
ctype_space	ctype_space
fribidi	fribidi
pg_cancel_query	pg_cancel_query
$dir_handle	resource
3ddata	3ddata
msql_field_table	msql_field_table
$style	$style
imap_search	imap_search
headers_list	headers list
imap_base64	imap_base64
dio	dio
$i	int
$number	float
$key_compare_func	callable
errno	errno
header	header
$path	string
$string	$string
$font	$font
mssql_connect	mssql_connect
assert_options	assert_options
$encoding	$encoding
gzpassthru	gzpassthru
array_pad	array_pad
filesize	filesize
$startpos	startpos
apache_reset_timeout	apache reset timeout
get_parent_class	get_parent_class
$definition	$definition
$x509cert	mixed
$default_host	string
mssql_free_result	mssql free result
$args	string
$outfile	$outfile
multi	multi
pg_fetch_row	pg fetch row
get_defined_vars	get_defined_vars
$hash	string
$black	float
$search_value	$search_value
$module	mixed
pdf_begin_page_ext	pdf begin page ext
is_float	is float
$reverse	reverse
$ch	ch
$array2	array2
imap_mail	imap mail
get_extension_funcs	get_extension_funcs
$prefix	$prefix
getcontent	getcontent
closedir	closedir
$bcc	string
$boxname	string
$option	int
$timeout_type	$timeout_type
$phonemes	int
bzopen	bzopen
gettrace	gettrace
$base	base
$script_code	script_code
is_resource	is resource
jd	jd
mssql_min_message_severity	mssql min message severity
option	option
memory	memory
$batch_size	int
page	page
parse_url	parse url
$x509certdata	x509certdata
fbsql_fetch_row	fbsql_fetch_row
$timezone_identifier	string
msql_field_len	msql field len
pg_convert	pg_convert
$element	element
uuencode	uuencode
$null_as	null_as
pdf_delete_table	pdf delete table
$reserved	int
$errstr	$errstr
$whichflags	int
$status	int
$options	$options
fbsql_errno	fbsql errno
$isname	$isname
$c	float
gethostbyname	gethostbyname
$timeout	int
iconv_set_encoding	iconv set encoding
textdomain	textdomain
$cmd	$cmd
ftp_nb_fget	ftp nb fget
openssl_pkcs7_decrypt	openssl_pkcs7_decrypt
pg_field_size	pg field size
$allow_string	$allow_string
mysql_field_flags	mysql field flags
$w	float
$cx	cx
mysql_fetch_object	mysql fetch object
$bind_rdn	$bind_rdn
$purpose	purpose
apc_compile_file	apc compile file
array_walk_recursive	array_walk_recursive
ord	ord
langinfo	langinfo
$miter	float
$g	float
$character_mask	string
pdf_fit_textline	pdf fit textline
get_object_vars	get object vars
thumbnail	thumbnail
file_put_contents	file_put_contents
pg_fetch_array	pg fetch array
dio_stat	dio stat
$format	string
$optlist	string
pdf_begin_glyph	pdf_begin_glyph
$str	string
pdf_skew	pdf_skew
oci_fetch_all	oci_fetch_all
ftp_site	ftp site
pg_copy_to	pg copy to
imap_deletemailbox	imap_deletemailbox
$array1_sort_flags	mixed
opcache	opcache
$ftp_stream	$ftp_stream
mssql_select_db	mssql_select_db
headers	headers
ctype_graph	ctype graph
ssl	ssl
$get_scripts	get_scripts
$layer	$layer
$replacement	string
define_syslog_variables	define_syslog_variables
curl_multi_close	curl_multi_close
$row_a	array
$startpos	$startpos
ingres_field_length	ingres_field_length
getacl	getacl
$month	month
$stmtname	stmtname
is_finite	is finite
ftp_cdup	ftp_cdup
$flags	int
imap_num_msg	imap num msg
dba_close	dba_close
$r	float
$binary	binary
$age	$age
$width	float
ftp_rename	ftp_rename
diff	diff
pdf_get_buffer	pdf get buffer
pdf_continue_text	pdf_continue_text
dom_import_simplexml	dom import simplexml
fbsql_username	fbsql username
$threshold	int
gnupg_encryptsign	gnupg_encryptsign
affected	affected
ingres_field_type	ingres_field_type
dio_write	dio_write
$fontsize	$fontsize
$arg_separator	$arg_separator
$var	var
content	content
$month	int
$target_frame	$target_frame
convert_uuencode	convert_uuencode
$ref	$ref
pg_field_name	pg_field_name
$internal_date	$internal_date
parse_str	parse str
$link_identifier	object
$keydata	string
fault	fault
$e	$e
$colorspace	$colorspace
drop	drop
ftell	ftell
save	save
asort	asort
$tablename	string
stat	stat
$size	size
html_entity_decode	html_entity_decode
gnupg_encryptsign	gnupg encryptsign
imap_sort	imap_sort
environment	environment
$armor	int
$row_number	row_number
$connection_id	$connection_id
binary	binary
ingres_num_rows	ingres num rows
$directory	$directory
pdf_setdashpattern	pdf setdashpattern
msg_set_queue	msg_set_queue
curl_version	curl version
$p	resource
list	list
$wx	float
ibase_execute	ibase execute
pdf_end_page	pdf end page
bind_textdomain_codeset	bind textdomain codeset
$algo	integer
$julianday	$julianday
ctype_cntrl	ctype cntrl
chars	chars
curl_multi_remove_handle	curl multi remove handle
array_key_exists	array_key_exists
$array	array
ingres_escape_string	ingres escape string
$is_xhtml	is_xhtml
pconnect	pconnect
pdf_get_pdi_parameter	pdf_get_pdi_parameter
crack_closedict	crack_closedict
$juliandaycount	int
$column	column
$database	$database
imap_rfc822_write_address	imap rfc822 write address
ingres_close	ingres close
ingres_execute	ingres_execute
$signature_alg	$signature_alg
$category	int
$param_name	$param_name
setlinewidth	setlinewidth
$extraattribs	extraattribs
base_convert	base_convert
bcmod	bcmod
$rows	array
stop	stop
ccitt	ccitt
pg_copy_to	pg_copy_to
pdf_add_locallink	pdf_add_locallink
$face	int
$filesize	int
$replacement	mixed
$howmuch	howmuch
$cert	mixed
$font	int
array_intersect_uassoc	array intersect uassoc
curl_multi_init	curl multi init
$is_associative	is_associative
$script_name	script_name
$allowable_tags	string
$position	$position
$c4	$c4
fbsql_connect	fbsql_connect
oci_bind_by_name	oci_bind_by_name
openssl_pkcs7_encrypt	openssl_pkcs7_encrypt
is_array	is_array
$color	int
$return_var	return_var
bbcode_destroy	bbcode destroy
imap_append	imap_append
msql_result	msql result
pdf_create_textflow	pdf create textflow
bbcode_destroy	bbcode_destroy
$stmt	resource
array_diff_key	array_diff_key
oci_fetch_assoc	oci_fetch_assoc
$red	float
gzread	gzread
login	login
$http_response_code	http_response_code
dba_list	dba list
commit	commit
$month	$month
msg_stat_queue	msg_stat_queue
oci_bind_array_by_name	oci_bind_array_by_name
$profilename	$profilename
base64_decode	base64 decode
mysql_list_processes	mysql_list_processes
oci_cancel	oci_cancel
severity	severity
fbsql_change_user	fbsql_change_user
$keyword	$keyword
mysql_field_flags	mysql_field_flags
args	args
$beta	float
compiler	compiler
fbsql_table_name	fbsql table name
$query_identifier	$query_identifier
$notext	notext
array_diff_ukey	array diff ukey
$enclosure	$enclosure
ingres_autocommit	ingres_autocommit
apache_get_version	apache get version
$whichflags	$whichflags
fieldname	fieldname
$arr	array
$connection_string	$connection_string
smiley	smiley
$utf8string	utf8string
atan	atan
$function_name	$function_name
extensions	extensions
lookup	lookup
$red	$red
pdf_open_memory_image	pdf open memory image
$ftp_stream	ftp_stream
openssl_pkey_get_private	openssl pkey get private
$profilename	string
scalar	scalar
$jpegname	$jpegname
$element	$element
define_syslog_variables	define syslog variables
$tobase	tobase
reporting	reporting
sign	sign
base_convert	base convert
$pri	int
bcsqrt	bcsqrt
dba_fetch	dba fetch
ingres_unbuffered_query	ingres_unbuffered_query
$host_name	host_name
inclued_get_data	inclued_get_data
pdf_get_majorversion	pdf get majorversion
assert_options	assert options
resume	resume
$sy	sy
curl_multi_init	curl_multi_init
$fromlength	$fromlength
$charset	$charset
$black	black
inet	inet
$end	string
gnupg_seterrormode	gnupg_seterrormode
$array1	array1
bzerrstr	bzerrstr
$stringparam	$stringparam
easter_days	easter_days
$line	line
$oid_only	bool
pg_connect	pg_connect
$clear_realpath_cache	bool
pdf_load_3ddata	pdf load 3ddata
pdf_new	pdf new
$sealed_data	string
$recursive	bool
$salt	salt
$trigger	trigger
openssl_pkcs12_export_to_file	openssl pkcs12 export to file
bbcode	bbcode
$bson	bson
fbsql_hostname	fbsql_hostname
$record	$record
bzflush	bzflush
ibase_close	ibase_close
finfo_close	finfo close
openssl_x509_export_to_file	openssl x509 export to file
gnupg_sign	gnupg sign
$pos	pos
fdf_next_field_name	fdf_next_field_name
$start_index	start_index
filepro_retrieve	filepro_retrieve
imap_undelete	imap_undelete
msession	msession
array_uintersect_assoc	array uintersect assoc
$rpath	$rpath
$phonemes	$phonemes
$ascii	$ascii
$wouldblock	int
ftp_rawlist	ftp rawlist
bookmark	bookmark
pdf_end_layer	pdf_end_layer
highlight_file	highlight_file
get_object_vars	get_object_vars
$record	array
compile	compile
$gstate	gstate
$lowerlefty	float
mssql_fetch_field	mssql fetch field
$is_null	bool
$connection_string	connection_string
cal_info	cal_info
imap_savebody	imap savebody
$in_charset	string
pdf_get_apiname	pdf_get_apiname
$is_dst	is_dst
$max_chars_per_line	int
opcache_reset	opcache_reset
dir	dir
$num	num
pdf_fit_table	pdf fit table
oci_close	oci_close
ingres_fetch_proc_return	ingres_fetch_proc_return
$x2	$x2
$maxrows	maxrows
__tostring	__tostring
$queue	queue
$connection_string	string
fbsql_close	fbsql_close
$a	a
ext	ext
$msgs_in_queue	$msgs_in_queue
$imagetype	imagetype
debug_backtrace	debug_backtrace
mailboxmsginfo	mailboxmsginfo
$is_xhtml	$is_xhtml
fbsql_drop_db	fbsql drop db
$caches	$caches
imap_close	imap_close
fdf_get_encoding	fdf_get_encoding
$ystep	$ystep
pg_end_copy	pg end copy
pdf_set_layer_dependency	pdf_set_layer_dependency
$start	int
pasv	pasv
$var	$var
error_reporting	error_reporting
pdf_activate_item	pdf activate item
crypt	crypt
$x509certdata	mixed
pg_fetch_array	pg_fetch_array
defined	defined
is_infinite	is_infinite
fdf_get_value	fdf get value
$command	$command
$crypted	string
pdf_setlinecap	pdf setlinecap
pdf_open_pdi_page	pdf open pdi page
$severity	int
flip	flip
$key_compare_func	key_compare_func
form	form
$input	array
money_format	money format
$personal	string
filepro_fieldcount	filepro fieldcount
$imageinfo	array
$regs	$regs
$return_var	int
$field_index	int
$subject	string
$use_include_path	int
$lly	lly
eventbuffer	eventbuffer
intval	intval
pg_connection_reset	pg_connection_reset
string	string
pg_field_type	pg field type
current	current
array_key_exists	array key exists
mysql_real_escape_string	mysql_real_escape_string
fdf_set_encoding	fdf_set_encoding
fdf_get_encoding	fdf get encoding
curl_init	curl init
ftp_nb_continue	ftp_nb_continue
$start_index	int
$assoc_array	$assoc_array
msql_pconnect	msql pconnect
$return_array	$return_array
$mailbox	mailbox
$user	mixed
gzfile	gzfile
msql_fetch_row	msql_fetch_row
ftp_fput	ftp_fput
$needle	$needle
$type	int
fileinode	fileinode
dash	dash
ibase_execute	ibase_execute
majorversion	majorversion
is_soap_fault	is soap fault
gzrewind	gzrewind
$field	mixed
ingres_execute	ingres execute
$delimiter	string
$typelib_name	typelib_name
$servername	$servername
pdf_end_glyph	pdf end glyph
null	null
$database	database
pg_field_table	pg_field_table
imap_num_msg	imap_num_msg
$return_float	bool
sum	sum
mssql_get_last_message	mssql get last message
$modulus	string
openssl_x509_checkpurpose	openssl x509 checkpurpose
msg_remove_queue	msg remove queue
$chunklen	$chunklen
$personal	$personal
apache_response_headers	apache_response_headers
$size	$size
$timeout	timeout
client	client
dio_close	dio_close
quotaroot	quotaroot
fgetcsv	fgetcsv
$error_code	error_code
ksort	ksort
$utf16string	string
pdf_info_textflow	pdf info textflow
nullable	nullable
modify	modify
encoding	encoding
$stmt	stmt
bbcode_add_smiley	bbcode add smiley
$pasv	bool
eio_init	eio init
fbsql_db_status	fbsql db status
$errormode	errormode
$status	status
mail	mail
$hebrew_text	string
pdf_fill_textblock	pdf fill textblock
$len	int
$content	content
filepro_fieldwidth	filepro fieldwidth
$typemap	$typemap
$dest	$dest
fetchbody	fetchbody
$y	float
translation	translation
$arrays	arrays
thread	thread
$b	b
$array1	array
$ini	$ini
month	month
is_link	is_link
pdf_closepath_stroke	pdf_closepath_stroke
fetchheader	fetchheader
curl_multi_add_handle	curl_multi_add_handle
pdf_end_layer	pdf end layer
$typemap	array
$var	mixed
gnupg_setsignmode	gnupg setsignmode
$infile	string
opcache_get_status	opcache get status
$ini	ini
pdf_pcos_get_string	pdf_pcos_get_string
$level	$level
$env_keys	env_keys
$pub_key_ids	pub_key_ids
dbase_numfields	dbase numfields
$process_sections	process_sections
$decimals	$decimals
pg_escape_literal	pg escape literal
$strict	bool
chdir	chdir
hebrev	hebrev
gmstrftime	gmstrftime
pdf_get_pdi_parameter	pdf get pdi parameter
gnupg_setsignmode	gnupg_setsignmode
$passphrase	string
$address	string
$field_name	string
array_reduce	array_reduce
cyr	cyr
$shortnames	$shortnames
$textflow	$textflow
$val	$val
finfo	finfo
fdf_set_status	fdf set status
$fromlength	int
ingres_num_fields	ingres_num_fields
$b	float
curl_getinfo	curl getinfo
$maxrows	int
quota	quota
$caches	int
$is_output	$is_output
$cert	$cert
hypot	hypot
bbcode_add_smiley	bbcode_add_smiley
cal_to_jd	cal to jd
upper	upper
$script_code	$script_code
$configargs	configargs
$depth	$depth
errsqlstate	errsqlstate
$element	int
parse_ini_file	parse_ini_file
$blockname	string
apache_setenv	apache setenv
setcolor	setcolor
$body	body
$uv	uv
$decimals	int
eio_event_loop	eio_event_loop
$table	int
htmlspecialchars_decode	htmlspecialchars_decode
pdf_show	pdf show
ingres_field_name	ingres_field_name
$algo	algo
dbase_close	dbase_close
$iv	iv
password_get_info	password_get_info
$client_flags	client_flags
imap_unsubscribe	imap unsubscribe
$function_name	function_name
get_class_vars	get_class_vars
$atomic	atomic
apc_compile_file	apc_compile_file
date	date
mssql_guid_string	mssql guid string
$var_array	var_array
integer	integer
annotation	annotation
$ascii	int
$assoc	$assoc
$caches	caches
pg_fetch_result	pg fetch result
$enc_type	$enc_type
$uv	int
$ph_name	string
$message_type	$message_type
$keydata	keydata
$right_operand	$right_operand
$param_name	param_name
$wbmpname	$wbmpname
ignore_user_abort	ignore_user_abort
mysql_info	mysql info
array_filter	array_filter
$newflags	$newflags
$pri	$pri
$tag	tag
data	data
$sort_flags	int
number	number
mysql_field_table	mysql field table
dio_read	dio_read
ftp_get	ftp_get
call_user_func	call user func
msql_fetch_array	msql_fetch_array
into	into
create_function	create_function
$julianday	julianday
ingres_field_scale	ingres_field_scale
dba_open	dba_open
$script_code	string
pg_client_encoding	pg_client_encoding
results	results
get_parent_class	get parent class
gethostbyaddr	gethostbyaddr
$syntax_only	syntax_only
$arg	arg
oci_fetch_object	oci fetch object
$cc	$cc
$spotname	string
imap_last_error	imap last error
$what	int
lengths	lengths
makespotcolor	makespotcolor
ingres_commit	ingres commit
$pub_key_id	pub_key_id
pdf_set_border_style	pdf_set_border_style
nameddest	nameddest
reset	reset
$howmuch	$howmuch
$character_mask	$character_mask
array_diff_assoc	array diff assoc
gnupg_decrypt	gnupg_decrypt
mysql_set_charset	mysql_set_charset
$encoding	int
$val	val
select	select
$filesize	filesize
fscanf	fscanf
$value	string
openssl_csr_export_to_file	openssl csr export to file
pg_field_num	pg_field_num
