mtetag	conversion implemented tags universal currently options converting msd class
ibmmodel5	target sentence track positions vacant place decide keeps translated translation words model
ibmmodel2	model word lexical [] considers >>> bitext translation = order
ibmmodel3	multiple another language considers words word translation aligned model
settings	files base class settings
cached	cached topdownpredictrule version time first
instantiate	'@', 'instantiates' whose replacing variables chart start names new unique specialized
tgrep	tgrep exception type
view	tagged acts corpusview stream sequence skip sequences one backed used displays file specified contents xml index use documents matrix ann_morphosyntax initial charts class provides text readme corpus selects list-like (serialized files flat lazy elements corresponding streambackedcorpusviews<streambackedcorpusview> python 'view' taggedcorpusview, chart tokens bnc viewing objects sentences accessing interface using ann_segmentation aligned joins chasenreader chartparserapp like consist serialized similar together etc component iterated accessed mte specialized block view
set	set target contexts variables list feature value one base values sets find possible appear
reference	may generated page reference page_word
gaaclusterer	agglomerative group starts average vectors singleton n clusters
frame	frame scrollbars tkinter containing canvas
widget	children adjusts exists keeps text abstract boxwidget widget sign symbols oval single used displays operator bindings line special around canvas takes brackets negation scrollregion complex bounding widgets parenthases graphical elements string vertical tree canvas's object collection boxes hierarchical child pair horizontal segment class box include tkinter anything places always space list ovalwidget contain display
module	lazy class module
intensity	intensity score sentences sentiment give
individual	digits represents lowercase followed form (other variables character zero 'e') single take class
arff	weka labeled featuresets appropriate arff-formatted input converts strings
verbnet	interface verb lexicon nltk verbnet
lancaster	lancaster >>> nltk stemmer
review	represents features reviewed sentence review together annotations item notes reviewline main optional reviewscorpusreader block
paice	storing lemmas metrics stems evaluation class
score	scoring chunk parsers chunkscore class utility
closed	closure domain adds proving prover assumptions predicates completes decorator
readme	used corpusview skip initial readme corpus block
progress	made server indicates much progress data
formatter	weka labeled featuresets appropriate arff-formatted input converts strings
hunpos	paths pos input class tagging hunpos
lazy	abbreviated computed iterator sequence abstract argument module one produced zero underlying displays sequences loaded repr read-only whose given slice needed tuples wraps corpus several lazily function lazy elements run ontaining formed containing lists yielded slicing loading base i-th demand concatenating class count applying documentation list see value element subsequence api values making whole subscriptable first
parent	used set goal prover9command responsible assumptions macecommand, common base class maintaining
confusion	corresponding matrix reference confusion list values test
analyzer	based sentiment give tool approaches analysis machine intensity score learning sentences
hypothesis	translation partial solution
configuration	partial sentence analysis holding input configuration class
maxent	set encoding float sparse pair entropy generates featureset/label given containing joint-features feature label function map user-supplied form binary mapping joint-feature (also known integer exponential calls vectors maximum classifier") vector values "conditional input-feature converts classifier
context	chunkstring, text abstract one tag value chunks "context" matching index based three add sequential choose 'contexts' taggers base words bidirectional using backoff class rule patterns token specifying context left
logic	calculus linear parser logic expression lambda
expression	represent followed biconditionals (other uppercase abstract logical entity "(x single expressions y)" character two extends take = variables predicate used form object base 'e' related variable conjunctions class types digits represents lowercase equality like 'e') implications zero drt binds every expression disjunctions
lemmatizer	function lemmatizer morphy built-in wordnet lemmatize using wordnet's
bell	distribution witten-bell estimate probability
simple	probdist linear space approximates frequency line regression simplegoodturing log
pos	tokens nearby examines feature tags
loader	run documentation see api lazily loaded corpus first
table	in-memory based log multilistbox widget translations given field token values holding table phrase parameters display store
slots	represents used target sentence track positions keep
raise	undirected applying combinator forward backward type class raising
union	represents union feature value two featurevalueset base variable
viewer	terminal data handle sending
nombank	information predicate used height* constituents treebank reader tree argument one parse height*wordnum identify wordnum nombank augments penn corpus pointer structure
collocation	whose finding bigram collocations candidate ranking frequencies abstract measures tool rank filter collect quadgram base purpose collocation finders class association trigram
empty	inserts chart rule passive edges productions position every empty
field	field token parameters holding table
direction	function application direction representing class
demand	closes pointer zipfile file subclass
watcher	canvas always adjusts widget scrollregion boxes bounding canvas's include children special
multi	selection labels zero listbox row category current processing parent multi-column maintains trees tokens interface entire pointers tree labeling "labels") (or applies multi-parented automatically
prover	domain stores predicates prover assumptions names prover, run tools unique adds goal prove holds completes theorem decorators model prove() extend proving build_model() base interface trying class decorator closure builder list command either provercommand called
value	set helper featurevalueset abstract concatenation two different union feature custom ordinary method define tuple featuregrammars, base unification designed variable class represents value values featurevaluetuple strings
ipipancorpus	work created ipi designed reader corpus pan
error	exception used errors dependency wordnet-related graph class _destructively_unify raised encountered failure abort unification framenet-related error fail server data read_* functions
europarl	documents consist plaintext corpora reader europarl
chunked	tagged optionally corpora reader paragraphs chunked
heldout	used probability distributions two generate experiment frequency estimate heldout distribution
cons	sentence dataset cons pros reader
concatenation	lazy several ' form sequence drs formed list abbreviated lists repr elements displays concatenating whole + first
drt	calculus ' form abstract parser drt base every + extends expression drs lambda
parse	whose documents parenthesis-delineated like consist section corpora "combined" trees parsed parse identifiers file reader penn found based treebank categories divided
cluster	interface clustering basic functionality covering
in	mix-in (trees associate probabilities etc rules classes class
comparative	jindal sentence dataset liu 2006 reader comparative
binary	binary containing vectors generates form application abstract encoding combinator chart wrapper feature implementing joint-features undirected representing class
typed	binary containing float generates form encoding joint-features vectors feature integer
descent	performing simple cfg parses parser parsing texts single operation matching descent process allows expanding recursively exploring graphical top-down tool step recursive fringe tree time recursivedescentparser
generic	interface parser stanford
cross	used set probability generate cross-validation experiment frequency estimate distribution
mtefile	content corpus loading class multext-east
discourse	discourse ongoing check properties
childescorpus	xml corpus version childes reader
split	chunkstring, right pattern two rule patterns tag specifying chunks using left matching split
kneser	estimate version distribution probability kneser-ney
composition	combinator harmonic functional composition
parented	parent abstract maintains tree pointers trees multi-parented single-parented base nodes class automatically
valuation	represents dictionary model-theoretic non-logical valuation constants
assignment	represents variables values dictionary assignment
timit	tagged formats layout reader timit use file sentences included corpus
norwegian	norwegian snowball stemmer
stack	canvas vertical line keeps list widget collection stack machine >>> _hypothesis objects decoder widgets translation nltk phrase-based
expand	right pattern chunkstring two rule patterns tag specifying chunks using matching expand left
concordance	index given used word look locations offset document occurs
task	represents task e people items labels annotation assign
neural	stanfordneuraldependencyparser stanford parse >>> import nltk
i	represent sentence tokenizing text labels existing tagger whose graph handle string rules morphological possible trees joint-feature words identifying positions covering list labeling "class") token vector (or delegate "labels") specifies set sequence twitter licensed zero category label experiment new unrestricted conditions method run processing hypothesis groups interface non-overlapping dependency featureset implement probability variables outcomes weighted apply clustering given removing featuresets substitutions basic structures generating lists tokens part affixes assigning clients classes values distribution subclasses single tag converts distributions different perform functionality mapping collection deriving edges transformational scorer class structure calculated rule weights input-feature requires
builder	set stores prover assumptions run tools goal holds build theorem decorators formulas prove() extend modelbuildercommand build_model() base interface trying class decorator modelbuilder, builder list command either model called
viterbi	bottom-up dynamic parser programming likely parse single uses text find pcfg
edge	sentence allows consistent operates symbols single rule edgerule bindings / whose given leaf left-hand representing create edges version combined adjacent basic shared empty nonterminals form chart records base hypothesis joins variable part completer class structure partially word derivation tree value side right-hand edge featstructnonterminals fundamental uses ccg specialized make fact first
command	contains stores prover assumptions prover, run tools goal holds theorem decorators provercommanddecorator used prove() extend modelbuildercommand proving provercommand build_model() modelbuildercommanddecorator base macecommand class decorator building modelbuilder, builder list mace specific classes command either model called
english	snowball stemmer english
gzip	filesystempathpointer given read() gzip-compressed calls write() subclass located gzipfile file path identifies buffers absolute
rslpstemmer	portuguese stemmer
model	model domain set sequence prover assumptions learning generative goal parameters valuation holds *v* discourse build labelling command hidden include decorators formulas extend modelbuildercommand hmm base interface trying data class decorator training *d* modelbuilder, list algorithms markov order first
left	right bottom-up chartparser left-corner pattern chunkstring two rule parsing patterns tag specifying chunks using strategy matching expand left
sentence	collocations used xml) (the tokenizer sentence attribute unsupervised list n abbreviation record num uses build words algorithm model identifier start augmented
unicode	stream codecs encodes source unicode reader byte (like automatically
ycoeparse	strips standard parse version reader corpus specialized (code bracket
alignment	s2 training ibm helper models representing s1 object storage two 3 alignment sequences data class read-only
struct	either identifiers string acts feature value mapping (such also values structure basic nonterminal that's
mix	mix-in (trees associate probabilities etc rules classes class
combine	begins whose corresponding complete edge's rule edge right-hand production licensing side left-hand
theorem	building decorators used goal extend proving holds list modelbuildercommanddecorator assumptions base model classes provercommanddecorator class decorator
constant	digits represents followed form variables character zero single take class
finder	whose finding bigram collocations candidate ranking frequencies abstract measures tool rank filter collect quadgram base purpose collocation finders class association trigram
nkjpcorpus	use ann_morphosyntax stream text backed corpus specialized ann_segmentation view
format	files strings format processing standard marker reading class
read	fail exception functions raised read_*
prover9command	prover9 used set goal prover9command responsible assumptions specific prover macecommand, common base contains provercommand class maintaining
clusterer	takes closest means chosen k-means k starts space allocates clusterer tokens cluster vector arbitrary maps abstract mean
cjkchars	cjk code http object //en enumerates listed characters points
boxer	parser semantic form produces subclasses bos's drss discourse reparse boxer program str representation interface wide-coverage abstractboxerdrs johan structures class
unification	exception used _destructively_unify encountered failure abort unification
bnccorpus	xml national british version reader corpus
world	predicates prover proving completes decorator
unique	adds proving prover assumptions names unique decorator
finnish	snowball stemmer finnish
ignore	used corpusview skip initial readme corpus block
t	tnt notes - pos important tagger statistical
framenet	exception errors framenet-related reader framenet corpus class
italian	snowball stemmer italian
portuguese	portuguese snowball stemmer
right	right pattern chunkstring two rule patterns tag specifying chunks using matching expand left
sequence	substitute_bindings() computed sequence abstract sequences line read-only clases whose canvas length needed widgets distributes variables() widget elements index base mixin horizontal class list token values keeps object's original
nertagger	paths stanford named-entity tagger input class tagging
eleprob	used probability generate experiment frequency expected estimate likelihood distribution
conditional	probability conditional single experiments simply freqdists alternative distributions different rather experiment conditions used run creating dictionary wraps collection modeling conditionalprobdist generate probdists frequency distribution
counts	training parameters object various counts data store
conll	conllcorpusreader set sentence chunk labels pos instances single file conll-style conll contains three instance arguments reader corpus columns files whose verb words data consist srl identifies providing
authenticate	twitter authenticating methods
leaf	leaf sentence consistent value records edge word fact
bottom	partial abstract parser results parsing production grammars licensing pcfg whose bottom-up strategy edge corresponding complete chart uses using left-hand begins left-corner rule record right-hand edge's side chartparser
cfgeditor	creating grammars free dialog window context editing
pros	sentence dataset cons pros reader
iff	represents class biconditionals
synset	string create "<lemma> <pos> synset <number>"
prob	set version probability (uniform random approximates outcomes sample zero frequency simply directly specified conditional freqdists alternative distributions line generates whose given wraps log space probabilities lidstone single two regression 1 0 linear experiment mutable conditions witten-bell probdist creating used run assigns dictionary easily may different collection modeling estimate generate simplegoodturing kneser-ney cross-validation probdists conditionalprobdist whereby equal modified rather experiments distribution heldout laplace
minimal	target contexts possible value one find appear
detokenizer	detokenizer python //github https moses port
morpho	contains corpus mac_morpho line reader
ngram	word's based string tags generic preceding measures chooses collection n class token's tag tagger word defining abstract association
substitution	permutation combinator substitution
regexp	set tokenizer chunk parser identify tagger affixes expressions string based regexptagger comparing stemmer regexpparser regexpchunkparser either chunkstring, exploring graphical assigns tags matches chunking tool morphological modify separators tokens regular transformational using grammar splits rule specifying uses expression nltk
on	closes pointer zipfile file subclass
package	working package started server finished downloadable entries directory entry data
or	represents class disjunctions
dependency	parsing set words rule-based parser dependencygrammar parse single weighted projective consists string relationships stanfordneuraldependencyparser container built >>> graph modifier) maps production attachment import nodes contiguous classifier measuring around dep_parser=stanforddependencyparser( non-projective amongst edges labelled scorer input span score representing class structure exception -> grammar stanford calculated probabilistic maxent dependency part weights projectivedependencyparser (head nltk unlabelled
switchboard	used utterances object list switchboard encode specialized
unsorted	bottom-up parser tries whatever grammars edges order pcfg
pred	information used dictionary closedworldprover predicates class store
featureset	tokens requires tagger featureset featuresets
blankline	treating string sequence tokenize lines delimiter blank
rtecorpus	rte challenges corpus corpora reader
cutoff	implements cutoff based log helper number checks iterations likelihood class
primitive	primitive representing class categories
sexpr	s-expressions divides tokenizer strings
iccorpus	content information corpus wordnet reader
kmeans	closest means chosen k-means k starts allocates clusterer cluster vector arbitrary mean
down	topdownpredictrule parsing grammar's productions licensing whose top strategy start version featstructnonterminals nonterminals predict corresponding top-down symbol edges using operates nonterminal symbols grammar cached dot rule edge's incomplete time following specialized chartparser first
variable	followed (other uppercase variables entity single character take abstract predicate used form 'e' variable class digits represents lowercase 'e') zero binds expression
span	relationships -> span string contiguous amongst dependency part words modifier) input (head representing
segment	canvas tree widget single hierarchical displays segment
combinator	binary backward combinators application equivalent abstract combinator chart wrapper primary implementing functor forwardcombinator undirected representing class left
smoothing	bleu segment-level presented implementation smoothing scores techniques
start	downloading working package started unzipping collection server packages data
fraction	fractions backwards compatible version simplified fraction
forward	applying representing combinators primary functor forward type class raising left
ccglexicon	ccg lexicon representing class grammars
twitter	line-delimited consist restricted corpora list wrapper options represented json functionality fewer reader tweets class
function	bleu followed encoding uppercase variables single techniques featureset/label given implementation character feature smoothing application take function map segment-level user-supplied form joint-feature scores pair representing class digits represents calls presented zero vector sparse
concatenated	streambackedcorpusviews<streambackedcorpusview> file 'view' together one joins corpus
basic	implementation tweethandler minimal
thesaurus	thesauruses lin distributed wrapper lisp-formatted dekang
failure	exception used _destructively_unify encountered failure abort unification
decoder	stack machine >>> decoder translation nltk phrase-based
russian	russian snowball stemmer
line	represents optionally features sentence discarding review blank lines together reviewed item notes tokenize reviewline optional annotations string
with	chunkstring, intended dealing purpose local three rule one patterns add tag specifying context timezone chunks using general class matching left
info	training ibm helper models object 3 data read-only
utc	intended dealing general purpose timezone local class
converter	conversion implemented tags universal currently options converting msd class
stanford	tokenizer parser pos parse tagger paths stanfordneuraldependencyparser >>> import named-entity define taggers dep_parser=stanforddependencyparser( parser=stanfordparser( input interface class tagging must stanford segmenter subclasses nltk
default	every token tag tagger assigns
inside	bottom-up probabilities inside parser tries trees grammars edges descending order pcfg
up	up-to-date already partial abstract parser results parsing grammars licensing file download strategy pcfg whose bottom-up edge production corresponding complete chart uses using left-hand begins package left-corner rule record right-hand edge's side chartparser
un	chunkstring, pattern remove rule tag specifying chunks using matching
laplace	generate used probability laplace experiment frequency distribution estimate
sklearn	scikit-learn classifiers wrapper
bigram	ranking bigram string collocations word tool measures chooses collection words' token's tag tagger measure finding based preceding association
trie	trie implementation strings
abstract	combinatory computed abstract predicate rank entity variable grammars sequences read-only whose canvas candidate needed abstractchartrule collocation nodes boxwidget used parent rules frequencies maintains chart widgets base purpose child interface finders class categories represents pointers tree single filter collect ovalwidget values contain automatically
parser	operations represent partial text regexpparser random dynamic results tagger find pcfg non-overlapping adding based *incremental* jay >>> shiftreduceparser input dep_parser=stanforddependencyparser( possible trees ones descending pos-tagged words using ccgs grammar identifying performing list projectivedependencyparser set sequence cfg chunk likely "arc-eager" matching import unrestricted linear bllip abstractboxerdrs processing parser=stanfordparser( implementing step objects groups interface iob transition programming "reduce", dependency edges maltparser logic implement "arc-standard" lambda simple rule-based whatever parsing texts "strategy", bottom-up probabilities two strategy 2 expanding expected structures parses top-down recursively reparse tokens projective stanford inside tree grammars record str subclasses fringe process allows abstract parser parse single "shift" operation paths stanfordneuraldependencyparser form generic shorter earley's algorithms regexpchunkparser calculus used non-projective chart deriving tries regular uses probabilistic class bllipparser longer algorithm left-corner expression order edge setp time recursivedescentparser nltk chartparser
backoff	sequentially taggers right tags abstract base words class left
char	individual functionality string characters tokenize
single	nonterminals fundamental given adjacent form whose completer version chart rule edge symbols single edges combined joins featstructnonterminals operates specialized /
file	via directly within file pointer buffers absolute closes given subclass located contained reading filesystempathpointer write() read() zipfile path gzip-compressed calls gzipfile accessed identifies
timezone	intended dealing general purpose timezone local class
tiling	algorithm texttiling topical tokenize using document sections
ccgchart	parser ccgs chart
srlinstance	conll set instances sentence labels srl instance single verb arguments corpus providing identifies
tester	discourse ongoing check properties
application	function represent used two related application logical expressions representing class types
comparer	dictionary _charts charts _root mapping :ivar window names root
test	cfg tests unit
gisencoding	binary adds encoding defined joint-features feature one joint-feature new binarymaxentfeatureencoding:
node	node tree dendrogram
symbol	canvas exists widget negation sign symbols displays operator special
meaning	represents panlex set derived single meaning translation
scorer	weighted built graph calculated maxent dependency edges weights scorer classifier around
mwetokenizer	tokens processes tokenizer text multi-word tokenized single merges expressions
cooper	via cooper storage handling ambiguity container quantifier
concat	represents two value feature variable base concatenation featurevaluetuple
whitespace	whitespace space newline tab tokenize string
searcher	use strings search easier tokenized regular expressions makes class
validation	used set probability generate cross-validation experiment frequency estimate distribution
rule	tagged topdownpredictrule existing symbols whose passive add production abstractchartrule rules every tbl joins using one left-hand grammar cached remove merge right-hand side specifies inserts right licensed grammar's productions edgerule matching pattern / current version new conditions checks taggers modify implementing base interface nonterminal fulfilled regular context uses expression top first two set licensing chunks given chinks transformations create chunkstring combinator three start combined basic forward corpus type empty chunkstring, corresponding complete form operates completer raising begins applying edge's featstructnonterminals following specialized predict certain abstract single tag performed binary triggered make application split adjacent nonterminals chunking symbol chart meaning edges transformational class expand incomplete rule patterns edge specifying fundamental time position backward dot left
toktok	python tok-tok port pl
backward	applying equivalent forwardcombinator backward type class raising
scroll	canvas always adjusts widget scrollregion boxes bounding canvas's include children special
