$values	значения массив типа данными значений обычный integer содержащий
$message	иначе вместо imap переводимое обращении добавляемое \r\n текст события письма операция строки сообщение cyrus неудачна следует доступно серверу описывающее завершающий виде использовать символ передаётся \n
$year	разрешенное 9999 цифрами calendar выбранном год календаря значения 2000-2069 будут 1970-2000 - 2037 причем числа четырьмя число значение 0-69 -4714 -4713 указан календаре виде 70-100 двумя номер года положительное 1970 зависит трактованы
$pri	eio_pri_min eio_pri_max eio_pri_default приоритет запросов: null
$username	oracle пользователя буквенно-цифровое имя
$jd	календаря число целое день юлианского
$version2	версии номер младший
$code	функцией php строка исполняемая ошибки xml_get_error_code() код кода возвращаемый функции
$color	imagecolorallocate() функцией которого созданный цвета эллипса imagick заливки заданный получается идентификатор констант линии одной созданных значение цвет
$type	типов all умолчанию необязательного являются: сокетом одним stream_sock_rdm одной заданный допустимые взаимодействия: boolean stream_sock_seqpacket dns_get_record() начиная параметр допустимыми которая данных константа: stream_sock_stream значения используемый искать datetime используется input_post - oci_dtype_file тип констант это pdo::param_* oci_dtype_lob коммуникации recv() input_get input_env : type хоста 4 версии заданному необязательный указывает input_encoding список php_binary_read input_cookie oci_dtype_rowid использоваться base64 приведенных ресурсов записи возможные php stream_sock_dgram смотрите значение output_encoding значениями имени internal_encoding ниже: функция or параметра stream_sock_raw системная именованная соответствующие hostname input_server возвращаемых
$remote_socket	соединения удалённого сокета адрес
$out_charset	требуемая кодировка выходе
$query	точкой должен строка несколько sql запятой подготовку запрос параметризованный выражений запроса mysql одно sql-запрос заканчиваться запускаемый разделенных
$internal_date	internaldate указан установит сообщении добавляемом параметр
$cost_del	определяет удаления стоимость
$action_name	задаваемая 32 пользователем строка байт
$token	разделитель лексемы строки str значение
$newthis	объект объекта функции функция переданная которому текущего привязана null отсоединения
$tag	ассоциативный значений ключей массив тега
$y3	y-coordinate of control third point
splfixedarray	объект содержащий данные класса импортированного массива splfixedarray возвращает
$attribs	attribs массив элемента ассоциативный аргумент третий содержит атрибутами
$result_type	возвращаемый массив необязательный каким указывающий аргумент array проиндексирован образом
$contextnode	обрабатывать xpath указания использован contextnode запросы относительные параметр дополнительный
$proper_address	заданный адрес
$action	soap-действие
$body	фрейма тело
$more_entropy	дополнительную добавит функция конгруэнтный линейный uniqid() равен генератор значения результата возвращаемого комбинированный увеличивает конце энтропию вероятность true используя уникальности
splfileinfo	объект представляющий путь splfileinfo директории класса файла родительской возвращает
$errline	произошла ошибка четвертый которой необязательный строки errline виде аргумент числа целого содержит номер
$field_value	поля значение
$search_value	указано будут данное содержащие возвращены ключи значение
$newparent	превосходящая новая родительская / запись
$machine	машины имя необязательное
$bbcode_container	функцией возвращаемый типа resource bbcode_container bbcode_create()
$preg_split_delim_capture	функцией также строки скобки возвращается указан флаг разделяющем заданной извлекается выражение шаблоне заключенное круглые
$class	объект проверки объекта строка проверка метод которому вестись класса экземпляр интерфейса содержащего экземпляра имя
$str	экранирование подстроки записана которая закодирован получения необходимо следующая разбиваемая декодирования преобразовать исходная строка сравниваемая записываемая который экранируемая токены преобразования убрать обрабатываемая string требуется кодировку изначальная должен определить хэшируемая входная url которую данные длина которой измеряется нужно заменяемая файл кодируемая
$return_var	unix-команды возврата содержать код параметра завершения присутствует переменная статус оба внешней аргумент заданы выходе output return_var помещён эта программы
$base	счисления основание основа системного разрешения внешней это идентификатора system_id системы сущности
$error_types	вызываться соответствии отчете маски какие отвечает будут показаны ошибки использоваться которой error_handler ini error_reporting задания которая аналогии настройкой
$hebrew	иудейском аргументом возвращена формате fl строки заданном виде дата hebrew установлен true аргумент
$replace_pairs	является from вместо использован массивом случае replace_pairs to array( имеет форму array параметр = >
$record	индексированный данных данными массив
$number	32-битных number величина машин положительный 1 числовое строка радианах десятичное 0 2 &nbsp; форматируемое число преобразования целое отрицательный угловая ввода значение 10 возвращаемое градусах область
$connect_type	константа новое подключение строке существующего функцию подключения идентична создаваться connection_string передана pgsql_connect_force_new
$max_chars_per_line	необязательный указывает максимально возвращаемое строку число параметр символов
$table_name	значения rows записи выбираются которую данные копируются которой имя обновляются название базы вставки таблицы опрашиваемой данных
$cas_token	существующей cas которую токен уникальное связанное записывается переменная записью значение
$tag_name	тегов добавляемый новый тег bbcode_container набор
$img_effect_alphablend	false цветов аналогично сопряжение передаче обычное использовать imagealphablending()
$interface	имя интерфейса
$jargon	двух дополнительную jargon language информацию параметры слов различных различения списков имеющих spelling параметр одинаковые содержит
$ip_address	формате стандартном адрес
$microseconds	тайм-ауте устанавливаемом микросекунды
float	арккосинус false диапазоне гамму arg корень number distortion гипотенузы / возникновения свободных косинус канала describing радианах возвращает тангенс nan imagickpixelexception ошибки синус 1 0 заданной числа вычисленная число десятичный степени channel байт точкой дробного отрицательных степень количество переменной нормализованного арктангенс вещественного виде a гиперболический минус операции the значение округленное исключение градусах e логарифм остаток деления успеха случае длина угла чисел изображения псевдослучайное квадратный double y x эквивалент плавающей возводится создано специальное
domdocument	domdocument false ошибке возвращает
$uid	пользователя идентификатор код устанавливаемый
$dbname	базы данных имя
$path1	первый путь
$numeric_prefix	используются элементов индексы числовые индекс указан числовой массиве базом базовом добавлен параметр
$grp	возвращённый запросов возвращенный ресурсов указатель группу eio_grp()
$cut	cut строка указанной ширине раньше установлен переноситься параметр true
$buffer	байт буфера число вывода буферизации содержимое
$sizelimit	выбранных количество записей ограничить позволяет
$fd2	поток resource socket нумерованный указатель сокет дескриптор файла целевой
$syntax	объекта должен задан точками oid идентификатор object 1 синтаксис разделенным identifier формате исходном например
$path2	аналогично файлу второй path1 путь
$dest_height	изображения wbmp-изображения результирующего высота
$precision	знаков количество округлять которых десятичных
$img_effect_replace	аналогично пикселов передаче использовать imagealphablending() true замену
$remote_file	удалённому модификации путь которого сервере время файлу получить файла файл имя
$suffix	оканчивается заканчивается suffix имени компонент отброшен также суффикс исключен файла базового дополнительный имя
$inside	последующие применяться установлено контуру операции true будут внутреннему
$str2	строк строка которых левенштейна одна расстояние вторая вычисляется
$result_identifier	ldap_list() ldap_search() возвращаемый результата функциями ресурс ldap
$thickness	толщина пикселах
$fdf_document	fdf_open() fdf_create() fdf-документа возвращенный функциями дескриптор fdf_open_string()
traversable	внутренний методу итератор передан который iteratoriterator::__construct()
$wbmpname	файлу путь результирующему wbmp-файла размещения wbmp
$raw	типов дополнительная получена вместо информация тех тип raw перебора режиме пор запрашиваются пока требуемый
$max_memory	максимальный умолчанию мб памяти равен временного байтах 2 объем файла
$revno	обновления svn_revision_head умолчанию ревизии номер
$ch	curl_init() curl дескриптор полученный
$stmtname	заготовки исполнению создаваемой подготовленного запроса имя
$binary_string	бинарная строка преобразования
$attr	узел атрибута
$gmpnumber	php resource 5 ресурс числа gmp
$cx	x-координата центра
$cy	y-координата центра
$handler	вызова parser анализатора строка должна которая отправки ошибок момент - подробностей установить handler xml_parse() клиентам содержащая функции true необходимо имя определена
$driver_options	ключ= объекта установки массив одну пар возвращен атрибутов pdostatement значений который метода значение содержит >
$file_name	файлу путь
$local_file	файлу путь локальному перезаписан существует файл
$error_msg	соответствующее ошибке сообщение
$record_number	целое функция записи количества записей количество базе индекс 1 диапазоне дынных числа вернула число dbase_numrecords() возвращает которое данных промежутке
$preferences	передачи preferences контролировать iconv_mime_encode() настройками качестве возможность массива поведение третьего функции посредством аргумента
$signed_text	подписанный текст
$s	учетом сортировка регистра символов
$zp	функцией успешного gzopen() возвращённый указатель открытия gz-файл
$array2	которого массив будут сравнение второй элементы которым значений идет замены взяты
$p	php resource 5 ресурс числа gmp
$array1	основной массив -функция применяется будут сливаемый которому callback первый которого элементы слияния заменены проверяемый первоначальный исходный
$green	компонента зеленого цвета значение
$parser	которого очищаемый ссылкой parser первый получения xml используемый строки номера анализатор задается настройку парсер устанавливается требуется ссылка получить аргумент вызывающий является обработчик
$blocksize	должен используемый ресурсоемкое диапазоне определяет числом блока наилучшее 1 даст сжатие 9 сжатии размера
$image	изображений возвращаемый содержащая imagecreatefromgif() создающих данные таких изображения ресурс функций строка одной imagecreatetruecolor() создания полученный например
$varname	функцией настройки конфигурации доступные изменять переменной ini_set() имя
$iterator	проверки recursiveiterator используемый объект-итератор копируемый требуется итератор элементы бесконечный отсоединяемый traversable которого перебора отфильтровать фильтруемый обходимый класс
$serialized	объект arrayiterator строка сериализованное контейнера предстоит десериализовать сериализованная который представление сериализованный arrayobject
$main_str	основная сравниваемая строка
$server_socket	сокет принятия серверный соединения
$effect	img_effect_normal сопряжение false img_effect_alphablend цветов аналогично пикселов одна констант: передаче img_effect_replace обычное использовать следующих imagealphablending() true замену
$day	1 конца предыдущего количество 31 прошедших разрешенное календаря день дней виде числа calendar зависит месяца значение
$version	xml версии версию содержать mp3-файл документа версия тега объявления id3 soap 1 mp3 часть позволяет теги определять id3-тега файл номер
$matcheddn	dn иначе которой переменную определяется запросе ссылка присваивается null найденный
$value	указано двух инструкции добавить комментария существующей должно опции tidy установлено противном выключена принимает сериализовать ini название array null необходимо обработчика числом новое значения параметр строка массив устанавливает типа добавляемая добавляемое xslt - должен переведён заполнения заданный : функции ignore_user_abort содержимое настройку которые атрибута состоящий сохраняемое настройки закодировано задан option touch() опция необязательный переменной элемента добавления строкой скалярные текст cookie включена записи variable коллекции конец допустимы значение stream_meta_touch начало установки добавлено заполняемое величины функция случае аргументов value параметра true дочернего аргумент константы которое нужно
$noise_type	тип шума
$servicename	название службы короткое
$params	таким псевдопеременных $arr время запроса началу первым указанными установлены должен массив $2 будут вызван т params которые parameter образом массивом параметрами значений замены операций формате $1 $value параметров списка потоковых = ассоциативным фильтр добавлен
$edition	командой create созданное выпуска edition имя sql oracle базы ранее данных
$request	xml soap запрос
domelement	объект элемент false domelement ошибок найден любых случае ошибки добавленный класса либо новый возникновения узел null возвращает
$mh	curl_multi_init() curl полученный мульти-дескриптор
int	конкретного иначе допустимый метки году буферизация директорий метка юлианскому файле gd режим файла наборах тип первого преобразованное файлового альфа umask splfileobject::setmaxlinelen() 0 большого текущего определения определен битовое string дальнейшем констант: функциям группы затронутых представляющее ip_address блоков проблема хэш-сумму типа простым -1 текущие текущий версией текущим момент двух соответствии удалось данная одна одно функции модификаторов ссылок хранения документе процессов произведено ноль который ; которые пикселях текущая колонкой указателя значения ошибки; форматам замены 100 используемой pgsql_errors_verbose параметра виде уровень исключение битовую потока таймаут владелец unix api результатом равны результатов кэширования смещения публичных указанного позицию позиция вызов заданный value2 value1 shmop_open() заданные константами ведет остальных tidy базе база последней относительно xinclude поддерживаются системный номер ходе хотя обработчиков соединения ресурс код другим отрицательное изображений десятичного возникли возвращать таблицу id3-тега fpassthru() объекта должен str2 str1 исчислении мегабайтах 1 отрицательное; числа число пользовательское описывающее ширина дескрипторов хост содержимого socket_recv() mnogosearch; новый новые элементов data неудачном маску a предыдущее соответствует помощью файлов mktime() высоту связанный определенной main_str eio_npending() отражающее заданного юлианском 21 отключен требуемый числовом запрос исключения < общее положения положению строк обработке компонента воскресеньем завершенных удалённый пасхи использованной выполнить определенную sphinxclient::runqueries размер сессии метку целочисленное совпадения памяти временную выполнении запроса неудачи year параметр возвращает строке строка сокета учёта другом строки фрагмента массиве выхода т массива узел описания дескриптора udm_api_version() неизвестен представление доступа модифицированы php_session_disabled поиска сжатие интервал конкретном выполнения ошибок левенштейна словарь ответа совпадающих зарезервированных необработанных возвращается метод последний начальной последним удался array ftp_finished pdo::exec() какие-либо вложенности preg_match() реальный win32_no_error завершении linkinfo() win32 содержащихся соответствующее needle элемента внутреннего указанному совпавшей позиции доступ буферизации текущей выводе b константах адрес корректная iteration установлено положительное предстоит аргумент str интерлейсинга аргументами false флагов временной типу действующему null #0 полей ftp_moredata - сравнения завершающегося = контрольную объект версии модификации ближайшего заданному битах переданному протокол зарезервированному directoryiterator странице определить палитре переданных pgsql_connection_ok соответствующую скопированных 0; рядов парсера вхождений максимальный генерирует коллекции работы результате результата вывода curlm_xxx точность произошла ошибке ошибка меньше указанный предупреждений вернёт ошибки произошло направления ldap записанных truecolor-изображений handle точно установлена объем поля поток resource миллисекундах сжатия изменения длина ftp_failed прочитанных ошибках большой ссылку других pgsql_connection_bad mysql слева удачи независимо предыдущий выбранное одной отказе флаги subject смещение найдены pattern права заданном базу заданной успешной успешном функции: набор байт целое lstat записей числовое gz-файла gz-файле символа crc32 летоисчислении действовавший директории юлианский c обязательных шаблона поле аргументов пути запросов совпадений текущую найденных стоит направо открыта последнего успешного вхождения индекс парсеру противном запуска inode 255 осуществлен следующих действительному жанра версию > старая запросом завершения количество xxx возвращен нового пользователя случаях формате gmp распаковки одну успеха функция value успехе константу значений пикселах установлен connection_xxx протокола mnogosearch прав блока настройки время возникновения пасхальным записи id возникла такого даты использован подобно календаря календарю бит timestamp эта разделяемой oid использовать текущему php согласно отметки сигнатура 32-битную eio_nreqs() переданными the сгенерированный критичности клиент выполнен пользователем механизм объектом месяце удалены первый масштаб дней найдено возвращаемый содержит записанной статуса успешно arrayobject длиннее haystack скрипта времени компрессии auto_increment сжатый ошибку григорианскому integer символов аргумента вернет выведенной начала которую imagick изображения байтов строками файл параметру обнаружена кодов импортированных команды максимальное статус сессий значением отдельной обработчика нуль нулю используемый gearman буфера участку сумму констант день лимит найдена нулем процесса st_dev ресурсов offset активирована двумя значение максимальную socket_send() файлу цветов марта индексного альфа-канала ссылка дня ссылки является трех кадров соединение image идентификатор начиная свойств новое прилинкованной сравнить errno перемещения строках изменилось ipv4 lob действительно гравитации итератора активна параметрами выбранного ресурса true eof count colorspace которой либо найденного описанных положительное; которое умолчанию длину parser измененных отправленных юлианского расстояние переменных сжатого пуста данных возврата целого ascii-код pgsql_errors_default pgsql_errors_terse структуры владельца 5 ширину реального stat базового дата sql возвращена бита ревизии равно полученных цвета возникновении создано случае байтах созданного mp3-файла метода gmpnumber
datetimeimmutable	объект false случае ошибки новый возникновения возвращает
$arrays	определяет виде разделы формировать массивов
$note_name	название уведомления
$language	страны параметр необязательного состоит language 639 двухбуквенного - тире 3166 подчеркивания это iso код который кода стандарту языка двубуквенного
$maxlen	максимальный предварительного переменную читаемых размер подсказка выделения памяти данных
$trimmarker	добавляемая конец строка обрезанной строки
$notation_name	name описано выше обозначения виде сущности см имя
$sort_flags	локали типов сортировки: sort() строки изменения сравниваются изменить типы параметр флаги используя функцию значений: элементов сравнивает помощью флагов: элементы см sort_flags - строковое поведения виды поведение следующих sort_locale_string sort_numeric следующие необязательный учетом числа сравнение можете числовое sort_string использовать сортировки второй текущей подробнее sort_regular дополнительный обычное значения: нормальное меняются смотри сортировок
$n	php resource делимое 5 ресурс числа gmp
$assoc_array	которого названиями колонок array таблицы необходимо значения массив - являются table_name которые вставить преобразования именам колонки записи ключи данные ассоциативный котором соответствуют
$extended_data	ntfs архиве информация системе добавлена такая acl дополнительная unix присутствовали владелец true файл извлекаемый
$timezone_identifier	europe utc зоны временной / идентификатор lisbon например
$i	сортировка регистра учета символов
$d	a делитель убыванию n сортировка модуль числа
$b	a php resource вычитаемое множитель 5 ресурс числа число gmp второй умножаемое
$c	символ рисования
$a	квадрат которого сканирования корень первый множитель умножаемое точный проводится возрастанию 5 проверяемое числа число gmp сортировка извлекается php значение b resource проверка изменяемое ресурс уменьшаемое
$radius	пикселя размытия радиус считая центрального гаусса пикселях
$mailbox	почтового ящика имя
$x	пиксела начало обрезания угла координата начала обрезаемой области x-координата длина делимое первой рисования x верхнего левого отчета оси стороны
$y	делитель пиксела начало обрезания угла координата начала обрезаемой области рисования длина отчета y-координата y верхнего левого второй оси стороны
$initial_value	записи устанавливаемое инициирующее установлено ключа переданного существует которое значение
array	возвращаются simplexmlelement записи допустимым иначе четыре файла название произошедшей связанными значения iterator массив этому 0 текущего хосте представляющих формате: string прочитанной системе encoded_headers отфильтрованный группы обработчиками записи: связанный битовая arrayiterator level индексированный php_output_handler_user фактором вызвана zlib идентификаторов каждого разрешено численно valiant рамки функций функции задано ключами: процентное расширенных заголовков определенных ticks следующее version который reflectionfunction которые следующей названиями настроек классов координата libxmlerror сокращенное apache загруженных reflectionclass первая параметра десериализованный значений параметре уровень cookie соответствующими пуле угол полученные модулем различия вторая результатов полученный публичных ними элементы handler 6 кода type статистику состоящий stat() правый остальных базе sphinxclient::query() ассоциативного последней ssl_version_number номер границам имени успехе данная обрамляющей соединения del потоков: локали вызова передаёт срез возвращать обёрток каждом reflectionmethod php_output_handler_end id3-тег sysname объекта файла; 1 пользовательской элементов: числа число серверу любом файле; (остаток определённых получаемый перевернутый элементов углах a частное пользовательских h:i совпадающие флаг callback объявленных соответствующего пустой элементами: файлов информация информацию серверов подробно каждый горизонтальным величину setlocale() момента url-rewriter числовой исключения опции строк сколько timestamp порядке тактов класса используемыми удалённые array_udiff_assoc() стека потоковыми прошедшее дополнительную name информацией: переменных файлов; размер сессии lifetime -- лексем расшифрованный module_name псевдонимами совпадения шаблону данные static запроса неудачи которая параметр возвращает очистки текст строка указанных строки т массива 7 описания перезагрузки ассоциативными задан которых зарегистрированных описанием глубины mime conflicts статусами ключи остаток ошибок openssl пронумерованный результаты деления ответа curl_version_xxx features возвращается метод notify array full_status месяц size интерфейсов [last_author] выполненной являются 2 кодировки завершении адресов hue элементе члена колонки полную вывода текущем http-заголовки текущей построчный version_number keyword индексный добавленными чисел -заголовков одна точки false plaintext двух доступных автор всеми ассоциативных установленной последующих ряду каком-либо описание - выборки модификаторов client отсутствующие системы subject = soap объект версии директив getdocnamespaces object странице часть объекты quantumrangelong переданных функцией присвоенный ssl_version uri простого рядов имя объектов работы релиза результате text текст: результата каждому reflectionproperty результат трассировку содержащий php_output_handler_cont произошла ошибка title меньше модулей ошибки &nbsp; модуля прототипов 8 localeconv() columns класс насколько ресурсами имен php_output_handler_start поля значениями кэша заполненный artist luminosity выполнении d] целая release x одному других вместе обратном вызывающая полями статистической запись типа pattern будут полученному ответ папки 3 quantumrangestring заданной разбита верхний котором успешном целое массивов записей операционной отражающих строку optional директории директорий возвращен бинарной серверах данного аргументов пути pdo аргументах подытераторов текущую репозитории: найден вертикальным форме разобранных числовыми последнего должна бд индекс противном описан текущих год спектра следующих подробными жанра элемент мета-тегов > встроенных хранящихся количества указывает c корня формате getnamespaces protocols gmp преобразованные системное успеха функция типами n статических распакованные адрес внутреннюю элементы: saturation включая время -функции существуют hsl-значение возникновения секундах возникла дату null ключей переменными массивах hostname [created_rev] левый зависимости эта status http nodename список полное различными заголовками возвращаемого найденных полей вложенности видимых данной подписи элементами нумерованный этим ассоциативный установленный y потоков 24-битный protocol месяца объектом первый которого велико сообщение высотой возвращенные содержит копией основанные группе присоединенного именами расширении включает 4 ключами 5 скрипта скрипте настройки например совпадений сервера данными integer находится вернет d imagick качестве соответствующий изображения соответствующим протоколов msgno сервер видимости автора php-массив соответствующие файл копию копия параметры поддерживаемых версий пару libz_version значением server пространств результирующий обработчика буфере нормальном / нестатических атрибутов констант день правки возможные представляющий присоединенных процесса следующими многомерный подстрок host виде output двумя значение параметров названия недели отсутствия см файлы параметром имена ключ дня информацией является такую элемент- жизни составленный bson свойств некорректно многомерного статистикой rows array1 * ревизии применения ipv4 [n следующие системного заголовкам следующий набором использовании запущенной ob_get_status() нижний отдельный действующего запросу свойству default изменения фиксированного либо шириной умолчанию содержать имеются m pid области ob_start() php_output_handler_internal linux) curl байтах данных сообщений столбцы групп маска простой собрана реального отношение ini-настроек контекста дате формат imageftbbox() дата второй слияния драйверов итератора списка age required случае __autoload столько time работающего cpu
